unit_id,source_lines,source_function,target_anchor,status,notes
NOE-P33-U01,1-2,section title and publication citation,"33. 算术观点下的超复量与表示论",pass,arithmetic viewpoint scopes both title subjects and S. citation is preserved
NOE-P33-U02,4-14,local footnote style centered title and programmatic opening,"Emmy Noether / 超复量与表示论 / 带算子的群",pass,two title lines and first two footnotes preserved
NOE-P33-U03,16,definition of group/ring representation and group-ring elements,"一个群的表示 / 群环 / 群数（即群环元素）",pass,math-span order and both source quote loci preserved
NOE-P33-U04,18-20,two representation-theory problems,"给定表示的约化",pass,full source emphasis window restored
NOE-P33-U05,22,groups with operator domain and Jordan--Hölder,"带算子系的群 / 合成列",pass,fraktur B restored at all three loci
NOE-P33-U06,24-32,representation modules and triangular reduction,"表示模 / 第一矩阵",pass,first pmatrix exact
NOE-P33-U07,34-43,indecomposable decomposition,"分解 / 不可分解 / 第二矩阵",pass,irreducible and indecomposable are distinct
NOE-P33-U08,45,radical quotient and semisimple structure,"双链条件 / Jacobson 根 / 半单环",pass,historical and modern senses explicitly controlled
NOE-P33-U09,45,Schur-context endomorphism division rings,"自同态环 / 自同态除环",pass,inherited self-isomorphism terminology corrected
NOE-P33-U10,45,Wedderburn noncommutative Galois theory and splitting fields,"Wedderburn / 非交换除环 / 分裂域",pass,decomposition and splitting-field senses separated
