artifact_id,artifact_file,allowed_use,forbidden_use,promotion_allowed
R7-OB-01,NOETHER_R7_MALAY_SEA_PACIFIC_NONCANONICAL_SUPPORT_AND_GAP_LEDGER_20260704.md,"human-readable support/gap ledger","term approval or translation evidence from title-only/comparator-only rows",false
R7-OB-02,NOETHER_R7_MALAY_SEA_PACIFIC_SUPPORT_AND_GAP_ROWS_20260704.csv,"machine inventory of support/gap/source-return rows","promotion or package authority",false
R7-OB-03,NOETHER_R7_MALAY_SEA_PACIFIC_MICROCARD_PACKET_20260704.md,"noncanonical microcards for search/reviewer prompts","canonical Noether translation or bridge promotion",false
R7-OB-04,NOETHER_R7_MALAY_SEA_PACIFIC_MICROCARD_ROWS_20260704.csv,"machine index of microcards and source-return cards","promotion or review acceptance",false
R7-OB-05,NOETHER_R7_MALAY_INDONESIAN_EXPANDED_SUPPORT_SLICES_20260704.md,"expanded Malay-Indonesian noncanonical support slices","final Malay/Indonesian/Brunei/Singapore term choice",false
R7-OB-06,NOETHER_R7_MALAY_SEA_PACIFIC_FULL_COVERAGE_MATRIX_20260704.csv,"whole-lane coverage proof","completed-reader or public-final claim",false
R7-OB-07,NOETHER_R7_MALAY_SEA_PACIFIC_DURABLE_RUN_LOG_20260704.md,"durable continuation state","packaging authority or source replacement authority",false
R7-OB-08,NOETHER_R7_COMPLETION_ZENODO_READER_GUARDRAIL_INTEGRATION_20260704.md,"completed-reader/current-reader label guardrail","release approval or Zenodo publication claim",false
R7-OB-09,NOETHER_R7_ZENODO_READER_GUARDRAIL_ROWS_20260704.csv,"machine guardrail rows for risky labels","language authority or external review evidence",false
R7-OB-10,NOETHER_R7_CURRENT_READER_FIX_PASS_OUTPUT_BOUNDARY_INDEX_20260704.md,"current-reader boundary index","new translation evidence or approval",false
