residual_id,source_file,source_line,start_column_1based,end_column_1based_exclusive,current_expose,reference_scope,visible_text,base_number,suffix,kind_cue,candidate_labels,destination_label,classification,reason,context
SGA5-R9-RESIDUAL-000001,SGA5_English_sync_workpass.tex,50,22,26,FRONT,FRONT,0.55,0.55,,,,,typography_layout_geometry_value,positive_tex_layout_or_geometry_syntax,\setlength{\parskip}{0.55em}
SGA5-R9-RESIDUAL-000002,SGA5_English_sync_workpass.tex,315,78,81,I,I,0.4,0.4,,,,,external_work_citation,external_citation_context,\phantomsection\label{sga5:I:expose:i}{\Large \textbf{SGA 5 --- Exposé I}}\\[0.4em]
SGA5-R9-RESIDUAL-000003,SGA5_English_sync_workpass.tex,316,41,44,I,I,0.3,0.3,,,,,typography_layout_geometry_value,positive_tex_layout_or_geometry_syntax,{\large \textbf{Dualizing Complexes}}\\[0.3em]
SGA5-R9-RESIDUAL-000004,SGA5_English_sync_workpass.tex,323,737,740,I,I,4.3,4.3,,theorem,sga5:I:subsection:4.3|sga5:I:lemma:4.3|sga5:I:equation:4.3,,external_work_citation,external_citation_context,"ies in an essential way. See however Deligne's biduality theorem (SGA~$4^{1/2}$, Finiteness Theorem~4.3.)."
SGA5-R9-RESIDUAL-000005,SGA5_English_sync_workpass.tex,329,94,99,I,I,3.4.1,3.4.1,,,sga5:I:theorem:3.4.1,sga5:I:theorem:3.4.1,linked_internal_edge,explicit_same_volume_sga5_reference,"In \hyperref[sga5:I:section:3]{paragraph~3}, one comes to the central theorem of the exposé (3.4.1.), which asserts that, on a ``good'' regular prescheme $X$, for example on an excellent noetherian "
SGA5-R9-RESIDUAL-000006,SGA5_English_sync_workpass.tex,339,25,28,I,I,1.1,1.1,,definition,sga5:I:definition:1.1|sga5:I:paragraph:1.1,,structural_declaration_tag,target_or_formula_declaration,\subsection*{Definition 1.1}\phantomsection\label{sga5:I:definition:1.1}
SGA5-R9-RESIDUAL-000007,SGA5_English_sync_workpass.tex,346,22,25,I,I,1.2,1.2,,,sga5:I:remark:1.2|sga5:I:paragraph:1.2,,structural_declaration_tag,target_or_formula_declaration,\subsection*{Remarks 1.2}\phantomsection\label{sga5:I:remark:1.2}
SGA5-R9-RESIDUAL-000008,SGA5_English_sync_workpass.tex,357,26,29,I,I,1.3,1.3,,proposition,sga5:I:proposition:1.3|sga5:I:proposition:1.3:2,,structural_declaration_tag,target_or_formula_declaration,\subsection*{Proposition 1.3 {\normalfont (cf.~[H]~1.7.6)}}\phantomsection\label{sga5:I:proposition:1.3}
SGA5-R9-RESIDUAL-000009,SGA5_English_sync_workpass.tex,357,52,57,I,I,1.7.6,1.7.6,,,,,external_work_citation,external_citation_context,\subsection*{Proposition 1.3 {\normalfont (cf.~[H]~1.7.6)}}\phantomsection\label{sga5:I:proposition:1.3}
SGA5-R9-RESIDUAL-000010,SGA5_English_sync_workpass.tex,375,21,26,I,I,1.3.1,1.3.1,,remark,sga5:I:remark:1.3.1|sga5:I:lemma:1.3.1,,structural_declaration_tag,target_or_formula_declaration,\subsection*{Remark 1.3.1}\phantomsection\label{sga5:I:remark:1.3.1}
SGA5-R9-RESIDUAL-000011,SGA5_English_sync_workpass.tex,378,25,28,I,I,1.4,1.4,,definition,sga5:I:definition:1.4,,structural_declaration_tag,target_or_formula_declaration,\subsection*{Definition 1.4}\phantomsection\label{sga5:I:definition:1.4}
SGA5-R9-RESIDUAL-000012,SGA5_English_sync_workpass.tex,385,17,23,I,I,1.2~a),1.2,~a),,sga5:I:remark:1.2|sga5:I:paragraph:1.2,sga5:I:remark:1.2,linked_internal_edge,target_exists_and_reference_context,The example of (1.2~a)) shows that a complex of finite quasi-injective dimension is not necessarily of finite injective di
SGA5-R9-RESIDUAL-000013,SGA5_English_sync_workpass.tex,387,26,29,I,I,1.5,1.5,,proposition,sga5:I:proposition:1.5,,structural_declaration_tag,target_or_formula_declaration,\subsection*{Proposition 1.5}\phantomsection\label{sga5:I:proposition:1.5}
SGA5-R9-RESIDUAL-000014,SGA5_English_sync_workpass.tex,395,20,25,I,I,1.5.1,1.5.1,,lemma,sga5:I:lemma:1.5.1,,structural_declaration_tag,target_or_formula_declaration,\subsection*{Lemma 1.5.1}\phantomsection\label{sga5:I:lemma:1.5.1}
SGA5-R9-RESIDUAL-000015,SGA5_English_sync_workpass.tex,405,107,112,I,I,1.7.6,1.7.6,,,,,external_work_citation,external_citation_context,"Proof.} It suffices to prove $(ii) \Rightarrow (i)$. By a well-known argument (cf.\ for example [H]~1.7.6), one is reduced to showing that if $K' \in \ob(C)$ is such that $\Ext^1(F,K') = 0$ every time $F$ "
SGA5-R9-RESIDUAL-000016,SGA5_English_sync_workpass.tex,407,438,444,I,IX,IX~2.9,2.9,,,,,external_work_citation,positive_external_work_context_without_internal_target,"; F,K) = 0$ for $i > N + N'$ when $F$ is a quotient of such an $A_{U,X}$, hence constructible (SGAA~IX~2.9). Consider the spectral sequence"
SGA5-R9-RESIDUAL-000017,SGA5_English_sync_workpass.tex,413,21,26,I,I,1.5.2,1.5.2,,remark,sga5:I:remark:1.5.2,,structural_declaration_tag,target_or_formula_declaration,\subsection*{Remark 1.5.2}\phantomsection\label{sga5:I:remark:1.5.2}
SGA5-R9-RESIDUAL-000018,SGA5_English_sync_workpass.tex,416,26,29,I,I,1.6,1.6,,proposition,sga5:I:proposition:1.6,,structural_declaration_tag,target_or_formula_declaration,\subsection*{Proposition 1.6}\phantomsection\label{sga5:I:proposition:1.6}
SGA5-R9-RESIDUAL-000019,SGA5_English_sync_workpass.tex,422,54,63,I,IV,IV~8.12.6,8.12.6,,,,,external_work_citation,external_citation_context,"\emph{Proof.} According to the ``Main theorem'' (EGA~IV~8.12.6), there exists a factorization of $f$ as $f = uf'$, where $f'$ is an open immersion and $u$ is a fi"
SGA5-R9-RESIDUAL-000020,SGA5_English_sync_workpass.tex,422,603,616,I,XVIII,XVIII~3.1.9.6,3.1.9.6,,,,,external_work_citation,positive_external_work_context_without_internal_target," morphism, and let $F$ be a constructible $A_X$-module. We then have the duality isomorphisms (SGAA~XVIII~3.1.9.6)"
SGA5-R9-RESIDUAL-000021,SGA5_English_sync_workpass.tex,426,41,48,I,IX,IX~2.14,2.14,,,,,external_work_citation,positive_external_work_context_without_internal_target,"Since $f_{*}(F)$ is constructible (SGAA~IX~2.14), it follows that, if $\dim.\,q.\,inj(K) \leqslant N$, then $f_{*}\underline{\Ext}^i(F, \R^{!}f(K))"
SGA5-R9-RESIDUAL-000022,SGA5_English_sync_workpass.tex,426,231,239,I,VIII,VIII~5.5,5.5,,,,,external_work_citation,positive_external_work_context_without_internal_target,"^i(F, \R^{!}f(K)) = 0$ for $i > N$, hence $\underline{\Ext}^i(F, \R^{!}f(K)) = 0$ for $i > N$ (SGAA~VIII~5.5), as required."
SGA5-R9-RESIDUAL-000023,SGA5_English_sync_workpass.tex,428,251,256,I,I,V.1.2,V.1.2,,,,,external_work_citation,external_citation_context,"for $F \in \ob \D(X)$, a functorial homomorphism $F \to \underline{D}_K \underline{D}_K F$ (cf.~[H]~V.1.2). The construction which follows would be valid more generally on a ringed topos. We may first supp"
SGA5-R9-RESIDUAL-000024,SGA5_English_sync_workpass.tex,432,25,28,I,I,1.7,1.7,,definition,sga5:I:definition:1.7,,structural_declaration_tag,target_or_formula_declaration,\subsection*{Definition 1.7}\phantomsection\label{sga5:I:definition:1.7}
SGA5-R9-RESIDUAL-000025,SGA5_English_sync_workpass.tex,440,22,25,I,I,1.8,1.8,,,sga5:I:remark:1.8,,structural_declaration_tag,target_or_formula_declaration,\subsection*{Remarks 1.8}\phantomsection\label{sga5:I:remark:1.8}
SGA5-R9-RESIDUAL-000026,SGA5_English_sync_workpass.tex,446,127,133,I,I,12.3.3,12.3.3,,,,,external_work_citation,external_citation_context,"mplies $K \in \ob \D_c^{+}(X)$. Contrary to the example of coherent sheaves (EGA~$0_{\mathrm{III}}$~12.3.3), the converse is perhaps not automatically verified. It is however verified (see no.~3) in the ``g"
