comparison_id,object_type,source_locator,printed_page,target_locator,critical_controls,result,adverse_or_choice
N04-S03-CMP-001,numbered identity 13,R823 line 3733,128,tag 13,"sum limits i=1..n; sign i+1 and n+1; u and x placement",pass,none
N04-S03-CMP-002,numbered identity 14,R823 line 3734,128,tag 14,"alternating permutation sum; n paired factors; two determinant factors",pass,none
N04-S03-CMP-003,numbered identity 15,R823 line 3735,128,tag 15,"dual placement of u and x; sign i+1 and n+1",pass,none
N04-S03-CMP-004,two preliminary product displays,R823 lines 3738-3747,129,two unnumbered displays before tag 16,"rho and rho-1 row products; y superscripts; q subscript n-rho+1",pass,none
N04-S03-CMP-005,numbered identity 16,R823 lines 3749-3757,129,tag 16,"two equal sums; omitted a-i factor; q subscript; footnote marker",pass,note restored from source
N04-S03-CMP-006,identity 16 proof repetition,R823 line 3758,129,displayed prose factor before tag 17,"rho<=n; continuation from a^(i+1) through a^(rho)",corrected with disclosure,"R823 loses equality stroke; original and R823 omit continuation ellipsis"
N04-S03-CMP-007,numbered identity 17,R823 lines 3759-3766,130,tag 17,"dual q and p subscripts; two equal sums; omitted a-i factor",pass,none
N04-S03-CMP-008,numbered identity 18,R823 lines 3768-3771,130,tag 18,rho=sum rho_i <= n,pass,none
N04-S03-CMP-009,general A B K expansion,R823 lines 3773-3780,130,unnumbered four-line expansion,"block signs; rho_i limits; literal (K-1)^(rho_(k-1)); q subscript",pass,inherited-English K normalization rejected
N04-S03-CMP-010,numbered identity 19,R823 lines 3782-3787,130,tag 19,"two differential pairings; i and j ranges",pass,Capelli note checked
N04-S03-CMP-011,explicit-row derivation,R823 lines 3789-3794,130,unnumbered aligned derivation,"three equalities; sign exponent (rho_1+1)(n+1); q and A subscripts",pass,none
N04-S03-CMP-012,numbered identity 20,R823 lines 3796-3803,131,tag 20,"sum i=1..k; delta_i definition; omitted A^(rho_i) factor",pass,none
N04-S03-CMP-013,numbered identity 21,R823 lines 3805-3812,131,tag 21,"dual sum; epsilon_i definition; p subscript n-sigma+1",pass,none
N04-S03-CMP-014,impossible two-symbol-row identity,R823 lines 3816-3821,131,unnumbered display after Theorem II,"three paired products; epsilon_1 and epsilon_2; rho<=tau<=sigma; specializations",pass,none
N04-S03-CMP-015,numbered identity 20a,R823 lines 3822-3828,131,tag 20a,"two right-side terms; p_(rho_1-1) similarity relation",pass,none
N04-S03-CMP-016,specialized identity after 20a,R823 lines 3829-3835,131-132,unnumbered display before closing paragraph,"B sigma indices; p_(sigma_1-1) similarity relation",pass,page boundary checked
N04-S03-CMP-017,heading note,R823 line 3730,128,footnote 1,Introduction cross-reference and placement at section heading,pass,none
N04-S03-CMP-018,identity 16 note,R823 line 3757,129,footnote 2,domain of rho variables and identities 13 and 16 linkage,pass,none
N04-S03-CMP-019,Capelli Wellstein note,R823 line 3781,130,footnote 4 after editorial note,"Capelli section 23 condition; k>i; Poisson bracket process; journal citation",pass,none
