decision_id,german_term_or_delta,chosen_english,alternative_rejected,evidence_class,motivation,uncertainty,status
N04-S03-T01,symbolische Identitaeten,symbolic identities,symbolical identities,editorial_inference,modern mathematical English and inherited lane consistency,no material uncertainty,applied
N04-S03-T02,irreduzibel,irreducible,indivisible,editorial_inference,preserves the distinct source adjective before unzerlegbar,no material uncertainty,applied
N04-S03-T03,unzerlegbar,indecomposable,irreducible,editorial_inference,keeps the source distinction from irreduzibel,no material uncertainty,applied
N04-S03-T04,zusammengesetzt,composite,composed,editorial_inference,standard relation to indecomposable identities,no material uncertainty,applied
N04-S03-T05,Symbolreihe,symbol row,symbolic row,editorial_inference,matches section 2 and distinguishes a row of symbols from a general adjective,context distinguishes row objects from matrix rows,applied
N04-S03-T06,Variabelnreihe,variable row,row of variables,editorial_inference,matches section 2 normalization,context distinguishes row objects from matrix rows,applied
N04-S03-T07,Matrizendarstellung,matrix representation,matrix notation,editorial_inference,source concerns representation by matrix products rather than notation,no material uncertainty,applied
N04-S03-T08,explizite Darstellung,explicit representation,explicit expression,editorial_inference,preserves the defined section 2 concept,no material uncertainty,applied
N04-S03-T09,Produktsatz,product theorem,multiplication theorem,editorial_inference,matches section 2 and determinant terminology,no material uncertainty,applied
N04-S03-T10,Gewichtsindex,weight index,degree index,editorial_inference,source says weight and uses indices to distinguish rows,no material uncertainty,applied
N04-S03-T11,dualistisch,dually,dualistically,editorial_inference,idiomatic English without changing the mathematical relation,no material uncertainty,applied
N04-S03-A01,R823 rho less-than n,restore rho less-than-or-equal-to n from print,retain the strict relation,source_fact_plus_adverse_delta,original printed p129 visibly retains the equality stroke,other R823 descendants may retain the strict relation,applied with disclosure
N04-S03-A02,print and R823 omit continuation ellipsis,complete a^(i+1) through a^(rho) from identity 16,retain the truncated prose factor,source_fact_plus_editorial_completion,the sentence expressly repeats the complete factor in identity 16,other descendants may silently inherit the omission,applied with disclosure
N04-S03-A03,inherited English changes source (K-1)^(rho_(k-1)),retain literal source notation,normalize to K^(rho_(k-1)),comparison_witness_negative_control,both print and R823 retain K-minus-1 while K would duplicate the final row,modern readers may interpret K-minus-1 as subtraction,applied
