render_id,sheet_name,panel,render_range,start_column,end_column,rendered_column_count,relative_path,bytes,sha256,direct_visual_inspection,status
SGA2-VIII-PUB-WB-RENDER-001,Scope_Authority,1,A1:D10,1,4,4,workbook/render_qa/001_Scope_Authority_A_D.png,35914,7945BE763D0BAF70E1F03135075978E4AE518D219D6195D49B460721CED54DEE,pass_legible_complete_no_clipping_overlap_or_formula_error,pass
SGA2-VIII-PUB-WB-RENDER-002,Scope_Authority,2,E1:H10,5,8,4,workbook/render_qa/002_Scope_Authority_E_H.png,90682,7C887A7DB2A97F9C0DAAB5F0AFE17411AD8237580D8F0C2B2113AAFA9AE963E0,pass_legible_complete_no_clipping_overlap_or_formula_error,pass
SGA2-VIII-PUB-WB-RENDER-003,Scope_Authority,3,I1:L10,9,12,4,workbook/render_qa/003_Scope_Authority_I_L.png,56507,0B38A6121C75B8FAA34E32524E793F60619FAFF1E6A132AB9D9F56801A63D7FA,pass_legible_complete_no_clipping_overlap_or_formula_error,pass
SGA2-VIII-PUB-WB-RENDER-004,Scope_Authority,4,M1:M10,13,13,1,workbook/render_qa/004_Scope_Authority_M_M.png,23797,5CF3D42B3CE9F2D4C3E494BAAC06716F20C5FD76705A8252E1EDC84532EE4EDF,pass_legible_complete_no_clipping_overlap_or_formula_error,pass
SGA2-VIII-PUB-WB-RENDER-005,Components_30,1,A1:D31,1,4,4,workbook/render_qa/005_Components_30_A_D.png,157841,C065BF23EB1C13E32715ECD33F590776B1344F0A84D196F298BFD0A71C9C1AF7,pass_legible_complete_no_clipping_overlap_or_formula_error,pass
SGA2-VIII-PUB-WB-RENDER-006,Components_30,2,E1:H31,5,8,4,workbook/render_qa/006_Components_30_E_H.png,62927,B347FA1F1E673299E204B21A8691E594340192BFCB9771DE0861B816816A045E,pass_legible_complete_no_clipping_overlap_or_formula_error,pass
SGA2-VIII-PUB-WB-RENDER-007,Components_30,3,I1:L31,9,12,4,workbook/render_qa/007_Components_30_I_L.png,280472,BEBD6489ED2FBB03DB5FA51D8AB3A71A115DB55BAE77A0708188BA85261D90B8,pass_legible_complete_no_clipping_overlap_or_formula_error,pass
SGA2-VIII-PUB-WB-RENDER-008,Components_30,4,M1:P31,13,16,4,workbook/render_qa/008_Components_30_M_P.png,372697,606DC6E4276C5114B3621DF50FB53C05DC6E1E99D0952D677150B234566C3596,pass_legible_complete_no_clipping_overlap_or_formula_error,pass
SGA2-VIII-PUB-WB-RENDER-009,Components_30,5,Q1:T31,17,20,4,workbook/render_qa/009_Components_30_Q_T.png,380332,7FA6C3D119533F87C5377A632B53F06425351DD2D6650181AE2568001D16560B,pass_legible_complete_no_clipping_overlap_or_formula_error,pass
SGA2-VIII-PUB-WB-RENDER-010,Coverage_32,1,A1:D33,1,4,4,workbook/render_qa/010_Coverage_32_A_D.png,186191,1FFB6CEAB6DBB63B6C0215E3A8B3E2311733B94182764B7C60FCCAC12856D32B,pass_legible_complete_no_clipping_overlap_or_formula_error,pass
