lane,packet_path,manifest_rows,manifest_missing_rows,manifest_mismatch_rows,manifest_sha256,sha256sums_sha256
previous coordinator 6A packet,C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_6A895F1C_AEED_BRANCH_ADVANCE_ROUTE_20260707,12,0,0,72E3BD40B18DE6ED3CA86A0A38F3C67326CE4BE746762CD00F577B491C8821AA,114C4FCAA0FB3DE402D703DB752D0CC44B9E5869FDE58F06793E98D119F97022
B3 DFB0 package,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_6A895F1C_R3_REPAIRED_2BD_R6_AEED_CONTEXT_BATCH_20260707,11,0,0,E5AC37DC8E504799E5A1CE6F830C13521E32893778CDA959B8FB3918A41530BB,D056DBBAA322B29291B73A4DD0FDD4527C144029D7B1AB61BF74578FDC36CCDA
Arabic RTL 6A,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_6A895F1C_AEED_R6_2BD_DEDUP_R3_BLOCKER_20260707,111,0,0,6F5FCB8854470DA3E1ACACD9E69F4A4AD1D156F3BA7E50A1012F48E2E0B72DCB,C1AA43179500123F324500286D23493645DDA18C169A5EF2D3A048E0807DFECB
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_DRIFT_RECOVERY_SOURCE_USE_CODEPOINT_FABLE_20260707,20,0,0,88D6A3179BAFE608A8EE03868BC37E55866949A1EC927E1D804B99B31973CB43,3CFB4036B1E01ED60118BC16F6FA25861183F50E5E75B96DD0AF3DC1C1B6253F
R6 6A source-start,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_6A895F1C_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260707,16,0,0,C5C80989474F63ACE66FE6A2469C3B7F481C172AC6E3CCE59776D3EDA55F7BD6,5AD23433BCABF1F09D640220FF5B02272D6028D46D44E85068D70C5F4C2870C3
R3 repaired 2BD same-frontier,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T023640Z,10,0,0,CD6613CD12F3A39A673793B531AFFA8354D634A5147D5B08561A2999FC50A8C1,761DFC6B3F3A6A71367665F8402D1E44DFC9E983777998F1ECBA733B2251864A
R2 Pan-Turkic 6A,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_6A895F1C_LIVE_FRONTIER_RECOVERY_20260707,19,19,0,6AFDC8F2BF720FAB1C15F59B8C96F70E78C8E820270927DFB6271012E8D065A8,07E6F5778B8A208E7B2C775A6300AB1848FE84C58B4A942F20490C1C337483D9
R7 Malay/SEA/Pacific 6A,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_6A895F1C_HEARTBEAT_TOKEN_RESET_DEDUP_REVERIFY_20260707,8,8,0,60189D721ACB61712BDD72D5BECD86F22FA0016323837D9974074224329E888C,82872CDD45B64B0DC266134EDAC444CBF672574E8ED0B0EBED4656565D759C1E
R9 Africa/Horn/West 6A,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_6A895F1C_SAME_FRONTIER_TOKEN_RESET_RECOVERY_20260707,17,0,0,830C10422490B4931DB0FD2E1870A8C8E51B7BF2F76BCB9510809A8AC47AED40,03CB005754D2E722821EA1F31A5096212D7DAA53A4B9A5E6496474E9CE1E4F21
OLP DFB0 support,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_DFB0AC3E_R6_CONTEXT_REVIEW_SUPPORT_ACCOUNTING_20260707,10,0,0,8CC2195638CAF23B2428A29BC68FA9A7B0A820A63018B5ABAE82130ABB78D576,67B333D50097EE19FC88DC7FF64E2B8389241CFB6D4EB2F3D003DEC7264DE199
Slavic 6A isolation,C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_6A895F1C_STABLE_FRONTIER_SOURCE_BOUNDARY_RECHECK_20260707,12,0,0,AE69BE52ADCC06C1631666A31426446EB0FEB025C7C667C5CF72FE97CD57EBB5,C885BC8EADE4B8FAC4EB7BAF8E9BBADE23640202FD1C377C56EC199FFD75AD7B
