lane,frontier,packet_path,source_gate_status,key_counts,claim_boundary
B3 package steward DFB0,dfb0ac3e028edec63ac62095c6759e64741645d2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_6A895F1C_R3_REPAIRED_2BD_R6_AEED_CONTEXT_BATCH_20260707,B3 packaged repaired R3 same-frontier and R6 AEED context roots,roots=2; validation_issues=0; diff_paths=41; imported_files=41; blob_mismatches=0,B3 package evidence only; coordinator did not push
Arabic RTL 6A,6a895f1c9031090f6c4da5e7c4660cb15f713853,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_6A895F1C_AEED_R6_2BD_DEDUP_R3_BLOCKER_20260707,AEED->6A source-use/gap reconciliation,branch_delta=24; six_row=6; key_copies=99; sha_mismatches=0; adjacent_status=1,"source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion"
CJK native/source DFB0,dfb0ac3e028edec63ac62095c6759e64741645d2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_DRIFT_RECOVERY_SOURCE_USE_CODEPOINT_FABLE_20260707,DFB0 drift recovery; codepoint/source-use/Fable pointer only,delta_paths=41; cjk_signal=0; source_use_pointers=9; blockers=4; wakes=15,"source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion"
R6 6A source-start,6a895f1c9031090f6c4da5e7c4660cb15f713853,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_6A895F1C_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260707,source-start continuation; no source-owner/access promotion,witness=315; literal=75; draft=6; source_use=5; fable=4; blockers=5,"source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion"
R3 repaired 2BD same-frontier,2bd3e449c2b778525a4d7b4453898912ebfc3664,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T023640Z,placeholder repaired; metadata repair changed no source facts,manifest_after_repair=10; sha_verified=True; source_use_gap=4; fable=4; blockers=3; canonical=0; placeholder_present_after=False,"source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion"
R2 Pan-Turkic 6A,6a895f1c9031090f6c4da5e7c4660cb15f713853,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_6A895F1C_LIVE_FRONTIER_RECOVERY_20260707,zero-row blockers/source-use carryforward; no bridge/pilot or closure,exact_source_blockers=15; zero_row=11; source_return_recovery=23; active_search=23; source_gated_support=4; wakes=38,"source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion"
R7 Malay/SEA/Pacific 6A,6a895f1c9031090f6c4da5e7c4660cb15f713853,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_6A895F1C_HEARTBEAT_TOKEN_RESET_DEDUP_REVERIFY_20260707,dedup reverify; no direct R7 path hits and no fact change,fact_change=False; changed_paths=93; direct_r7_hits=0; push=False,"source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion"
R9 Africa/Horn/West 6A,6a895f1c9031090f6c4da5e7c4660cb15f713853,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_6A895F1C_SAME_FRONTIER_TOKEN_RESET_RECOVERY_20260707,same-frontier OCR/Unicode/source-use recovery; no source certification,active_recovery=61; ocr=10; source_use=7; do_not_use=20; intake=2; wakes=16,"source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion"
OLP DFB0 support,dfb0ac3e028edec63ac62095c6759e64741645d2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_DFB0AC3E_R6_CONTEXT_REVIEW_SUPPORT_ACCOUNTING_20260707,review-only accounting; no real reviewer/source return,source_reviewer=11; slot_return=6; blank_slot_csv=54; blockers=12; real_reviewer=0; mapping_delta=0; translation_delta=0; approval_delta=0,"source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion"
Slavic 6A isolation,6a895f1c9031090f6c4da5e7c4660cb15f713853,C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_6A895F1C_STABLE_FRONTIER_SOURCE_BOUNDARY_RECHECK_20260707,stable source-boundary recheck; no Slavic canonical mutation,canonical_mutation=none; state_c_mutation=none; direct_slavic_triggers=None,"source-use/provenance/gap/generated-draft/non-canonical route only; no GitHub Issues, no coordinator/language push, no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge-pilot, pan-CJK authority, Korean-school authority, visual inventory, term spine, sign rendering, or translation completion"
