"packet_path","csv_name","rows","bytes","sha256","source_use_label"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_45250D8F_9CFC_CJK_ARABIC_86D_NONSLAVIC_ROUTE_BATCH_20260707","B3_ACTION_SUMMARY.csv","1","319","A82533077277D04B8448886ABEED2B711F243B6500F32EED54D38AB9755B8016","row-count/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_45250D8F_9CFC_CJK_ARABIC_86D_NONSLAVIC_ROUTE_BATCH_20260707","BRANCH_PR_STATE.csv","9","429","D7DBAD099F186AEAC53A589D9B1A7B64E5884F573C2B8D3157A80AA9AC005136","row-count/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_45250D8F_9CFC_CJK_ARABIC_86D_NONSLAVIC_ROUTE_BATCH_20260707","MANIFEST_REPLAY.csv","45","16010","00BEBE66FBC5524E66A1EA29E287626AE8611A5620768CBD2EA1DE87C6D84EF5","row-count/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_45250D8F_9CFC_CJK_ARABIC_86D_NONSLAVIC_ROUTE_BATCH_20260707","MANIFEST.csv","9","1775","331A61D94EC4C46F2456C0CC837D25CC2CDC37415DC9C2848439B741D5C6B0A5","row-count/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_45250D8F_9CFC_CJK_ARABIC_86D_NONSLAVIC_ROUTE_BATCH_20260707","PACKAGE_FILE_LEDGER.csv","54","34459","74F7F2413E55548A3C360B916EF2E9525D484CE9028BAC1229ED126738FE68CF","row-count/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_45250D8F_9CFC_CJK_ARABIC_86D_NONSLAVIC_ROUTE_BATCH_20260707","PACKAGE_ROOT_SUMMARY.csv","3","1666","EE006570FD277770D0A283B51131416EE38BACE0EABAA6A394F752C8C3D72A11","row-count/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_45250D8F_9CFC_CJK_ARABIC_86D_NONSLAVIC_ROUTE_BATCH_20260707","POST_PUSH_BRANCH_BLOB_VERIFICATION_BY_FROZEN_OID.csv","64","19509","EE796C86553E4957DF526B2DA75D197502B666BD40F2B1A4F27F2DD0D07BBD5D","row-count/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_45250D8F_9CFC_CJK_ARABIC_86D_NONSLAVIC_ROUTE_BATCH_20260707","SAFETY_SCAN_HITS.csv","2","3291","DCFA861083DC880015A921ACD54101BEC0809A6AE99629E72FC5586522A3293C","row-count/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_45250D8F_9CFC_CJK_ARABIC_86D_NONSLAVIC_ROUTE_BATCH_20260707","SHA256SUMS_REPLAY.csv","49","14968","E1AE6B4C245CEBF9C77DF4E33D905ACBF82EFA435B03DDA0300FE05D944734C6","row-count/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_C4304BFD_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","CJK_NATIVE_C4304BFD_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707_B3_UPLOADER_READY_SUMMARY.csv","1","1372","6BB357C283A59A9BC9CEF072986FD7569AC16A84A8DE6057EF63B0D46D2A9C09","row-count/source-use provenance"
