"witness_id","payload_relative_path","payload_absolute_path","source_body_original_local_path","original_source_url","bytes","sha256","source_use_label","source_witness_class","license_access_signal","language_topic_tags","branch_visibility_status","mapped_branch_path","draft_permission_after_8f7_gate","authority_boundary","b3_next_action"
"R6-8F7-WITNESS-0001","literal-source-witnesses/ACTIVE_GOAL_VERBATIM_20260706.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\ACTIVE_GOAL_VERBATIM_20260706.txt","","","459","3793733ae4a52b99ecc82fe1b1e6f2a426854bf0c47f0c5057d6dd7d8ca9494f","cycle8_generated_ledger_no_authority_claim","ocr_or_text_witness","not cleared by this package; see source-use label and original source metadata where present","R6 source/provenance/blocker support","local_only_not_in_branch_r6_package","language-source-bodies/r6-indigenous-creole-sign-20260705/ACTIVE_GOAL_VERBATIM_20260706.txt","source-canon/provenance support only unless a row-specific source baseline and authority route are recorded","source/source-witness index only; no approval, consent, license clearance, source certification, final status, or completion","B3 uploader may package this payload after source-use review; preserve row labels and blockers"
"R6-8F7-WITNESS-0002","literal-source-witnesses/blocker-ethics/BLOCKER_ETHICS_ROWS.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\blocker-ethics\BLOCKER_ETHICS_ROWS.csv","","","33714","c30c02c4938bab465fa89477fea962938098cfa7ca4727e2889f1019a7d1326d","blocker_ethics_rows_no_gate_promotion","literal_source_or_source_witness_body","generated package metadata","R6 source/provenance/blocker support","branch_visible_same_path_same_hash","language-source-bodies/r6-indigenous-creole-sign-20260705/blocker-ethics/BLOCKER_ETHICS_ROWS.csv","source-canon/provenance support only unless a row-specific source baseline and authority route are recorded","source/source-witness index only; no approval, consent, license clearance, source certification, final status, or completion","B3 uploader may package this payload after source-use review; preserve row labels and blockers"
"R6-8F7-WITNESS-0003","literal-source-witnesses/blocker-ethics/NOETHER_R6_BLOCKED_ROW_SOURCE_GATE_SLICE_02_20260704.md","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\blocker-ethics\NOETHER_R6_BLOCKED_ROW_SOURCE_GATE_SLICE_02_20260704.md","","","11274","7c0ea96f0e5d689b3a31691b1aa9ef0ff73a59125b862df708aed8df7473c89b","blocker_ethics_rows_no_gate_promotion","generated_metadata_or_blocker_ledger","R6 local artifact; no license clearance claimed","R6 source/provenance/blocker support","branch_visible_same_path_same_hash","language-source-bodies/r6-indigenous-creole-sign-20260705/blocker-ethics/NOETHER_R6_BLOCKED_ROW_SOURCE_GATE_SLICE_02_20260704.md","source-canon/provenance support only unless a row-specific source baseline and authority route are recorded","source/source-witness index only; no approval, consent, license clearance, source certification, final status, or completion","B3 uploader may package this payload after source-use review; preserve row labels and blockers"
"R6-8F7-WITNESS-0004","literal-source-witnesses/blocker-ethics/NOETHER_R6_GAP_TRANSITION_REQUIREMENTS_AUDIT_20260704.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\blocker-ethics\NOETHER_R6_GAP_TRANSITION_REQUIREMENTS_AUDIT_20260704.csv","","","102639","9da0260c1f315a33dd02d3e9d9cf582566655e29820fb276e045f14ec6fcaaf0","blocker_ethics_rows_no_gate_promotion","literal_source_or_source_witness_body","R6 local artifact; no license clearance claimed","R6 source/provenance/blocker support","branch_visible_same_path_same_hash","language-source-bodies/r6-indigenous-creole-sign-20260705/blocker-ethics/NOETHER_R6_GAP_TRANSITION_REQUIREMENTS_AUDIT_20260704.csv","source-canon/provenance support only unless a row-specific source baseline and authority route are recorded","source/source-witness index only; no approval, consent, license clearance, source certification, final status, or completion","B3 uploader may package this payload after source-use review; preserve row labels and blockers"
"R6-8F7-WITNESS-0005","literal-source-witnesses/blocker-ethics/NOETHER_R6_GAP_TRANSITION_REQUIREMENTS_AUDIT_20260704.md","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\blocker-ethics\NOETHER_R6_GAP_TRANSITION_REQUIREMENTS_AUDIT_20260704.md","","","3738","13c5e2f8100e61cd59e2d90d9c13d15ac8f269f6f9afbee2c90e9e5e61a55755","blocker_ethics_rows_no_gate_promotion","generated_metadata_or_blocker_ledger","R6 local artifact; no license clearance claimed","R6 source/provenance/blocker support","branch_visible_same_path_same_hash","language-source-bodies/r6-indigenous-creole-sign-20260705/blocker-ethics/NOETHER_R6_GAP_TRANSITION_REQUIREMENTS_AUDIT_20260704.md","source-canon/provenance support only unless a row-specific source baseline and authority route are recorded","source/source-witness index only; no approval, consent, license clearance, source certification, final status, or completion","B3 uploader may package this payload after source-use review; preserve row labels and blockers"
"R6-8F7-WITNESS-0006","literal-source-witnesses/blocker-ethics/SOURCE_ARCHIVE_TEX_STATUS.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\blocker-ethics\SOURCE_ARCHIVE_TEX_STATUS.csv","","","402","4fae7abdf6a64470bf9e9d90d829ffdb93489c1f172e1e213f5eb85b187d639a","blocker_ethics_rows_no_gate_promotion","literal_source_or_source_witness_body","generated package metadata","R6 source/provenance/blocker support","branch_visible_same_path_same_hash","language-source-bodies/r6-indigenous-creole-sign-20260705/blocker-ethics/SOURCE_ARCHIVE_TEX_STATUS.csv","source-canon/provenance support only unless a row-specific source baseline and authority route are recorded","source/source-witness index only; no approval, consent, license clearance, source certification, final status, or completion","B3 uploader may package this payload after source-use review; preserve row labels and blockers"
"R6-8F7-WITNESS-0007","literal-source-witnesses/blocker-ethics/SOURCE_BODY_TYPE_STATUS.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\blocker-ethics\SOURCE_BODY_TYPE_STATUS.csv","","","2285","9b3ee2b07edf1bc6a3382f27358737f6ecf04e3c012b9e0ad65e481325cf171d","blocker_ethics_rows_no_gate_promotion","literal_source_or_source_witness_body","generated package metadata","R6 source/provenance/blocker support","local_only_not_in_branch_r6_package","language-source-bodies/r6-indigenous-creole-sign-20260705/blocker-ethics/SOURCE_BODY_TYPE_STATUS.csv","source-canon/provenance support only unless a row-specific source baseline and authority route are recorded","source/source-witness index only; no approval, consent, license clearance, source certification, final status, or completion","B3 uploader may package this payload after source-use review; preserve row labels and blockers"
"R6-8F7-WITNESS-0008","literal-source-witnesses/blockers/BLOCKER_NEXT_ACTIONS.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\blockers\BLOCKER_NEXT_ACTIONS.csv","","","2044","624008c1a36992cd57b269013937626b18e21d6dc829930cb412b9aa3343b203","cycle8_generated_ledger_no_authority_claim","literal_source_or_source_witness_body","not cleared by this package; see source-use label and original source metadata where present","R6 source/provenance/blocker support","local_only_not_in_branch_r6_package","language-source-bodies/r6-indigenous-creole-sign-20260705/blockers/BLOCKER_NEXT_ACTIONS.csv","source-canon/provenance support only unless a row-specific source baseline and authority route are recorded","source/source-witness index only; no approval, consent, license clearance, source certification, final status, or completion","B3 uploader may package this payload after source-use review; preserve row labels and blockers"
"R6-8F7-WITNESS-0009","literal-source-witnesses/blockers/SEARCHED_PATHS_LEDGER.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\blockers\SEARCHED_PATHS_LEDGER.csv","","","1832","87e698a06acb795e28f7b51f8b0ad97ab12cd13ba46e58714e573a3f5b60c3ad","cycle8_generated_ledger_no_authority_claim","literal_source_or_source_witness_body","not cleared by this package; see source-use label and original source metadata where present","R6 source/provenance/blocker support","local_only_not_in_branch_r6_package","language-source-bodies/r6-indigenous-creole-sign-20260705/blockers/SEARCHED_PATHS_LEDGER.csv","source-canon/provenance support only unless a row-specific source baseline and authority route are recorded","source/source-witness index only; no approval, consent, license clearance, source certification, final status, or completion","B3 uploader may package this payload after source-use review; preserve row labels and blockers"
"R6-8F7-WITNESS-0010","literal-source-witnesses/ETHICS_AUTHORITY_CAVEATS.md","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\ETHICS_AUTHORITY_CAVEATS.md","","","1078","57f8d9b4da2f1c8aee41fe339416c609aa4f255f4ad35d7954e8a150a847f677","cycle8_generated_ledger_no_authority_claim","reviewer_authority_route_evidence_no_return","not cleared by this package; see source-use label and original source metadata where present","R6 source/provenance/blocker support","local_only_not_in_branch_r6_package","language-source-bodies/r6-indigenous-creole-sign-20260705/ETHICS_AUTHORITY_CAVEATS.md","authority route evidence only; no promotion or approval claim","source/source-witness index only; no approval, consent, license clearance, source certification, final status, or completion","B3 uploader may package this payload after source-use review; preserve row labels and blockers"
