"item","value","note"
"current_head","fd3754d1f1d286e48791770427f3a2059f1854f5","observed origin/codex/noether-pc-20260629=fd3754d1f1d286e48791770427f3a2059f1854f5"
"prior_frontier","faa2c330deb886098750dafb5c500e244e1333fe","local ACTIVE_SESSION_STATE frontier before this packet"
"branch_delta_rows","495","git diff --name-status faa2c330..fd3754d1"
"branch_visible_arabic_files_imported","30","text artifact copies under branch_visible_arabic_faa2c330_copy"
"arabic_source_checked_draft_rows","6","generated-draft/non-canonical Arabic six-row support"
"arabic_r3_micro_evidence_rows","61","branch FAA2 R3 0D Arabic micro-evidence rows"
"arabic_formula_interlinear_rows","61","formula-neighboring/interlinear notes"
"arabic_term_alternative_rows","11","alternatives only, not accepted terminology"
"blocker_recovery_rows_carried","1156","branch FAA2 R3 0D blocker/recovery rows"
"arabic_source_witness_rows","426","Arabic branch-visible source witness rows"
"arabic_fable_source_use_adverse_rows","2858","Fable/source-use/adverse ledger copied from branch Arabic package"
"raw_zip_copied","false","source-corpus ZIP remains local-only; this packet carries text ledgers/pointers only"
"git_push_from_language_lane","false","B3 packages/pushes"
