"record_id","record_type","lineage_group","revision_or_unit","measurement","sha256_or_commit","evidence_basis","rights_or_quality_caveat","classification"
"FR_SLICE_I_8","source_slice_authority","FRENCH_ARXIV_AUTHORITY","closed working unit SGA1-I.8","7259 bytes; Lines 1493-1653 inclusive; line 1654 begins I.9","A8885501DFCE9760EA0EC20EB6894F8E45B53E71C131132238F24C7579D0A86D","Exact LF-normalized source slice for Expose I section I.8","Hash is of the exact LF-normalized UTF-8 source slice; French TeX remains the sole text authority","verified"
"ORIG_SCAN_SGA1_I8","original_print_audit_witness","ORIGINAL_FRENCH_PRINT_LINEAGE","local recovered witness checked 2026-07-19","2593116 bytes; Physical PDF pages 24-26; printed Expose I pages 13-15","7898CBEABA04C4BF1DFF6D784B6366103EEA482F724BAFA594BE791AD4AEE1F6","User-recovered original-print SGA1 scan used for I.8 page and shared-defect adjudication","Audit witness only; not a translation substrate and excluded from public payload for rights and provenance hygiene","verified_audit_only"
"JM_I_8_CONTAINER","external_english_candidate_negative_coverage","HOSGOOD_DERIVATIVE_LINEAGE","29ac35d acquired snapshot","12973 bytes; Chapter container stops before I.8; no I.8 body","5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3","jmoellermath Expose I TeX chapter checked for I.8 coverage","Correlated with Hosgood lineage and never authority; repository naming does not establish coverage","verified_control_only_absent"
"TH_I_8","external_english_candidate_unit","HOSGOOD_DERIVATIVE_LINEAGE","HEAD c4fd0e8; started fecbbec; finished ba02c670","6504 bytes; Full I.8 lines 1-108; normalized slice SHA F8B93309511786146223C9D6ED396D0F9A1BAE64540750ED32F710E7FEE35A05","15785A4D60E40820D1352D58176D6171174F3A5E3697E359ADEDAB0CBFEA2632","Hosgood tree candidate for SGA1 I.8","Correlated continuation of jmoellermath translator lineage; useful only as target-language control and contains source-formula regressions","verified_control_only"
"JCR_CURRENT_I_8","external_english_candidate_unit","JCREINHOLD_LLM_LINEAGE","e7a259f3f8608ad3edf9bf6eead3fd504dd2d23e","68737 bytes; I.8 slice lines 661-762: 5907 bytes; SHA C7AB0D2DB1148C9CB2A01A41830E0616A868FF85825517DE973EC047ED5DEFA4","9F9D34E6D38B5730E9C3A248245AB775CB342EBA524D134CF317FDB00FC7541A","Current Markdown candidate containing an I.8 slice","Self-described LLM translation; one comparison lineage only; every reuse requires direct French and formula audit","verified_control_only"
"JCR_LEGACY_I_8","external_english_candidate_unit","JCREINHOLD_LLM_LINEAGE","recovered stale conversion","1026712 bytes; I.8 slice lines 1343-1476: 6415 bytes; SHA 1D14682262C334E442D6F70E12FE74B9F850BA2CDE3B9142B1A479577B45C738","231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0","Stale local TeX conversion containing an I.8 slice","Stale same-lineage conversion with poor Pandoc constructs; never preferred over current Markdown or French authority","verified_control_only_stale"
"COV-026","external_candidate_coverage","HOSGOOD_DERIVATIVE_LINEAGE","SGA1 I.8","12973-byte Expose I chapter SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.8","not_applicable","absent; repository and chapter filenames do not establish body coverage","Target-language comparison control only; never source authority or independent corroboration.","absent_verified"
"COV-027","external_candidate_coverage","HOSGOOD_DERIVATIVE_LINEAGE","SGA1 I.8","6504-byte tree SHA 15785A4D60E40820D1352D58176D6171174F3A5E3697E359ADEDAB0CBFEA2632 spans I.8; normalized slice SHA F8B93309511786146223C9D6ED396D0F9A1BAE64540750ED32F710E7FEE35A05","not_applicable","substantive target-language control; correlated with JM lineage and contains title hierarchy formula and source-defect regressions","Target-language comparison control only; never source authority or independent corroboration.","control_only_source_compared"
"COV-028","external_candidate_coverage","JCREINHOLD_LLM_LINEAGE","SGA1 I.8","whole file 68737 bytes SHA 9F9D34E6D38B5730E9C3A248245AB775CB342EBA524D134CF317FDB00FC7541A; I.8 slice lines 661-762 is 5907 bytes SHA C7AB0D2DB1148C9CB2A01A41830E0616A868FF85825517DE973EC047ED5DEFA4","not_applicable","substantive current Markdown control; one LLM lineage; source defects and Markdown formula rendering require direct French audit","Target-language comparison control only; never source authority or independent corroboration.","control_only_source_compared"
"COV-029","external_candidate_coverage","JCREINHOLD_LLM_LINEAGE","SGA1 I.8","whole file 1026712 bytes SHA 231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0; I.8 slice lines 1343-1476 is 6415 bytes SHA 1D14682262C334E442D6F70E12FE74B9F850BA2CDE3B9142B1A479577B45C738","not_applicable","stale TeX-conversion control; same lineage as current Markdown and contains poor conversion constructs; no independent agreement","Target-language comparison control only; never source authority or independent corroboration.","stale_control_only_source_compared"
