decision_id,source_lines,decision_category,selected_english_convention,rejected_regression_category,evidence_channel,review_status
I04-001,800-804,heading notice and Exposé IV note,retain the two-clause title and attach the note before the final period,candidate-added time qualification or title conjunction,French TeX source syntax,closed_independent_pass
I04-002,806-822,Definition I.4.1 and historical terminology,retain net with unramified equivalence at defining occurrences and use unramified thereafter,erasure of the historical term or unexplained running net,French TeX and established I.3 terminology policy,closed_independent_pass
I04-003,824-849,completion criteria and logical disjunction,preserve every completion map and the trivial-extension OR algebraically-closed hypothesis,approximate source pagination or collapsed disjunction,French TeX and original-print page boundary,closed_independent_pass
I04-004,851-862,open étale locus and pointwise scope,retain the I.3.7 dependency open locus and exact pointwise scope,false-friend platitude or punctual wording,French TeX theorem context,closed_independent_pass
I04-005,863-878,stability properties proof and nonce word,state the complete base-change assertion place p.5 at the proof and retain multiplodoque,elliptical fragment candidate Latinization or source-external note,French TeX and original-print pp.4-5,closed_independent_pass
I04-006,879-895,Cartesian product graph and projection,preserve Cartesian-product wording and every typed graph/projection role,unstated relative-product base or formula-role drift,French TeX formula-domain review,closed_independent_pass
I04-007,896-916,covering definition fiber algebra and index debt,retain étale and net covering names use finite product and record four index debts,unsure placeholder finite composition or silent index loss,French TeX plus internal lines 2064-2069,closed_independent_pass
I04-008,918-940,trace pairing and discriminant,use the type-correct map to the dual with immediate shared-source-defect disclosure,literal ill-typed target silent correction or malformed formula,French TeX original print and bilinear-form typing,source_defect_disclosed_independent_pass
I04-009,942-951,closing unnumbered remark and printed p.6,place p.6 before a complete plain Remark heading and retain the normality contrast,split-sentence page marker or visible-star regression,French TeX style definition and original print,closed_independent_pass
I04-010,952,unit boundary,exclude the §I.5 heading and fix the cursor at line 952,candidate range continuation or filename-based scope inference,French TeX line 952,cursor_fixed_independent_pass
