"decision_id","source_lines","french_source_cue","jm_2018_form","thosgood_current_form","jcreinhold_current_form","selected_english","rejected_regression_or_unresolved_choice","evidence_channel","review_status"
"I07-001","1217-1236","Section I.7 and Proposition I.7.1; u'=F'(u); q over p; unramified localization","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Complete envelope; capitalizes Noetherian","Complete envelope; uses running net and derived-polynomial or trace phrasing","Exact section and proposition hierarchy; lowercase noetherian; formal derivative; contraction; unramified","Unexplained running net; capitalized adjective; derived polynomial; trace instead of contraction","French TeX lines 1217-1236; original print p.10; both complete target controls","closed_source_checked_independent_pass"
"I07-002","1238-1258","Corollary I.7.2; different ideal; Omega quotient; J' calculation; hierarchy N.B.","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Adds a proof wrapper and drops the hierarchy N.B.","Complete text but code-formats mathematical objects","Different ideal; exact Omega and J' calculation; unheaded continuation; authorial N.B. retained","Discriminant substitution; proof wrapper or QED; omitted N.B.; code-format formulas","French TeX lines 1238-1258; formula comparison; source hierarchy","closed_source_checked_independent_pass"
"I07-003","1260-1271","Corollary I.7.3 and flat-etale-unramified bridge","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Retains the iff envelope but uses candidate-specific proof styling","Uses running net","If and only if u' is outside q; flatness makes etale equivalent to unramified; unheaded justification","Running net; added proof wrapper; weakened necessary-and-sufficient register","French TeX lines 1260-1271; original print p.10","closed_source_checked_independent_pass"
"I07-004","1273-1297","Corollary I.7.4; ideal generated by F and F'; separable-polynomial definition and index","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Corrupts the formula to an ideal F' generated by F","Preserves both polynomials but code-formats some objects","Unit ideal generated by F and F'; separable polynomial definition; source index entry deferred explicitly","Thosgood formula corruption; code formatting; silently dropping the source index entry","French TeX lines 1273-1297; original print pp.10-11; index command lines 1291-1294","closed_source_checked_independent_pass"
"I07-005","1302-1328","Corollary I.7.5; respective branches; rank; primitive element and Nakayama; corrected modulo","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Adds proof styling and uses British terminology elsewhere","Uses running net and code-format formulas","Exact quotient or isomorphism branches; degree n; generator and basis; F and F' generate A[t] modulo mA[t]","Running net; added proof wrapper; source-original module typo; branch collapse","French TeX lines 1302-1328 with corrected branch; original print p.11","closed_source_checked_independent_pass"
"I07-006","1330-1347","Theorem I.7.6; local O; essentially finite type; integral B; B_n; derivative condition; sufficient-conditions aside and corollary bridge","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Broad theorem envelope with wording drift","Uses running net and malformed localization notation in places","mathcal O; localization of an A-algebra of finite type; integral B; O isomorphic to B_n; F'(u) outside n; both source bridge sentences retained","Plain O; net; malformed localized-algebra phrasing; corrupted localization; dropped pleasant-corollaries bridge","French TeX lines 1330-1347; corrected mathcal O branch; original print p.11","closed_source_checked_independent_pass"
"I07-007","1349-1358","Corollary I.7.7 and O'=B'_{n'} construction","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Adds redundant unramified wording","Has prime and localization corruption in derived renderings","Unramified O iff quotient of an analogous etale A-algebra; exact primed construction and inverse image","Added hypothesis; dropped primes; malformed localization","French TeX lines 1349-1358; original print p.11","closed_source_checked_independent_pass"
"I07-008","1360-1373","Corollary I.7.8; local geometric factorization","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Uses British neighbourhood","Uses running net","Open neighborhood U; closed immersion U to X'; etale X' to Y; unramified at x","Neighbourhood; running net; flattened arrows","French TeX lines 1360-1373; original print p.12","closed_source_checked_independent_pass"
"I07-009","1375-1380","Bridge from main assertion; source says jargon; wrongly gives unprimed O the desired stronger presentation; conditional etale hypothesis is elided before the I.4.8 step","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Smooths the register and reproduces the source defects silently","Reproduces the unprimed reading and leaves the conditional transition implicit","Statement; surjective homomorphism O' to O; O' has the desired form; if O is etale then both algebras are etale; literal jargon and both source defects disclosed","Literal unprimed O; unconditional assertion that O is etale; unexplained categorical epimorphism","French TeX lines 1375-1380; original print p.12; theorem's final conditional case; I.7.7 and I.4.8 dependencies; two-stage adversarial re-audit","closed_source_checked_independent_pass"
"I07-010","1382-1395","Proof opening; Main Theorem; K(O); separable and monogenic; maximal ideals and residue chain","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Has B(O), monogenous, maximal ideas, and proof-order drift","Broad text envelope with notation risks","K(mathcal O); monogenic; maximal ideals; exact B/n=B_n/nB_n=B_n/mB_n chain; source proof order","B(O); monogenous; maximal ideas; relocated proof material","French TeX lines 1382-1395; original print p.12","closed_source_checked_independent_pass"
"I07-011","1396-1406","Lemma I.7.9 source prints B'=B[u] and n'=nB'","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Reproduces the circular and type-wrong formulas","Reproduces the source formulas with localization corruption","B'=A[u] and n'=n intersect B'; canonical localization map; correction disclosed","Literal B'=B[u]; extension nB'; silent repair","French TeX lines 1396-1406; original print p.12; downstream diagram and lying-over proof","closed_source_checked_independent_pass"
"I07-012","1408-1426","Lemma I.7.10; hierarchy note; monic F; reduction f; derivative criterion","No I.7 body located; 12973-byte chapter container SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","Relocates the proof before the two-lemma combination","Has derivative and prime-rendering risks","Lemma remains before its proof; source hierarchy note retained; exact k[t]/fk[t] and F'(u) argument","Proof relocation; derivative corruption; omitted hierarchy note","French TeX lines 1408-1426; original print pp.12-13","closed_source_checked_independent_pass"
