"alias","branch_path","packet_copy","bytes","sha256","csv_rows","use_in_r3"
"non_slavic_c033_summary","coordination/non-slavic-core-c033f393-18b-1fa-branch-visibility-20260707/NON_SLAVIC_CORE_C033F393_18B_1FA_BRANCH_VISIBILITY_20260707/SUMMARY.json","branch-visible-inputs/non_slavic_c033_summary__SUMMARY.json","1032","1f8884e12a2855839b35900ce3ed75de089562cbfbef15052d51c789df587dd4","0","C033 parent branch visibility context only"
"non_slavic_c033_source_use","coordination/non-slavic-core-c033f393-18b-1fa-branch-visibility-20260707/NON_SLAVIC_CORE_C033F393_18B_1FA_BRANCH_VISIBILITY_20260707/SOURCE_USE_GAP_FABLE_ADVERSE_CARRYFORWARD_C033F393.csv","branch-visible-inputs/non_slavic_c033_source_use__SOURCE_USE_GAP_FABLE_ADVERSE_CARRYFORWARD_C033F393.csv","885","563c56852669827e62fda151be558a6bcc89a6a73eff7f5935134ce86666a2b0","3","C033 source-use/gap/Fable carryforward context"
"non_slavic_c033_blockers","coordination/non-slavic-core-c033f393-18b-1fa-branch-visibility-20260707/NON_SLAVIC_CORE_C033F393_18B_1FA_BRANCH_VISIBILITY_20260707/EXACT_BLOCKER_RECOVERY_ROWS_C033F393.csv","branch-visible-inputs/non_slavic_c033_blockers__EXACT_BLOCKER_RECOVERY_ROWS_C033F393.csv","856","657e60c7b8e2739fe14e9fc69da854e200ccb528e37da99a8703c9411917e29c","3","C033 blocker/recovery context"
"non_slavic_c033_parent_inventory","coordination/non-slavic-core-c033f393-18b-1fa-branch-visibility-20260707/NON_SLAVIC_CORE_C033F393_18B_1FA_BRANCH_VISIBILITY_20260707/PARENT_PACKET_VISIBILITY_INVENTORY_C033F393.csv","branch-visible-inputs/non_slavic_c033_parent_inventory__PARENT_PACKET_VISIBILITY_INVENTORY_C033F393.csv","464","dbe638ce66c412040b53795bd613b6a6c8bc256456e499834f9e41eea61609b7","2","C033 parent packet visibility context"
"non_slavic_1fa_summary","coordination/non-slavic-core-1fa37d6d-18bbb-route-context-visibility-20260707/NON_SLAVIC_CORE_1FA37D6D_18BBB_ROUTE_CONTEXT_VISIBILITY_20260707/SUMMARY.json","branch-visible-inputs/non_slavic_1fa_summary__SUMMARY.json","1243","cc9117edd827c6dfb7be7a2405f082d67361ad6031345655629147b7802d2fff","0","1FA route context only"
"non_slavic_1fa_source_use","coordination/non-slavic-core-1fa37d6d-18bbb-route-context-visibility-20260707/NON_SLAVIC_CORE_1FA37D6D_18BBB_ROUTE_CONTEXT_VISIBILITY_20260707/SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_1FA37D6D.csv","branch-visible-inputs/non_slavic_1fa_source_use__SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_1FA37D6D.csv","1936","f22e57fe3f98f88cbc5bc1d588e3ec3e9d8c7aa7cf09dc9832139350d8ff0bb2","6","1FA source-use/gap/Fable rollup context"
"non_slavic_1fa_blockers","coordination/non-slavic-core-1fa37d6d-18bbb-route-context-visibility-20260707/NON_SLAVIC_CORE_1FA37D6D_18BBB_ROUTE_CONTEXT_VISIBILITY_20260707/EXACT_BLOCKER_RECOVERY_ROWS_1FA37D6D.csv","branch-visible-inputs/non_slavic_1fa_blockers__EXACT_BLOCKER_RECOVERY_ROWS_1FA37D6D.csv","1735","d04a8401d0b33d1be5f8261c7067e8b0ce9c28546324dd2faf55cf31c09bfb42","6","1FA blocker/recovery context"
"non_slavic_18b_summary","coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/SUMMARY.json","branch-visible-inputs/non_slavic_18b_summary__SUMMARY.json","1744","c5850f051854d80bed03c23d1997be58af937f348d7b8ff6879430a16366d482","0","18BBB parent route context only"
"non_slavic_18b_source_use","coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_18BBB185.csv","branch-visible-inputs/non_slavic_18b_source_use__SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_18BBB185.csv","3113","20de0137b343f4a4421aeec464cd8049b823f93098a6ae0ebef7e917df1ff2ac","10","18BBB source-use/gap/Fable rollup context"
"non_slavic_18b_blockers","coordination/non-slavic-core-18bbb185-a55-7b-route-context-batch-20260707/NON_SLAVIC_CORE_18BBB185_A55_7B_ROUTE_CONTEXT_BATCH_20260707/EXACT_BLOCKER_RECOVERY_ROWS_18BBB185.csv","branch-visible-inputs/non_slavic_18b_blockers__EXACT_BLOCKER_RECOVERY_ROWS_18BBB185.csv","2323","cf7c1d0e9457f1231247f031390c66140c09d371eea680038403a9120c830a4f","8","18BBB blocker/recovery context"
"r3_18bbb_package_validation","interlanguage-sidecar/r3-18bbb185-a55-7b-route-context-source-use-gap-20260707/R3_18BBB185_A55_7B_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T042315Z/PACKAGE_VALIDATION.json","branch-visible-inputs/r3_18bbb_package_validation__PACKAGE_VALIDATION.json","1537","97823cc622bb704a305c8aa929edcb6e63f77432fdc8725323f7c7467ecfb0e3","0","R3 18BBB branch-visible prior validation witness"
"r3_18bbb_source_use","interlanguage-sidecar/r3-18bbb185-a55-7b-route-context-source-use-gap-20260707/R3_18BBB185_A55_7B_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T042315Z/R3_18BBB185_SOURCE_USE_GAP_RECOVERY_ROWS.csv","branch-visible-inputs/r3_18bbb_source_use__R3_18BBB185_SOURCE_USE_GAP_RECOVERY_ROWS.csv","1559","c4d57dbf1016513b1a94352b6b2a3e045adbab8622f6ac16b103bf65ae15d3e9","5","R3 18BBB source-use/gap carryforward"
