physical_page	authority_pdf_page	article_page	comparator_pdf_page	printed_page	prompt_id	disposition	topology_marker
1	1				P01	EXCLUDE_COPY_MATTER_RETAIN_PROVENANCE	vector NUMDAM cover; both authors; title and publication locator; exclude from edition bodies
2	2	1	1	507	P01	INCLUDE_WORK	printed 507; article title; joint byline; Cartan dedication; Introduction; §1 begins
3	3	2	2	508	P01	INCLUDE_WORK	continuous article text and mathematics
4	4	3	3	509	P01	INCLUDE_WORK	continuous article text and mathematics
5	5	4	4	510	P01	INCLUDE_WORK	printed 510; §2 begins
6	6	5	5	511	P01	INCLUDE_WORK	continuous article text and mathematics
7	7	6	6	512	P02	INCLUDE_WORK	printed 512; §3 begins
8	8	7	7	513	P02	INCLUDE_WORK	printed 513; §4 begins
9	9	8	8	514	P02	INCLUDE_WORK	continuous article text and mathematics
10	10	9	9	515	P02	INCLUDE_WORK	continuous article text and mathematics
11	11	10	10	516	P02	INCLUDE_WORK	continuous article text and mathematics
12	12	11	11	517	P02	INCLUDE_WORK	continuous article text and mathematics
13	13	12	12	518	P03	INCLUDE_WORK	printed 518; §5 begins
14	14	13	13	519	P03	INCLUDE_WORK	continuous article text and mathematics
15	15	14	14	520	P03	INCLUDE_WORK	printed 520; §6 begins
16	16	15	15	521	P03	INCLUDE_WORK	continuous article text and mathematics
17	17	16	16	522	P03	INCLUDE_WORK	continuous article text and mathematics
18	18	17	17	523	P03	INCLUDE_WORK	printed 523; §7 begins
19	19	18	18	524	P04	INCLUDE_WORK	continuous article text and mathematics
20	20	19	19	525	P04	INCLUDE_WORK	printed 525; §8 begins
21	21	20	20	526	P04	INCLUDE_WORK	continuous article text and mathematics
22	22	21	21	527	P04	INCLUDE_WORK	printed 527; §9 begins
23	23	22	22	528	P04	INCLUDE_WORK	continuous article text and mathematics
24	24	23	23	529	P04	INCLUDE_WORK	printed 529; Proposition 9.7; Remarque 9.8; Bibliographie [1]-[3]
25	25	24	24	530	P05	INCLUDE_WORK	printed 530; Bibliographie [4]-[27]; received date; both address blocks; EOF
