"audit_id","source_witness_id","lane","target_language_or_access_target","witness_class","source_level","source_title_or_route_label","topic_tags","route_status","evidence_tier","source_url","current_url_status","current_content_type","current_content_length","current_access_error","local_path","local_sha256_or_status","local_byte_count_or_status","license_or_access_signal","source_return_status","source_package_or_item_level_status","gap_or_blocker_note","non_claim_boundary"
"R7SEASRC001","SEA-BIK-01","SEA-Pacific","Bikol","language_context","html_learning_material_page","Bikol DepEd language-material context page","Bikol;language_material;DepEd","source_return_only","LANGUAGE_CONTEXT_NOT_MATH_SOURCE","https://lrmds.deped.gov.ph/detail/3653","200","text/html; charset=UTF-8","","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\bikol\bikol_deped_language_material_context.html","5D5A3B075865DA95D03E68FA9C99183C62BA5EAD7A9AA045263AB06F767574EE","34987","official_portal_license_not_established; current_url_status_200; no_license_clearance_claimed","language_material_only_not_math_source","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","language_material_only_not_math","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC002","SEA-CEB-01","SEA-Pacific","Cebuano","official_learning_portal","html_landing_page","DepEd Mathematics 1 Sinugbuanong Binisaya Unit 1 learner material page","DepEd;Cebuano;Grade1;mathematics;landing_page","source_return_only","OFFICIAL_LOWER_MATH_PORTAL_SOURCE_RETURN","https://lrmds.deped.gov.ph/detail/5774","200","text/html; charset=UTF-8","","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\cebuano\cebuano_deped_math1_unit1.html","C5D9AC7245814B710D34578B523F598E431EDF01F23FD1AECF5E7C11F7A3A0DC","36016","official_portal_license_not_established; current_url_status_200; no_license_clearance_claimed","lower_grade_DepEd_math_item_metadata_not_higher_algebra","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","landing_page_for_lower_math_not_higher_algebra","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC003","SEA-CEB-02","SEA-Pacific","Cebuano","official_learning_portal","html_landing_page","DepEd Mathematics 2 Sinugbuanong Binisaya Unit 1 learner material page","DepEd;Cebuano;Grade2;mathematics;landing_page","source_return_only","OFFICIAL_LOWER_MATH_PORTAL_SOURCE_RETURN","https://lrmds.deped.gov.ph/detail/4533","200","text/html; charset=UTF-8","","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\cebuano\cebuano_deped_math2_unit1.html","DDEC10413F744F34BEC8266FCED3B057857936AF0531E8C9C3F57F1C50B47DE8","38263","official_portal_license_not_established; current_url_status_200; no_license_clearance_claimed","lower_grade_DepEd_math_item_metadata_not_higher_algebra","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","landing_page_for_lower_math_not_higher_algebra","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC004","SEA-FIL-TAG-01","SEA-Pacific","Filipino_Tagalog_Ilocano","glossary_pdf","pdf_downloaded_not_extracted_pass2","Cambium Grade 10 Filipino math glossary PDF","grade10;mathematics_glossary;Filipino;Tagalog;Ilocano","source_return_only","GLOSSARY_SOURCE_RETURN_NOT_PROOF_PROSE","https://wa.portal.cambiumast.com/content/contentresources/en/G10-Filipino-Glossary_F6_Final.pdf","ERR","ERR","ERR","Response status code does not indicate success: 403 (Forbidden).","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\filipino_tagalog_higher_algebra\filipino_g10_math_glossary_pdf.pdf","6B778699B0FD104602C276B7825AB0C22062EAD88C9807EC0230FB78578A7445","179459","public_testing_accommodation_license_not_established; current_url_status_ERR; no_license_clearance_claimed","glossary_only_not_higher_algebra_proof_prose","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","glossary_not_higher_algebra_proof_text","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC005","SEA-FIL-TAG-02","SEA-Pacific","Tagalog","glossary_pdf","pdf_downloaded_not_extracted_pass2","NYU/Metro Center grades 6-8 Tagalog mathematics glossary PDF","grades6_8;mathematics_glossary;Tagalog","source_return_only","GLOSSARY_SOURCE_RETURN_NOT_PROOF_PROSE","https://docs.steinhardt.nyu.edu/pdfs/metrocenter/atn293/msmath/intermediate_level_6-8_math_tagalog.pdf","200","application/pdf","410207","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\filipino_tagalog_higher_algebra\tagalog_grades6_8_math_glossary_pdf.pdf","030844A711475E19F56FD976C7D0F4A7FDC2243469B074B5088CA479BE6DAA48","410207","public_testing_accommodation_license_not_established; current_url_status_200; no_license_clearance_claimed","glossary_only_not_higher_algebra_proof_prose","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","lower_grade_glossary_not_higher_algebra_proof_text","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC006","SEA-HIL-01","SEA-Pacific","Hiligaynon","official_learning_portal","html_listing_page","DepEd Hiligaynon mathematics listing page","DepEd;Hiligaynon;Grade1;mathematics;listing","source_return_only","OFFICIAL_LOWER_MATH_PORTAL_SOURCE_RETURN","https://lrmds.deped.gov.ph/list/kto12/subject/233?page=10","200","text/html; charset=UTF-8","","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\hiligaynon\hiligaynon_deped_math_list_match.html","BB0472425C6411C9EE9409F78C1810F5A1893D15FBE60A93D097E08275815AE4","44968","official_portal_license_not_established; current_url_status_200; no_license_clearance_claimed","listing_only_item_detail_not_captured","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","listing_only_not_exact_math_text","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC007","SEA-HMONG-01","SEA-Pacific","Hmong_Miao","glossary_pdf_download_failed","download_failed","Cambium Grade 10 Hmong mathematics glossary failed capture","Hmong;Grade10;mathematics_glossary","download_failed_blocker","DOWNLOAD_BLOCKER_OR_RETRY_CANDIDATE","https://wa.portal.cambiumast.com/content/contentresources/en/G10-Hmong-Glossary_F6_Final.pdf","ERR","ERR","ERR","Response status code does not indicate success: 403 (Forbidden).","not_applicable_no_local_payload","716A2F2DFAD2773CEFB2DB2F684D92D4414AE21821CF33465A8A48BCB348F0B7","not_applicable_no_local_payload","no_content_captured; current_url_status_ERR; no_license_clearance_claimed","download_blocked_no_local_content","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","HTTP_403_no_content_captured","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC008","SEA-HMONG-02","SEA-Pacific","Hmong_Miao","glossary_pdf","pdf_downloaded_not_extracted_pass2","Cambium Grade 4 Hmong mathematics glossary PDF","Hmong;Grade4;mathematics_glossary","source_return_only","GLOSSARY_SOURCE_RETURN_NOT_PROOF_PROSE","https://wa.portal.cambiumast.com/content/contentresources/en/G4-Hmong-Glossary_F6_Final.pdf","ERR","ERR","ERR","Response status code does not indicate success: 403 (Forbidden).","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\hmong_miao\hmong_g4_math_glossary_pdf.pdf","079784E291E6D8AD93CBB5B5FE799674592C25D59EEAA2C32D6E81C9DBABF4FF","133025","public_testing_accommodation_license_not_established; current_url_status_ERR; no_license_clearance_claimed","lower_grade_glossary_only_not_higher_algebra","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","lower_grade_glossary_not_higher_algebra","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC009","SEA-ILO-01","SEA-Pacific","Ilokano","academic_context","html_context_page","Ilokano mother-tongue mathematics competence context page","Ilokano;mathematics_instruction;competence_context","source_return_only","ACADEMIC_CONTEXT_NOT_HIGHER_ALGEBRA","https://www.slideshare.net/slideshow/mother-tongue-based-mathematics-iloko-langauage-competence-75815480/75815480","200","text/html; charset=utf-8","3038","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\ilokano\ilokano_math_competence_context.html","8091F104ACAA5ECC76BD4EAA273581915DE1BDCBA890358EA4355F391B192A89","1369584","not_established_in_local_capture; current_url_status_200; no_license_clearance_claimed","context_page_only_not_source_text","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","context_page_not_higher_algebra_text","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC010","SEA-KHMER-01","SEA-Pacific","Khmer","book_index","html_book_collection_page","Khmer mathematics books collection page","Khmer;math_books;geometry;Grade9;book_index","title_listing_only","BOOK_INDEX_TITLE_LISTING_ONLY","https://maths24h.wordpress.com/maths-books-collection/khmer-maths-books/","200","text/html; charset=UTF-8","","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\khmer_university_mathematics\khmer_math_books_page.html","E445B60609685231E3E6BDEF6B4F0F6637CD650913B233F8337A3702505635CC","260272","community_book_index_license_not_established; current_url_status_200; no_license_clearance_claimed","book_index_title_listing_only_not_exact_text","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","book_index_not_exact_higher_algebra_text","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC011","SEA-KHMER-GAP-01","SEA-Pacific","Khmer","glossary_pdf_download_failed","download_failed","Khmer mathematics terms glossary PDF failed local capture","Khmer;mathematics_terms;glossary","download_failed_blocker","DOWNLOAD_BLOCKER_OR_RETRY_CANDIDATE","https://kosalmath.files.wordpress.com/2012/04/mathematics_terms_english_khmer.pdf","200","application/pdf","167615","","not_applicable_no_local_payload","4DD3072D79C0D17D9F2DD2ADE14168E2D101E55DB6104D924DD42DBC7348B7AD","not_applicable_no_local_payload","no_content_captured; current_url_status_200; no_license_clearance_claimed","current_url_resolves_but_no_local_payload_captured_in_previous_pass","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","expired_certificate_no_content_captured","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC012","SEA-LAO-01","SEA-Pacific","Lao","official_textbook_portal","html_snapshot","JICA Laos primary mathematics textbook portal","Lao;JICA;primary_math;textbook_portal","source_return_only","OFFICIAL_PRIMARY_MATH_PORTAL_SOURCE_RETURN","https://www.jica.go.jp/english/activities/issues/education/materials/math/laos/lao.html","200","text/html","48943","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\lao_higher_mathematics\lao_jica_primary_math_page.html","02B2258FFA39B5CDF7450FABBE3F1EDE431FC46DC3441A7ACC0F96ACB8181F00","48943","official_project_portal_license_not_established; current_url_status_200; no_license_clearance_claimed","official_primary_math_portal_not_higher_algebra","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","primary_textbook_portal_not_higher_algebra","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC013","SEA-LAO-02","SEA-Pacific","Lao","official_learning_platform","html_snapshot","Lao Learning Passport high-school math platform snapshot","Lao;high_school_math;algebra;geometry;course_listing","source_return_only","OFFICIAL_PLATFORM_LISTING_NOT_EXACT_TEXT","https://laos.learningpassport.org/","200_GET_HEAD_405","text/html; charset=utf-8","1343225","HEAD returned 405; GET returned 200","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\lao_higher_mathematics\lao_learningpassport_high_school_math.html","1A57331C9029FE5FB586B3DD6403A01A030FCE67EC0348A3BB4BF829FCE551FC","1343225","official_learning_platform_license_not_established; current_url_status_200_GET_HEAD_405; no_license_clearance_claimed","platform_listing_snapshot_not_exact_source_text","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","platform_listing_not_exact_source_text","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC014","SEA-MIEN-01","SEA-Pacific","Mien_Yao","language_context","html_resource_page","Mien Global language resource context page","Iu_Mien;language_resources","source_return_only","LANGUAGE_CONTEXT_NOT_MATH_SOURCE","https://www.mienglobal.org/free-resources","200","text/html; charset=utf-8","","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\mien_yao\mien_global_language_resource_context.html","53671EBAD6A013D1F5979E259B4A0F59A408DDF5AD99B1BB5700E2E572E7192F","134149","community_resource_license_not_established; current_url_status_200; no_license_clearance_claimed","language_resource_only_not_math_source","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","language_resource_only_not_math","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC015","SEA-MON-GAP-01","SEA-Pacific","Mon","language_context","html_language_context_page","Mon language context gap page","Mon;language_context","source_return_only","LANGUAGE_CONTEXT_NOT_MATH_SOURCE","https://www.omniglot.com/writing/mon.htm","200","text/html; charset=UTF-8","","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\mon\mon_language_context_gap.html","98BDC596C58AFCFA26B824247ABE92BE115571D29AA02D41BFC24ADCDC44E97D","26349","language_context_license_not_established; current_url_status_200; no_license_clearance_claimed","language_context_only_no_math_source_found","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","no_math_source_found_in_pass","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC016","SEA-SANTALI-01","SEA-Pacific","Santali_Munda","official_textbook_listing","html_textbook_listing","Bharatavani Santali textbook listing","Santali;Ol_Chiki;mathematics_textbook_listing","title_listing_only","OFFICIAL_TEXTBOOK_LISTING_TITLE_ONLY","https://bharatavani.in/santali/textbook","200","text/html; charset=UTF-8","","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\santali_munda\santali_bharatavani_math_textbook.html","7AF73CD16C83FE65D02A1301463FAAF9BAF85D99B80F4FCF848DA5D50298AB72","57801","official_language_resource_portal_license_not_established; current_url_status_200; no_license_clearance_claimed","textbook_listing_only_login_required_for_exact_reading","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","textbook_listing_not_exact_higher_algebra_text","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC017","SEA-SHAN-01","SEA-Pacific","Shan","language_context","html_language_textbook_page","ESSBC Shan language textbook context page","Shan;language_textbook;Grade5","source_return_only","LANGUAGE_CONTEXT_NOT_MATH_SOURCE","https://www.essbc.org/en/learn/shan-language","200","text/html; charset=UTF-8","","","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T160417Z_r7_targeted_source_discovery_pass2\shan\shan_grade5_text_context.html","E801F1E71B45CCB70BEA897901AFA5A86E836BD4B2E1BE5DD44D5CF1255828A2","70566","community_resource_license_not_established; current_url_status_200; no_license_clearance_claimed","language_textbook_context_only_not_math_source","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","language_textbook_only_not_math","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7SEASRC018","SEA-SOURCE-GAP-01","SEA-Pacific","SEA_Pacific_cluster","higher_algebra_gap","local_source_status_gap","SEA/Pacific higher-algebra source-return boundary gap","SEA_Pacific;higher_algebra;ring;module;invariant_theory","source_gap","HIGHER_ALGEBRA_SOURCE_GAP","pass2_source_return_boundary","not_url_gap_row","not_applicable","not_applicable","not_applicable","not_applicable_no_local_payload","LOCAL_STATUS_20260704_SEA_HIGHER_ALGEBRA_GAP","not_applicable_no_local_payload","no_content_captured; current_url_status_not_url_gap_row; no_license_clearance_claimed","cluster_level_higher_algebra_gap","no_higher_algebra_source_package_or_exact_proof_text_captured_for_this_target","pass2_sources_are_glossary_context_listing_or_failed_rows_not_higher_algebra_proof_sources","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
