role,relative_path,bytes,sha256,authority_class,notes
premerge_live_head,02_inputs\current_head_premerge\cum_de_Local_20260718_WebP02p058_092.tex,2151027,5D159B7457F2ACBAD583C82D391476659101F9519E7A4B45C97D4BD8A48C7AFD,editable authority input,Later live German head containing the Paper 4 repairs.
web_first_base,02_inputs\old\cum_de_Local_20260718_WebP02p058_092.tex,2150568,83598E8EA60C0DA49E8BD8A937E7DDF70F5AE413DA43BE45CEFC11AEBE938225,comparison input,Web base; not authority by sequence number.
web_first_candidate,02_inputs\new\cum_de_Local_20260718_WebP02p058_092.tex,2127586,E03ED9F8B2EBC041D56309CDD1528CA5DF0EDD09BFD31952B201914A086F58F5,proposal witness,"First Web repair candidate; exact hunks rebased, not imported wholesale."
web_second_candidate,02_inputs\web_second_partial\Web_P02_p058_090_tables_cum_de(1).tex,2127728,ED8D8F6C621C202D59727457642A6A82844A1DD8F567E5D6E94D48A069C09701,proposal witness,Continuing Web candidate containing further embedded-family repairs.
original_source_pdf,02_source_authority\P02_original_Crelle134_pp023_090_plus_tables.pdf,5744835,05D5BA2D9774DB7805F8FFDF5A52BDD5EFF93F0B9DB92B5501DE032E17E88533,source authority,Original Paper 2 publication witness and table leaves.
inspection_witness_zip,02_source_authority\P02_fullpages650_slices1000_witnesses.zip,188627040,0FFC99B42A5953731CF0097172CE4900CC0CC90902F994B59D9625086DE05BFB,inspection aid,Enlarged full pages and overlapping strips; does not create optical detail.
P21_controlling_full_page,02_source_authority\P21_negative_control\P21_collected_p405_printed_p68_1000dpi.png,4088356,C7E21FDCAAF94387F68BBAE4427253524E5D0FA71FC47002FDA5EAFC7E706BE0,source negative control,Controlling correct-witness page for the final no-patch prime cluster.
P21_decisive_crop,02_source_authority\P21_negative_control\P21_p405_central_identity_crop.png,287730,3B8BE1FDC49570A5634F28B111D810C4B5FC91BD6ED29E340CB1D9C92FFD252D,source negative control,Decisive crop proving the numerator function is unprimed.
final_tex,01_current\cum_de_Local_20260718_WebP02p058_092.tex,2152399,9545884841ECEFDE816A31D4B69B17C2A7F6635AC82D0E14AE8DE60E2E7C063A,current editable authority,Final cumulative German TeX for this checkpoint.
final_pdf,01_current\cum_de_Local_20260718_WebP02p058_092.pdf,2649966,CC1D7A54C4889FDC4765A0F89E69E9B2A93B5E885B193DFCB8C63C9324C65BED,compiled output,Final 466-page cumulative render.
exact_diff,03_audit\current_head_to_final_P02.diff,72177,41BF153FCAB0B6410697D7F16581C2541FE9B2B4400DD1E6A252E4139F84E44C,merge evidence,Exact pre-P02 live-head to final cumulative diff.
page_ledger,03_audit\P02_page_audit_39_rows_20260718.csv,39121,1659A6D949D6A3B2A2316087FEF957F2B26B42BE3672CEF2BF5BE48EFBA4B267,audit evidence,One final disposition per assigned page or boundary leaf.
table_ledger,03_audit\P02_table_cell_audit_20260718.csv,18111,B59EED7CDB4946BF2F93844A315BE403A38BDB52F1FBC46DF2E716FE8940F213,audit evidence,Specific fixes plus row-level dispositions for both tables.
master_page_ledger,03_audit\current_ledgers\NOETHER_PAGE_QC_LEDGER_after_P02.csv,411586,8D2725A7C6C59996FF52DB41D663C220CD2D2DF026A1A5DD541C2BC45B2C0BE9,publication control,Current corpus-level page QC ledger after this checkpoint.
master_origin_ledger,03_audit\current_ledgers\NOETHER_CORRECTION_ORIGIN_LEDGER_after_P02.csv,162697,EC6FC317E0693D6362E5EBA089A4B800BA0E47C98793B1517B173335E849870F,publication control,Current correction-origin ledger after this checkpoint.
master_hard_math_ledger,03_audit\current_ledgers\NOETHER_HARD_MATH_ERROR_LEDGER_after_P02.csv,75965,C756AC6A1F9265C819D82B793CD8311F7EBCCCABFAE427DDE5331C5EE5C20CE7,publication control,Current hard-math and visual-fragility ledger after this checkpoint.
master_logbook,03_audit\current_ledgers\NOETHER_MASTER_PUBLICATION_LOGBOOK_after_P02.md,275781,8C85EB4F8E173067F647E60AF5663F2241A96AF70A0D4C7028A56C64AE6C78DD,publication control,Append-only method and decision logbook through this checkpoint.
