reference_id,source_file,source_line,source_column,command,target_label,raw_tex,visible_text,compiled_target_number,compiled_target_page,target_file,target_line,label_resolved,aux_resolved
REF-000001,components/sga4half_1_en.tex,12,2,ref,I:1-1,\ref{I:1-1},1.1,1.1,1,components/sga4half_1_en.tex,26,true,true
REF-000002,components/sga4half_1_en.tex,12,15,ref,I:1-2,\ref{I:1-2},1.2,1.2,1,components/sga4half_1_en.tex,49,true,true
REF-000003,components/sga4half_1_en.tex,12,28,ref,I:1-3,\ref{I:1-3},1.3,1.3,2,components/sga4half_1_en.tex,78,true,true
REF-000004,components/sga4half_1_en.tex,13,24,ref,I:1-6,\ref{I:1-6},1.6,1.6,6,components/sga4half_1_en.tex,379,true,true
REF-000005,components/sga4half_1_en.tex,15,2,ref,I:1-4,\ref{I:1-4},1.4,1.4,3,components/sga4half_1_en.tex,153,true,true
REF-000006,components/sga4half_1_en.tex,16,2,ref,I:1-5,\ref{I:1-5},1.5,1.5,5,components/sga4half_1_en.tex,327,true,true
REF-000007,components/sga4half_1_en.tex,142,7,ref,I:1,\ref{I:1},1,1,1,components/sga4half_1_en.tex,6,true,true
REF-000008,components/sga4half_1_en.tex,321,23,ref,I:1-4-2,\ref{I:1-4-2},1.4.2,1.4.2,3,components/sga4half_1_en.tex,165,true,true
REF-000009,components/sga4half_1_en.tex,353,39,ref,I:1-4-5,\ref{I:1-4-5},1.4.5,1.4.5,4,components/sga4half_1_en.tex,236,true,true
REF-000010,components/sga4half_1_en.tex,504,27,ref,I:2-1,\ref{I:2-1},2.1,2.1,8,components/sga4half_1_en.tex,508,true,true
REF-000011,components/sga4half_1_en.tex,504,40,ref,I:2-2,\ref{I:2-2},2.2,2.2,9,components/sga4half_1_en.tex,571,true,true
REF-000012,components/sga4half_1_en.tex,504,53,ref,I:2-3,\ref{I:2-3},2.3,2.3,10,components/sga4half_1_en.tex,682,true,true
REF-000013,components/sga4half_1_en.tex,506,36,ref,I:2-4,\ref{I:2-4},2.4,2.4,11,components/sga4half_1_en.tex,795,true,true
REF-000014,components/sga4half_1_en.tex,564,18,ref,I:2-1-3,\ref{I:2-1-3},2.1.3,2.1.3,8,components/sga4half_1_en.tex,550,true,true
REF-000015,components/sga4half_1_en.tex,584,18,ref,I:1-6-6,\ref{I:1-6-6},1.6.6,1.6.6,7,components/sga4half_1_en.tex,489,true,true
REF-000016,components/sga4half_1_en.tex,595,34,ref,I:1-4-5,\ref{I:1-4-5},1.4.5,1.4.5,4,components/sga4half_1_en.tex,236,true,true
REF-000017,components/sga4half_1_en.tex,623,5,ref,I:1-4-2,\ref{I:1-4-2},1.4.2,1.4.2,3,components/sga4half_1_en.tex,165,true,true
REF-000018,components/sga4half_1_en.tex,623,27,ref,I:1-4-5,\ref{I:1-4-5},1.4.5,1.4.5,4,components/sga4half_1_en.tex,236,true,true
REF-000019,components/sga4half_1_en.tex,633,15,ref,I:1-4-2,\ref{I:1-4-2},1.4.2,1.4.2,3,components/sga4half_1_en.tex,165,true,true
REF-000020,components/sga4half_1_en.tex,633,38,ref,I:1-4-5,\ref{I:1-4-5},1.4.5,1.4.5,4,components/sga4half_1_en.tex,236,true,true
REF-000021,components/sga4half_1_en.tex,900,49,ref,I:3-2,\ref{I:3-2},3.2,3.2,14,components/sga4half_1_en.tex,1047,true,true
REF-000022,components/sga4half_1_en.tex,977,30,ref,I:eq:3-1-2-1,\ref{I:eq:3-1-2-1},3.1.2.1,3.1.2.1,13,components/sga4half_1_en.tex,946,true,true
REF-000023,components/sga4half_1_en.tex,1166,54,ref,I:3-2-4,\ref{I:3-2-4},3.2.4,3.2.4,15,components/sga4half_1_en.tex,1114,true,true
REF-000024,components/sga4half_1_en.tex,1172,10,ref,I:3-3-2,\ref{I:3-3-2},3.3.2,3.3.2,16,components/sga4half_1_en.tex,1153,true,true
REF-000025,components/sga4half_1_en.tex,1177,2,ref,I:3-2-4,\ref{I:3-2-4},3.2.4,3.2.4,15,components/sga4half_1_en.tex,1114,true,true
REF-000026,components/sga4half_1_en.tex,1186,2,ref,I:2-3-6,\ref{I:2-3-6},2.3.6,2.3.6,11,components/sga4half_1_en.tex,780,true,true
REF-000027,components/sga4half_1_en.tex,1194,46,ref,I:eq:3-3-1-1,\ref{I:eq:3-3-1-1},3.3.1.1,3.3.1.1,16,components/sga4half_1_en.tex,1143,true,true
REF-000028,components/sga4half_1_en.tex,1206,13,ref,I:3-3-1,\ref{I:3-3-1},3.3.1,3.3.1,15,components/sga4half_1_en.tex,1125,true,true
REF-000029,components/sga4half_1_en.tex,1227,17,ref,I:3-3-1,\ref{I:3-3-1},3.3.1,3.3.1,15,components/sga4half_1_en.tex,1125,true,true
REF-000030,components/sga4half_1_en.tex,1383,30,ref,I:2-3-3,\ref{I:2-3-3},2.3.3,2.3.3,10,components/sga4half_1_en.tex,722,true,true
REF-000031,components/sga4half_1_en.tex,1384,2,ref,I:4-1-1,\ref{I:4-1-1},4.1.1,4.1.1,18,components/sga4half_1_en.tex,1360,true,true
REF-000032,components/sga4half_1_en.tex,1396,2,ref,I:4-2,\ref{I:4-2},4.2,4.2,19,components/sga4half_1_en.tex,1405,true,true
REF-000033,components/sga4half_1_en.tex,1396,60,ref,I:4-3,\ref{I:4-3},4.3,4.3,20,components/sga4half_1_en.tex,1496,true,true
REF-000034,components/sga4half_1_en.tex,1398,25,ref,I:3-4-3,\ref{I:3-4-3},3.4.3,3.4.3,18,components/sga4half_1_en.tex,1319,true,true
REF-000035,components/sga4half_1_en.tex,1400,2,ref,I:4-4,\ref{I:4-4},4.4,4.4,21,components/sga4half_1_en.tex,1599,true,true
REF-000036,components/sga4half_1_en.tex,1402,27,ref,I:4-6,\ref{I:4-6},4.6,4.6,24,components/sga4half_1_en.tex,1761,true,true
REF-000037,components/sga4half_1_en.tex,1403,33,ref,I:4-5,\ref{I:4-5},4.5,4.5,22,components/sga4half_1_en.tex,1676,true,true
REF-000038,components/sga4half_1_en.tex,1467,14,ref,I:4-2-1,\ref{I:4-2-1},4.2.1,4.2.1,19,components/sga4half_1_en.tex,1410,true,true
REF-000039,components/sga4half_1_en.tex,1554,21,ref,I:4-3-3,\ref{I:4-3-3},4.3.3,4.3.3,20,components/sga4half_1_en.tex,1523,true,true
REF-000040,components/sga4half_1_en.tex,1593,35,ref,I:4-3-6,\ref{I:4-3-6},4.3.6,4.3.6,21,components/sga4half_1_en.tex,1558,true,true
REF-000041,components/sga4half_1_en.tex,1601,39,ref,I:3-4-3,\ref{I:3-4-3},3.4.3,3.4.3,18,components/sga4half_1_en.tex,1319,true,true
REF-000042,components/sga4half_1_en.tex,1624,58,ref,I:3,\ref{I:3},3,3,12,components/sga4half_1_en.tex,888,true,true
REF-000043,components/sga4half_1_en.tex,1670,14,ref,I:4-2-2,\ref{I:4-2-2},4.2.2,4.2.2,20,components/sga4half_1_en.tex,1453,true,true
REF-000044,components/sga4half_1_en.tex,1723,2,ref,I:4-1-1,\ref{I:4-1-1},4.1.1,4.1.1,18,components/sga4half_1_en.tex,1360,true,true
REF-000045,components/sga4half_1_en.tex,1749,2,ref,I:4-1-1,\ref{I:4-1-1},4.1.1,4.1.1,18,components/sga4half_1_en.tex,1360,true,true
REF-000046,components/sga4half_1_en.tex,1774,22,ref,I:3-4-1,\ref{I:3-4-1},3.4.1,3.4.1,17,components/sga4half_1_en.tex,1282,true,true
REF-000047,components/sga4half_1_en.tex,1776,37,ref,I:3-3-6,\ref{I:3-3-6},3.3.6,3.3.6,17,components/sga4half_1_en.tex,1263,true,true
REF-000048,components/sga4half_1_en.tex,1791,23,ref,I:4-6-1,\ref{I:4-6-1},4.6.1,4.6.1,24,components/sga4half_1_en.tex,1763,true,true
REF-000049,components/sga4half_1_en.tex,1843,51,ref,I:4-6-4,\ref{I:4-6-4},4.6.4,4.6.4,24,components/sga4half_1_en.tex,1827,true,true
REF-000050,components/sga4half_1_en.tex,1901,37,ref,I:5-1,\ref{I:5-1},5.1,5.1,26,components/sga4half_1_en.tex,1915,true,true
REF-000051,components/sga4half_1_en.tex,1903,1,ref,I:5-2,\ref{I:5-2},5.2,5.2,28,components/sga4half_1_en.tex,2118,true,true
REF-000052,components/sga4half_1_en.tex,1904,11,ref,I:5-3,\ref{I:5-3},5.3,5.3,30,components/sga4half_1_en.tex,2264,true,true
REF-000053,components/sga4half_1_en.tex,1912,33,ref,I:2-3-1,\ref{I:2-3-1},2.3.1,2.3.1,10,components/sga4half_1_en.tex,684,true,true
REF-000054,components/sga4half_1_en.tex,1982,2,ref,I:5-1-4,\ref{I:5-1-4},5.1.4,5.1.4,26,components/sga4half_1_en.tex,1947,true,true
REF-000055,components/sga4half_1_en.tex,2014,39,ref,I:5-1-4,\ref{I:5-1-4},5.1.4,5.1.4,26,components/sga4half_1_en.tex,1947,true,true
REF-000056,components/sga4half_1_en.tex,2017,42,ref,I:5-1-5,\ref{I:5-1-5},5.1.5,5.1.5,26,components/sga4half_1_en.tex,1957,true,true
REF-000057,components/sga4half_1_en.tex,2028,1,eqref,I:eq:5-1-6-1,\eqref{I:eq:5-1-6-1},(5.1.6.1),5.1.6.1,27,components/sga4half_1_en.tex,2020,true,true
REF-000058,components/sga4half_1_en.tex,2053,46,ref,I:4-3-3,\ref{I:4-3-3},4.3.3,4.3.3,20,components/sga4half_1_en.tex,1523,true,true
REF-000059,components/sga4half_1_en.tex,2062,36,ref,I:4-3-6,\ref{I:4-3-6},4.3.6,4.3.6,21,components/sga4half_1_en.tex,1558,true,true
REF-000060,components/sga4half_1_en.tex,2112,38,ref,I:5-1-4,\ref{I:5-1-4},5.1.4,5.1.4,26,components/sga4half_1_en.tex,1947,true,true
REF-000061,components/sga4half_1_en.tex,2114,5,ref,I:5-1-9,\ref{I:5-1-9},5.1.9,5.1.9,28,components/sga4half_1_en.tex,2091,true,true
REF-000062,components/sga4half_1_en.tex,2128,2,ref,I:5-1-10,\ref{I:5-1-10},5.1.10,5.1.10,28,components/sga4half_1_en.tex,2100,true,true
REF-000063,components/sga4half_1_en.tex,2202,2,ref,I:5-2-4,\ref{I:5-2-4},5.2.4,5.2.4,29,components/sga4half_1_en.tex,2174,true,true
REF-000064,components/sga4half_1_en.tex,2208,28,ref,I:5-2-2,\ref{I:5-2-2},5.2.2,5.2.2,28,components/sga4half_1_en.tex,2144,true,true
REF-000065,components/sga4half_1_en.tex,2218,39,ref,I:5-2-5,\ref{I:5-2-5},5.2.5,5.2.5,29,components/sga4half_1_en.tex,2187,true,true
REF-000066,components/sga4half_1_en.tex,2303,15,ref,I:5-1-5,\ref{I:5-1-5},5.1.5,5.1.5,26,components/sga4half_1_en.tex,1957,true,true
REF-000067,components/sga4half_1_en.tex,2304,2,ref,I:5-1-8,\ref{I:5-1-8},5.1.8,5.1.8,27,components/sga4half_1_en.tex,2064,true,true
REF-000068,components/sga4half_1_en.tex,2353,2,ref,I:5-1-9,\ref{I:5-1-9},5.1.9,5.1.9,28,components/sga4half_1_en.tex,2091,true,true
REF-000069,components/sga4half_1_en.tex,2355,13,eqref,I:eq:4-6-2-1,\eqref{I:eq:4-6-2-1},(4.6.2.1),4.6.2.1,24,components/sga4half_1_en.tex,1794,true,true
REF-000070,components/sga4half_1_en.tex,2373,2,ref,I:5-3-4,\ref{I:5-3-4},5.3.4,5.3.4,31,components/sga4half_1_en.tex,2317,true,true
REF-000071,components/sga4half_1_en.tex,2378,28,ref,I:5-2-1,\ref{I:5-2-1},5.2.1,5.2.1,28,components/sga4half_1_en.tex,2120,true,true
REF-000072,components/sga4half_1_en.tex,2386,6,ref,I:4-6-3,\ref{I:4-6-3},4.6.3,4.6.3,24,components/sga4half_1_en.tex,1802,true,true
REF-000073,components/sga4half_1_en.tex,2396,49,ref,I:5-3-4,\ref{I:5-3-4},5.3.4,5.3.4,31,components/sga4half_1_en.tex,2317,true,true
REF-000074,components/sga4half_1_en.tex,2399,53,ref,VII:1-1,\ref{VII:1-1},1.1,1.1,130,components/sga4half_7_en.tex,27,true,true
REF-000075,components/sga4half_1_en.tex,2446,1,eqref,I:eq:6-2,\eqref{I:eq:6-2},(2),2,32,components/sga4half_1_en.tex,2425,true,true
