candidate_id,source_file,source_line,source_column,visible_token,final_class,edge_id,target_id,adjudication_status,rationale
CAND-000001,SGA4half_English_Reader_1_to_8.tex,5,17,6.3,typography_layout_geometry_value,,,final,"The token is a TeX page or xymatrix sizing value, not a mathematical or bibliographic locator."
CAND-000002,SGA4half_English_Reader_1_to_8.tex,6,31,1.5,typography_layout_geometry_value,,,final,"The token is a TeX page or xymatrix sizing value, not a mathematical or bibliographic locator."
CAND-000003,components/sga4half_1_en.tex,15,43,theorem 90,external_work_citation,,,final,"'Hilbert theorem 90' names the classical external theorem, not an internal numbered object in this reader."
CAND-000004,components/sga4half_1_en.tex,274,8,definition i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000005,components/sga4half_1_en.tex,327,39,theorem 90,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000006,components/sga4half_1_en.tex,946,23,3.1.2.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000007,components/sga4half_1_en.tex,976,30,Proposition I,external_work_citation,,,final,The detector captured the prefix of 'Corollary to Proposition I-44'; the full line and bibliography command identify an external result.
CAND-000008,components/sga4half_1_en.tex,1103,14,theorem i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000009,components/sga4half_1_en.tex,1143,23,3.3.1.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000010,components/sga4half_1_en.tex,1263,31,5.7,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000011,components/sga4half_1_en.tex,1315,10,3.3,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000012,components/sga4half_1_en.tex,1357,6,chapter i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000013,components/sga4half_1_en.tex,1433,17,III.3.2,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000014,components/sga4half_1_en.tex,1602,5,theorem i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
