candidate_id,source_file,source_line,source_column,candidate_text,candidate_reason,possible_kind,possible_number,line_text,disposition,status,final_class,target_id,edge_id,supersedes_disposition,rationale,cumulative_action
CAND-000001,SGA4half_English_Reader_1_to_8.tex,5,17,6.3,bare_multilevel_number,,,"\geometry{text={6.3in,8in},centering}",non_goal_backlog_needs_adjudication,final,typography_layout_geometry_value,,,non_goal_backlog_needs_adjudication,"The token is a TeX page or xymatrix sizing value, not a mathematical or bibliographic locator.",none
CAND-000002,SGA4half_English_Reader_1_to_8.tex,6,31,1.5,bare_multilevel_number,,,\setlength{\emergencystretch}{1.5em},non_goal_backlog_needs_adjudication,final,typography_layout_geometry_value,,,non_goal_backlog_needs_adjudication,"The token is a TeX page or xymatrix sizing value, not a mathematical or bibliographic locator.",none
CAND-000003,components/sga4half_1_en.tex,15,43,theorem 90,named_number_text,theorem,90,"(\ref{I:1-4}), generalizing the classical theorem 90 of Hilbert",non_goal_backlog_needs_adjudication,final,external_work_citation,,,non_goal_backlog_needs_adjudication,"'Hilbert theorem 90' names the classical external theorem, not an internal numbered object in this reader.",none
CAND-000004,components/sga4half_1_en.tex,274,8,definition i,named_number_text,,,"so the definition is legitimate. In short, giving a module",non_goal_backlog_needs_adjudication,final,other_positively_demonstrated_nonreference,,,non_goal_backlog_needs_adjudication,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence.",none
CAND-000005,components/sga4half_1_en.tex,327,39,theorem 90,named_number_text,theorem,90,\subsection{A special case: Hilbert's theorem 90}\label{I:1-5},non_goal_backlog_needs_adjudication,final,structural_declaration,,,non_goal_backlog_needs_adjudication,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge.",none
CAND-000006,components/sga4half_1_en.tex,946,23,3.1.2.1,bare_multilevel_number,,,\begin{equation*}\tag{3.1.2.1}\label{I:eq:3-1-2-1},non_goal_backlog_needs_adjudication,final,structural_declaration,,,non_goal_backlog_needs_adjudication,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge.",none
CAND-000007,components/sga4half_1_en.tex,976,30,Proposition I,named_number_text,,,"By \cite{se94}, Corollary to Proposition I-44, it suffices to check that",non_goal_backlog_needs_adjudication,final,external_work_citation,,,non_goal_backlog_needs_adjudication,The detector captured the prefix of 'Corollary to Proposition I-44'; the full line and bibliography command identify an external result.,none
CAND-000008,components/sga4half_1_en.tex,1103,14,theorem i,named_number_text,,,"To prove the theorem in general, it plainly suffices to prove it when",non_goal_backlog_needs_adjudication,final,other_positively_demonstrated_nonreference,,,non_goal_backlog_needs_adjudication,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence.",none
CAND-000009,components/sga4half_1_en.tex,1143,23,3.3.1.1,bare_multilevel_number,,,\begin{equation*}\tag{3.3.1.1}\label{I:eq:3-3-1-1},non_goal_backlog_needs_adjudication,final,structural_declaration,,,non_goal_backlog_needs_adjudication,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge.",none
CAND-000010,components/sga4half_1_en.tex,1263,31,5.7,bare_multilevel_number,,,\begin{proposition}[{\cite[IX 5.7]{sga4}}]\label{I:3-3-6},non_goal_backlog_needs_adjudication,final,external_work_citation,,,non_goal_backlog_needs_adjudication,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.,resolve_against_global_volume_namespace
CAND-000011,components/sga4half_1_en.tex,1315,10,3.3,bare_multilevel_number,,,\cite[XI 3.3]{sga4} that if $X$ is a smooth scheme over an algebraically,non_goal_backlog_needs_adjudication,final,external_work_citation,,,non_goal_backlog_needs_adjudication,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.,resolve_against_global_volume_namespace
CAND-000012,components/sga4half_1_en.tex,1357,6,chapter i,named_number_text,,,This chapter is devoted to the proof and applications of the following,non_goal_backlog_needs_adjudication,final,other_positively_demonstrated_nonreference,,,non_goal_backlog_needs_adjudication,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence.",none
CAND-000013,components/sga4half_1_en.tex,1433,17,III.3.2,bare_multilevel_number,,,"morphisms \cite[III.3.2]{ega}, $\Gamma(X,\sO_X)$ is a finite",non_goal_backlog_needs_adjudication,final,external_work_citation,,,non_goal_backlog_needs_adjudication,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.,none
CAND-000014,components/sga4half_1_en.tex,1602,5,theorem i,named_number_text,,,the theorem in relative dimension $\leqslant1$. By the preceding,non_goal_backlog_needs_adjudication,final,other_positively_demonstrated_nonreference,,,non_goal_backlog_needs_adjudication,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence.",none
CAND-000015,components/sga4half_1_en.tex,1689,23,definition i,named_number_text,,,Let us show that this definition is independent of the chosen,non_goal_backlog_needs_adjudication,final,other_positively_demonstrated_nonreference,,,non_goal_backlog_needs_adjudication,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence.",none
CAND-000016,components/sga4half_1_en.tex,1737,33,definition i,named_number_text,,,"As before, one checks that this definition is independent of the chosen",non_goal_backlog_needs_adjudication,final,other_positively_demonstrated_nonreference,,,non_goal_backlog_needs_adjudication,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence.",none
CAND-000017,components/sga4half_1_en.tex,1757,23,4.5.4.1,bare_multilevel_number,,,\begin{equation*}\tag{4.5.4.1}\label{I:eq:4-5-4-1},non_goal_backlog_needs_adjudication,final,structural_declaration,,,non_goal_backlog_needs_adjudication,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge.",none
CAND-000018,components/sga4half_1_en.tex,1794,23,4.6.2.1,bare_multilevel_number,,,\begin{equation*}\tag{4.6.2.1}\label{I:eq:4-6-2-1},non_goal_backlog_needs_adjudication,final,structural_declaration,,,non_goal_backlog_needs_adjudication,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge.",none
CAND-000019,components/sga4half_1_en.tex,1837,6,theorem i,named_number_text,,,"This theorem is in a sense a substitute for Morse theory. Indeed, consider",non_goal_backlog_needs_adjudication,final,other_positively_demonstrated_nonreference,,,non_goal_backlog_needs_adjudication,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence.",none
CAND-000020,components/sga4half_1_en.tex,1898,6,chapter i,named_number_text,,,This chapter is devoted to the analogue of this situation for a smooth,non_goal_backlog_needs_adjudication,final,other_positively_demonstrated_nonreference,,,non_goal_backlog_needs_adjudication,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence.",none
