target_id,label,target_kind,target_file,target_line,target_column,compiled_number,compiled_page,aux_resolved
TARGET-000001,I,chapter,components/sga4half_1_en.tex,3,48,1,1,true
TARGET-000002,I:1,section,components/sga4half_1_en.tex,6,34,1,1,true
TARGET-000003,I:1-1,subsection,components/sga4half_1_en.tex,26,20,1.1,1,true
TARGET-000004,I:1-2,subsection,components/sga4half_1_en.tex,49,21,1.2,1,true
TARGET-000005,I:1-2-1,subsubsection,components/sga4half_1_en.tex,53,40,1.2.1,2,true
TARGET-000006,I:1-2-2,subsubsection,components/sga4half_1_en.tex,59,39,1.2.2,2,true
TARGET-000007,I:1-2-3,subsubsection,components/sga4half_1_en.tex,70,17,1.2.3,2,true
TARGET-000008,I:1-3,subsection,components/sga4half_1_en.tex,78,20,1.3,2,true
TARGET-000009,I:1-3-1,subsubsection,components/sga4half_1_en.tex,82,40,1.3.1,2,true
TARGET-000010,I:1-3-2,subsubsection,components/sga4half_1_en.tex,100,39,1.3.2,2,true
TARGET-000011,I:1-3-3,subsubsection,components/sga4half_1_en.tex,131,17,1.3.3,3,true
TARGET-000012,I:1-3-4,subsubsection,components/sga4half_1_en.tex,140,17,1.3.4,3,true
TARGET-000013,I:1-4,subsection,components/sga4half_1_en.tex,153,37,1.4,3,true
TARGET-000014,I:1-4-1,subsubsection,components/sga4half_1_en.tex,155,17,1.4.1,3,true
TARGET-000015,I:1-4-2,proposition,components/sga4half_1_en.tex,165,20,1.4.2,3,true
TARGET-000016,I:1-4-3,subsubsection,components/sga4half_1_en.tex,200,17,1.4.3,4,true
TARGET-000017,I:1-4-4,subsubsection,components/sga4half_1_en.tex,210,17,1.4.4,4,true
TARGET-000018,I:1-4-5,theorem,components/sga4half_1_en.tex,236,16,1.4.5,4,true
TARGET-000019,I:1-5,subsection,components/sga4half_1_en.tex,327,50,1.5,5,true
TARGET-000020,I:1-5-1,subsubsection,components/sga4half_1_en.tex,329,17,1.5.1,5,true
TARGET-000021,I:1-5-2,proposition,components/sga4half_1_en.tex,355,20,1.5.2,6,true
TARGET-000022,I:1-5-3,corollary,components/sga4half_1_en.tex,375,18,1.5.3,6,true
TARGET-000023,I:1-6,subsection,components/sga4half_1_en.tex,379,37,1.6,6,true
TARGET-000024,I:1-6-1,subsubsection,components/sga4half_1_en.tex,384,17,1.6.1,6,true
TARGET-000025,I:1-6-2,subsubsection,components/sga4half_1_en.tex,400,17,1.6.2,6,true
TARGET-000026,I:1-6-3,subsubsection,components/sga4half_1_en.tex,417,17,1.6.3,7,true
TARGET-000027,I:1-6-4,subsubsection,components/sga4half_1_en.tex,443,25,1.6.4,7,true
TARGET-000028,I:1-6-5,subsubsection,components/sga4half_1_en.tex,463,27,1.6.5,7,true
TARGET-000029,I:1-6-6,subsubsection,components/sga4half_1_en.tex,489,17,1.6.6,7,true
TARGET-000030,I:2,section,components/sga4half_1_en.tex,501,29,2,8,true
TARGET-000031,I:2-1,subsection,components/sga4half_1_en.tex,508,32,2.1,8,true
TARGET-000032,I:2-1-1,definition,components/sga4half_1_en.tex,512,19,2.1.1,8,true
TARGET-000033,I:2-1-2,subsubsection,components/sga4half_1_en.tex,540,25,2.1.2,8,true
TARGET-000034,I:2-1-3,subsubsection,components/sga4half_1_en.tex,550,29,2.1.3,8,true
TARGET-000035,I:2-1-4,subsubsection,components/sga4half_1_en.tex,561,17,2.1.4,8,true
TARGET-000036,I:2-2,subsection,components/sga4half_1_en.tex,571,33,2.2,9,true
TARGET-000037,I:2-2-1,subsubsection,components/sga4half_1_en.tex,573,31,2.2.1,9,true
TARGET-000038,I:2-2-2,subsubsection,components/sga4half_1_en.tex,591,37,2.2.2,9,true
TARGET-000039,I:2-2-3,proposition,components/sga4half_1_en.tex,605,20,2.2.3,9,true
TARGET-000040,I:2-2-4,subsubsection,components/sga4half_1_en.tex,653,31,2.2.4,10,true
TARGET-000041,I:2-2-5,theorem,components/sga4half_1_en.tex,666,31,2.2.5,10,true
TARGET-000042,I:2-3,subsection,components/sga4half_1_en.tex,682,35,2.3,10,true
TARGET-000043,I:2-3-1,subsubsection,components/sga4half_1_en.tex,684,17,2.3.1,10,true
TARGET-000044,I:2-3-2,subsubsection,components/sga4half_1_en.tex,709,17,2.3.2,10,true
TARGET-000045,I:2-3-3,subsubsection,components/sga4half_1_en.tex,722,17,2.3.3,10,true
TARGET-000046,I:2-3-4,theorem,components/sga4half_1_en.tex,761,41,2.3.4,11,true
TARGET-000047,I:2-3-5,corollary,components/sga4half_1_en.tex,772,18,2.3.5,11,true
TARGET-000048,I:2-3-6,proposition,components/sga4half_1_en.tex,780,20,2.3.6,11,true
TARGET-000049,I:2-4,subsection,components/sga4half_1_en.tex,795,31,2.4,11,true
TARGET-000050,I:2-4-1,subsubsection,components/sga4half_1_en.tex,800,17,2.4.1,11,true
TARGET-000051,I:2-4-2,subsubsection,components/sga4half_1_en.tex,814,17,2.4.2,12,true
