"record_id","record_type","parent_id","reviewed_record_id","volume","expose","unit","source_lines","printed_pages","physical_pages","running_pages","authority_sha256","source_evidence_sha256","target_evidence_sha256","status","decision","raw_cursor","substantive_cursor","revision","revision_of","supersedes","superseded_by","evidence_path","evidence_sha256","release_state"
"SGA2-X-C26-DERIVATION-IR@1","independent_review_status","","SGA2-X-C26-DERIVATION@1","SGA2","X","Corollary 2.6 derivation independent review","3455","117","101","93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","8FF4A86B4B0D2A4CE56FBB97964E24A83F583985CA15FD0C54BDDD0C5BEC8A2D","74E3B33F70C99399096DA0B020C94D7DDB828CE2AD49F1E2DBFD9DB681AFD837","PASS","Source boundary references translation register target build render and machine controls pass independently.","3456","3456","1","","","","INDEPENDENT_PREVALIDATION.json","31A14DA2ED17E9191156E38EF44D44585208BC6464A6075C3787BB596ED29CB6","internal_not_for_release"
"SGA2-X-C26-DERIVATION-IR-SOURCE@1","authority_slice_replay","SGA2-X-C26-DERIVATION-IR@1","SGA2-X-C26-DERIV-SOURCE@1","SGA2","X","exact authority line","3455","117","101","93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","8FF4A86B4B0D2A4CE56FBB97964E24A83F583985CA15FD0C54BDDD0C5BEC8A2D","6072C2E73CCD8A9063D9B4671E84059ED699ECF8EB2D480FBC2F9EBEF95CABAA","PASS","Authority line3455 replays byte-exactly.","3456","3456","1","","","","../SOURCE_LINE_3455.tex","8FF4A86B4B0D2A4CE56FBB97964E24A83F583985CA15FD0C54BDDD0C5BEC8A2D","internal_not_for_release"
"SGA2-X-C26-DERIVATION-IR-BOUNDARY@1","source_locator_and_boundary_audit","SGA2-X-C26-DERIVATION-IR@1","SGA2-X-C26-DERIV-BOUNDARY@1","SGA2","X","blank and editor-note boundary","3454-3456","117","101","93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","8FF4A86B4B0D2A4CE56FBB97964E24A83F583985CA15FD0C54BDDD0C5BEC8A2D","6072C2E73CCD8A9063D9B4671E84059ED699ECF8EB2D480FBC2F9EBEF95CABAA","PASS","Blank3454 and long note3456 are excluded; printed117 physical101 running93 remain distinct.","3456","3456","1","","","","../SOURCE_PHYSICAL_PAGE_101_200DPI.png","E59A5DADE48D40EA47B11A4747A72A21ABA090FA09F697F403FC5B4ACD0FB793","internal_not_for_release"
"SGA2-X-C26-DERIVATION-IR-XREF-X11@1","cross_reference_target_audit","SGA2-X-C26-DERIVATION-IR@1","SGA2-X-C26-DERIV-XREF-X11@1","SGA2","X","Proposition X.1.1 target","3455;3327-3329","117","101","93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","8D26CF3517241995FD7ABF24F94BC59E5D0BCEE195A494C5C81D21FADB9FF1C5","6072C2E73CCD8A9063D9B4671E84059ED699ECF8EB2D480FBC2F9EBEF95CABAA","PASS","X.1.1 resolves to the Et(hat X) to Et(Y) categorical equivalence and target number1.1 is exact.","3456","3456","1","","","","../REFERENCE_TARGET_X_1_1_LINES_3327_3329.tex","8D26CF3517241995FD7ABF24F94BC59E5D0BCEE195A494C5C81D21FADB9FF1C5","internal_not_for_release"
"SGA2-X-C26-DERIVATION-IR-XREF-X23@1","cross_reference_target_audit","SGA2-X-C26-DERIVATION-IR@1","SGA2-X-C26-DERIV-XREF-X23@1","SGA2","X","Proposition X.2.3 target","3455;3414-3423","117","101","93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","0ADFF5B4A4FDD17DFF772AAF4AFA55FDFE23BC061351A440BC54CAD0ACC43B72","6072C2E73CCD8A9063D9B4671E84059ED699ECF8EB2D480FBC2F9EBEF95CABAA","PASS","X.2.3 resolves to the fully faithful and Leff algebraization proposition and target number2.3 is exact.","3456","3456","1","","","","../REFERENCE_TARGET_X_2_3_LINES_3414_3423.tex","0ADFF5B4A4FDD17DFF772AAF4AFA55FDFE23BC061351A440BC54CAD0ACC43B72","internal_not_for_release"
"SGA2-X-C26-DERIVATION-IR-TRANSLATION@1","translation_and_reference_audit","SGA2-X-C26-DERIVATION-IR@1","SGA2-X-C26-DERIVATION@1","SGA2","X","one-line English derivation","3455","117","101","93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","8FF4A86B4B0D2A4CE56FBB97964E24A83F583985CA15FD0C54BDDD0C5BEC8A2D","6072C2E73CCD8A9063D9B4671E84059ED699ECF8EB2D480FBC2F9EBEF95CABAA","PASS","All of this and derivational force are preserved; two proposition references are coordinated once in ordinary English.","3456","3456","1","","","","../SGA2_Expose_X_Corollary_2_6_Derivation_English_SourceAligned.tex","6072C2E73CCD8A9063D9B4671E84059ED699ECF8EB2D480FBC2F9EBEF95CABAA","internal_not_for_release"
"SGA2-X-C26-DERIVATION-IR-COMPARE@1","comparison_and_rejected_choice_audit","SGA2-X-C26-DERIVATION-IR@1","SGA2-X-C26-DERIV-COMPARE@1","SGA2","X","jcreinhold line270 comparison","3455","117","101","93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","8FF4A86B4B0D2A4CE56FBB97964E24A83F583985CA15FD0C54BDDD0C5BEC8A2D","6072C2E73CCD8A9063D9B4671E84059ED699ECF8EB2D480FBC2F9EBEF95CABAA","PASS_WITH_REJECTED_CHOICE","Candidate preserves both numbers but trivially is rejected as over-literal; immediately is retained without claiming a source defect.","3456","3456","1","","","","../JCREINHOLD_LINE_270.md","DE70675A97363E141810E0658E2618A01CFA715A4A9CEDDB22111829B5A113B2","internal_not_for_release"
"SGA2-X-C26-DERIVATION-IR-CSV@1","producer_csv_validation","SGA2-X-C26-DERIVATION-IR@1","SGA2-X-C26-DERIVATION@1","SGA2","X","producer CSV","3455","117","101","93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","8FF4A86B4B0D2A4CE56FBB97964E24A83F583985CA15FD0C54BDDD0C5BEC8A2D","74E3B33F70C99399096DA0B020C94D7DDB828CE2AD49F1E2DBFD9DB681AFD837","PASS","Producer CSV is 10x22, rectangular, CRLF-only, formula-safe, unique-ID and reference-closed.","3456","3456","1","","","","../MACHINE_EVIDENCE.csv","0CDAE1866C0CFA41110B0A5E727FD07C40346CC4903F14876A5AAC5781B9F3E1","internal_not_for_release"
"SGA2-X-C26-DERIVATION-IR-JSONL@1","producer_jsonl_validation","SGA2-X-C26-DERIVATION-IR@1","SGA2-X-C26-DERIVATION@1","SGA2","X","producer JSONL","3455","117","101","93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","8FF4A86B4B0D2A4CE56FBB97964E24A83F583985CA15FD0C54BDDD0C5BEC8A2D","74E3B33F70C99399096DA0B020C94D7DDB828CE2AD49F1E2DBFD9DB681AFD837","PASS","Producer JSONL has 10 strict-parse records with unique IDs, reference closure and CSV ID parity.","3456","3456","1","","","","../MACHINE_EVIDENCE.jsonl","3F661B85BA0B893C98E93CB281C086A03FE63735026D36973E9DF78EA5B11A99","internal_not_for_release"
"SGA2-X-C26-DERIVATION-IR-MANIFEST@1","producer_manifest_replay","SGA2-X-C26-DERIVATION-IR@1","SGA2-X-C26-DERIVATION@1","SGA2","X","producer manifest","3455","117","101","93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","8FF4A86B4B0D2A4CE56FBB97964E24A83F583985CA15FD0C54BDDD0C5BEC8A2D","74E3B33F70C99399096DA0B020C94D7DDB828CE2AD49F1E2DBFD9DB681AFD837","PASS","Producer 29x3 manifest replays exact root coverage with zero identity or formula errors.","3456","3456","1","","","","../SHA256SUMS.csv","03ADFA743020A414DAECE85B16A28CE35E3F3BB523A624DA5B01B2BD58DDC4A6","internal_not_for_release"
"SGA2-X-C26-DERIVATION-IR-ARTIFACT@1","artifact_tool_replay","SGA2-X-C26-DERIVATION-IR@1","SGA2-X-C26-DERIVATION@1","SGA2","X","producer Artifact Tool replay","3455","117","101","93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","8FF4A86B4B0D2A4CE56FBB97964E24A83F583985CA15FD0C54BDDD0C5BEC8A2D","74E3B33F70C99399096DA0B020C94D7DDB828CE2AD49F1E2DBFD9DB681AFD837","PASS","Artifact Tool 2.8.24 replay has zero formula errors or triggers and three exact visually reviewed panels.","3456","3456","1","","","","artifact_tool_producer_replay/ARTIFACT_TOOL_RECEIPT.json","1A4AB1C5E20929E1F57FCA09927D9454FC2ABBE09F9C25F01E5915FE1F81A970","internal_not_for_release"
