"field","value","source","boundary"
"requested_frontier","0bf2ae1d4de8896273014591df92043aa25f62a5","coordinator notice / git show 0bf2ae1d","requested OLP frontier"
"requested_subject","Add A9C Non-Slavic 04A child return route","coordinator notice / git show 0bf2ae1d","child-return route visibility only"
"requested_parent","a9c44df2a70dc5d7577ebe7902106c0c4f398d3f","git show 0bf2ae1d","prior frontier lineage"
"requested_parent_subject","Add 04A Non-Slavic 99BE OLP R7 visibility route","git show a9c44df2","prior route lineage only"
"prior_local_frontier","04a2af16d14e53c5398b6884719a36405a8ef180","ACTIVE_SESSION_STATE before 0BF recovery","prior local OLP packet set"
"coordinator_prior_frontier","a9c44df2a70dc5d7577ebe7902106c0c4f398d3f","coordinator notice","prior frontier lineage"
"coordinator_compare_a9c_to_0bf_ahead_by","1","coordinator notice and local git rev-list","child-return route visibility only"
"coordinator_compare_a9c_to_0bf_changed_paths","30","coordinator notice and local git diff","child-return route visibility only"
"local_compare_04a_to_0bf_ahead_by","2","git rev-list --count 04a2af16..0bf2ae1d","local packet lineage only"
"local_compare_04a_to_0bf_changed_paths","64","git diff --name-only 04a2af16..0bf2ae1d","local packet lineage only"
"observed_remote_frontier_after_fetch","0bf2ae1d4de8896273014591df92043aa25f62a5","fetch + origin/codex/noether-pc-20260629","remote matches requested frontier"
"observed_remote_matches_requested","true","fetch + rev-parse origin/codex/noether-pc-20260629","branch verification only"
"previous_source_use_package","OLP_04A2AF16_SOURCE_USE_FABLE_99BE_ROUTE_20260707","local artifact lineage","prior source-use/Fable package"
"previous_interlinear_package","OLP_04A2AF16_INTERLINEAR_TERMINOLOGY_99BE_ROUTE_20260707","local artifact lineage","prior interlinear package"
"previous_review_boundary_package","OLP_04A2AF16_REVIEW_BOUNDARY_99BE_ROUTE_20260707","local artifact lineage","prior review-boundary package"
"child_return_route_evidence_ceiling","B3/Non-Slavic 04A/99BE/OLP/2C2 child-return route evidence only for this OLP lane","coordinator notice and branch subject","not reviewer return, native review, approval, gate, source certification, final status, or translation completion"
"direct_source_body_evidence_changed","false","current OLP lane packet generation found no direct OLP source-body evidence changing counts","source-use/gap support only"
"fable_formal_object_status","languages/source_documents/lexemes/forms/weights/branch/marginal/do_not_use/source_use/adverse ledgers carried forward","interlanguage-sidecar/20260705/olp_relation_function_fable_block","formal-object support; no accepted terminology claim"
"generated_draft_noncanonical_boundary","all interlinear and terminology rows remain generated-draft/non-canonical","lane boundary","no native review or accepted terminology"
"real_reviewer_return_rows","0","no direct reviewer/source return evidence changed in OLP lane","zero-claim boundary"
"mapping_count_delta","0","no direct mapping evidence changed in OLP lane","zero-claim boundary"
"translation_count_delta","0","no direct translation evidence changed in OLP lane","zero-claim boundary"
"approval_count_delta","0","no direct approval evidence changed in OLP lane","zero-claim boundary"
