rule_id,category,source_input_id,remote_path,local_path,source_sha256,line,signal_excerpt,required_application,boundary
C7FB-RULE-0001,source-use,C7FB-IN-001,.github/copilot-instructions.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\001__.github__copilot-instructions.md,6D81EC89D416678E0DF9C964D959160F8EAAFF04EA69DA744E588F58C50662BC,13,- every PDF/source archive/ZIP/TAR/repository snapshot that is the provenance carrier;,require source-canon/source-body path/hash/access label or explicit gap,source signal for coordination/support only
C7FB-RULE-0002,source-use,C7FB-IN-001,.github/copilot-instructions.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\001__.github__copilot-instructions.md,6D81EC89D416678E0DF9C964D959160F8EAAFF04EA69DA744E588F58C50662BC,14,"- generated language drafts and native/source-canon witness corpora, clearly separated;",require source-canon/source-body path/hash/access label or explicit gap,source signal for coordination/support only
C7FB-RULE-0003,source-use,C7FB-IN-001,.github/copilot-instructions.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\001__.github__copilot-instructions.md,6D81EC89D416678E0DF9C964D959160F8EAAFF04EA69DA744E588F58C50662BC,17,"There is no acceptable size objection. If the corpus is too large for one upload, split it into multiple ZIPs and upload all parts. Preserve directory structure. Do not replace the corpus with CSV inventories, SHA logs, source-canon ledgers",require source-canon/source-body path/hash/access label or explicit gap,source signal for coordination/support only
C7FB-RULE-0004,source-use,C7FB-IN-001,.github/copilot-instructions.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\001__.github__copilot-instructions.md,6D81EC89D416678E0DF9C964D959160F8EAAFF04EA69DA744E588F58C50662BC,19,"If a file is accessible to the other machine/session, it must be made accessible to the archive maintainer on this machine through GitHub-visible files, GitHub-visible ZIPs, or another explicitly linked transfer artifact. If a file cannot b",require source-canon/source-body path/hash/access label or explicit gap,source signal for coordination/support only
C7FB-RULE-0005,authority-boundary,C7FB-IN-002,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\002__00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,44,"- ""read these instructions"" as final output;",preserve noncanonical/no-review/no-approval/no-completion labels,source signal for coordination/support only
C7FB-RULE-0006,source-use,C7FB-IN-002,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\002__00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,46,- pointer-only source canon.,require source-canon/source-body path/hash/access label or explicit gap,source signal for coordination/support only
C7FB-RULE-0008,source-use,C7FB-IN-002,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\002__00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,108,"URL list only, bodyless source-canon list, acknowledgement.",require source-canon/source-body path/hash/access label or explicit gap,source signal for coordination/support only
C7FB-RULE-0011,source-use,C7FB-IN-002,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\002__00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,117,"Collect and package every actual Russian, Ukrainian, and Interslavic Noether/interlanguage translation body already produced on the machine. Include TeX/PDF/source-control/glossary/logbook files. Keep generated drafts separate from native/s",require source-canon/source-body path/hash/access label or explicit gap,source signal for coordination/support only
C7FB-RULE-0012,marker-table,C7FB-IN-002,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\002__00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,122,"`noether-language-output/slavic-ru-uk-isv/` with translated TeX/PDF where present, glossaries, source-control notes, `MANIFEST.csv`, `SHA256SUMS.txt`, `README.md`, and logbook excerpt.","route as interlinear scaffold support, not approved bridge surface",source signal for coordination/support only
C7FB-RULE-0014,marginal-intelligibility,C7FB-IN-002,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\002__00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,143,- `marginal_intelligibility_ledger.csv`,require marginal-intelligibility notes before draft terminology choices,source signal for coordination/support only
C7FB-RULE-0015,adverse-evidence,C7FB-IN-002,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\002__00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,144,- `false_friend_ledger.csv`,check false-friend/do-not-use/adverse rows before drafts,source signal for coordination/support only
C7FB-RULE-0016,adverse-evidence,C7FB-IN-002,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\002__00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,145,- `adverse_evidence_ledger.csv`,check false-friend/do-not-use/adverse rows before drafts,source signal for coordination/support only
C7FB-RULE-0017,source-use,C7FB-IN-002,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\002__00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,168,"`language-source-bodies/cjk/` with source files/archives/PDFs, manifest, hashes, README, and logbook.",require source-canon/source-body path/hash/access label or explicit gap,source signal for coordination/support only
C7FB-RULE-0018,source-use,C7FB-IN-002,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\002__00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,186,"`language-source-bodies/rtl-persianate-arabic/` with source files/archives/PDFs, manifest, hashes, README, and logbook.",require source-canon/source-body path/hash/access label or explicit gap,source signal for coordination/support only
C7FB-RULE-0019,marginal-intelligibility,C7FB-IN-002,00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\branch_inputs\002__00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md,3E8CEFBCECF2D2E9845B8063FE417801F5729E40444C9FC881F6A0E1C08EEA66,199,"Collect literal TeX/source bodies for Spanish, French, Portuguese, Italian, German, Dutch, English, Scandinavian languages, and other high-resource baselines touched by the project. These are style/terminology witnesses for translation qual",require marginal-intelligibility notes before draft terminology choices,source signal for coordination/support only
