pan_turkic_row_id,current_head,source_artifact_path,source_artifact_sha256,source_row_id,source_row_sha256,language,branch,target,source_status,local_source_body,classification,branch_weight_use,countable_for_language_branch_only,adverse_or_gap,next_action,allowed_use,forbidden_use,source_use_label,boundary
TRK_EXACT_001,faa2c330deb886098750dafb5c500e244e1333fe,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\TURKIC_EXACT_ROW_WITNESS_PASS_20260705T181500Z.csv,B042610D93800701CFA658EC9EBB626D7C9EEBB0B67011C9CB6CF9C754CD734B,EXACT-KZ-NOETH-RING-001,AEBE83E384115DC679ACFCB00844C5F8A7F64E83F299100EC3891941EB54E94F,Kazakh,Kipchak,Noetherian ring,local-source-body,source_bodies/KZ-RMEBRK_NETER_RING_LINES_14942_15010.txt,exact witness for Kazakh/Kipchak Noetherian-ring row,count as Kipchak exact source witness; no bridge promotion,true,false,,source-canon/source-use/gap/adverse/Fable support; covered exact rows only for that language/branch context,Pan-Turkic bridge; accepted terminology; native/community review claim; license clearance; gate promotion; final/translation completion,pan-turkic-normalized-source-row,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_EXACT_002,faa2c330deb886098750dafb5c500e244e1333fe,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\TURKIC_EXACT_ROW_WITNESS_PASS_20260705T181500Z.csv,B042610D93800701CFA658EC9EBB626D7C9EEBB0B67011C9CB6CF9C754CD734B,EXACT-KZ-POLY-RING-001,7DFF5205F3445471A54CD57A3A926CB5E5A7E651325AB2DC4679273723E3EF7F,Kazakh,Kipchak,polynomial ring,local-source-body,source_bodies/KZ-KAZNPU_POLYNOMIAL_RING_EXCERPT.txt,exact witness for Kazakh/Kipchak polynomial-ring row,count as Kipchak exact source witness; no bridge promotion,true,false,,source-canon/source-use/gap/adverse/Fable support; covered exact rows only for that language/branch context,Pan-Turkic bridge; accepted terminology; native/community review claim; license clearance; gate promotion; final/translation completion,pan-turkic-normalized-source-row,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_EXACT_003,faa2c330deb886098750dafb5c500e244e1333fe,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\TURKIC_EXACT_ROW_WITNESS_PASS_20260705T181500Z.csv,B042610D93800701CFA658EC9EBB626D7C9EEBB0B67011C9CB6CF9C754CD734B,EXACT-KZ-POLY-RING-002,50207FB97D019D40FDA7F053868B498A3C73198C5F4A0BA3D48F5BAB28C0B5DF,Kazakh,Kipchak,polynomial ring,local-source-body,source_bodies/KZ-RMEBRK_POLYNOMIAL_RING_LINES.txt,exact witness for Kazakh/Kipchak polynomial-ring row,count as second Kazakh source but down-weight within same branch/source family,false,false,,source-canon/source-use/gap/adverse/Fable support; covered exact rows only for that language/branch context,Pan-Turkic bridge; accepted terminology; native/community review claim; license clearance; gate promotion; final/translation completion,pan-turkic-normalized-source-row,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_EXACT_004,faa2c330deb886098750dafb5c500e244e1333fe,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\TURKIC_EXACT_ROW_WITNESS_PASS_20260705T181500Z.csv,B042610D93800701CFA658EC9EBB626D7C9EEBB0B67011C9CB6CF9C754CD734B,EXACT-UZ-NOETH-RING-001,4ADD47F7D2EF61BFD57B00AD9E6599D0087008186089E3B314873CBDF043F498,Uzbek,Karluk,Noetherian ring,local-source-body,source_bodies/UZ-DTPI_NYOTER_HALQASI_CONTEXT.txt,exact witness for Uzbek/Karluk Noetherian-ring row,count as Karluk exact source witness; no bridge promotion,true,false,,source-canon/source-use/gap/adverse/Fable support; covered exact rows only for that language/branch context,Pan-Turkic bridge; accepted terminology; native/community review claim; license clearance; gate promotion; final/translation completion,pan-turkic-normalized-source-row,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_EXACT_005,faa2c330deb886098750dafb5c500e244e1333fe,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\TURKIC_EXACT_ROW_WITNESS_PASS_20260705T181500Z.csv,B042610D93800701CFA658EC9EBB626D7C9EEBB0B67011C9CB6CF9C754CD734B,EXACT-UZ-POLY-RING-001,B4CE955137FDBAF63EFFF8DABD94E10B42AB5ADE268515318AE61140BE040CDF,Uzbek,Karluk,polynomial ring,local-source-body,source_bodies/UZ-DTPI_KOPHADLAR_HALQASI_LINES_8044_8062.txt,exact witness for Uzbek/Karluk polynomial-ring row,count as Karluk exact source witness; no bridge promotion,true,false,,source-canon/source-use/gap/adverse/Fable support; covered exact rows only for that language/branch context,Pan-Turkic bridge; accepted terminology; native/community review claim; license clearance; gate promotion; final/translation completion,pan-turkic-normalized-source-row,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_EXACT_006,faa2c330deb886098750dafb5c500e244e1333fe,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\TURKIC_EXACT_ROW_WITNESS_PASS_20260705T181500Z.csv,B042610D93800701CFA658EC9EBB626D7C9EEBB0B67011C9CB6CF9C754CD734B,EXACT-AZ-NOETH-RING-001,B638A7F7AA0BB6E40BA32A7980F312EEC64E45F000CFEEC5704E4A37987736AB,Azerbaijani,Oghuz,Noetherian ring,web-visible-candidate-unlocalized,not available in this package,"exact candidate, not counted as local source-body witness",do not count until source body is downloaded/hashes/excerpted,false,true,,source-canon/source-use/gap/adverse/Fable support; covered exact rows only for that language/branch context,Pan-Turkic bridge; accepted terminology; native/community review claim; license clearance; gate promotion; final/translation completion,pan-turkic-normalized-source-row,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_EXACT_007,faa2c330deb886098750dafb5c500e244e1333fe,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\TURKIC_EXACT_ROW_WITNESS_PASS_20260705T181500Z.csv,B042610D93800701CFA658EC9EBB626D7C9EEBB0B67011C9CB6CF9C754CD734B,EXACT-TT-NOETH-RING-001,86C07BBAECD183E252FBC17AE2F2A3FF1716E1F1B8E88831C35F3AB2090E7141,Tatar,Kipchak,Noetherian ring,machine-translation-nonwitness,not available in this package,non-witness; adverse/source-channel warning,do not count,false,true,,source-canon/source-use/gap/adverse/Fable support; covered exact rows only for that language/branch context,Pan-Turkic bridge; accepted terminology; native/community review claim; license clearance; gate promotion; final/translation completion,pan-turkic-normalized-source-row,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_EXACT_008,faa2c330deb886098750dafb5c500e244e1333fe,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\TURKIC_EXACT_ROW_WITNESS_PASS_20260705T181500Z.csv,B042610D93800701CFA658EC9EBB626D7C9EEBB0B67011C9CB6CF9C754CD734B,EXACT-UG-NOETH-RING-001,CC08E4F7C1346D34DE3D2122A9CC2A4E308564D779FE6EA47F99CB2821834BA6,Uyghur,Karluk,Noetherian ring,gap,not available,gap,do not count,false,true,,source-canon/source-use/gap/adverse/Fable support; covered exact rows only for that language/branch context,Pan-Turkic bridge; accepted terminology; native/community review claim; license clearance; gate promotion; final/translation completion,pan-turkic-normalized-source-row,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_EXACT_009,faa2c330deb886098750dafb5c500e244e1333fe,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\TURKIC_EXACT_ROW_WITNESS_PASS_20260705T181500Z.csv,B042610D93800701CFA658EC9EBB626D7C9EEBB0B67011C9CB6CF9C754CD734B,EXACT-CV-NOETH-RING-001,EC51263E08FC7D8E19BD2673C007095B2190BBB8C395C04F28267C1D4609CDD5,Chuvash,Oghur,Noetherian ring,gap,not available,gap,do not count,false,true,,source-canon/source-use/gap/adverse/Fable support; covered exact rows only for that language/branch context,Pan-Turkic bridge; accepted terminology; native/community review claim; license clearance; gate promotion; final/translation completion,pan-turkic-normalized-source-row,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_RESIDUAL_001,faa2c330deb886098750dafb5c500e244e1333fe,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\TURKIC_RESIDUAL_SOURCE_RECOVERY_PASS_20260705T184500Z.csv,2F57260EF7D59EE804E0877F0DB0D0D16DC651D085E6EF00AC045FDBAD153804,RESID-AZ-NOETH-001,270FFCEEE7B0150417DE9794080DFE583A909344AA7225F8FEF69E8B43583BD3,Azerbaijani,Oghuz,Noetherian ring,web-visible-candidate-unlocalized,not available; logs/az_khazar_download_attempts.csv/json,candidate only; not a local source-body witness,do not count,false,true,Acquire downloadable/hashable source body and exact excerpt.,source-canon/source-use/gap/adverse/Fable support; covered exact rows only for that language/branch context,Pan-Turkic bridge; accepted terminology; native/community review claim; license clearance; gate promotion; final/translation completion,pan-turkic-normalized-source-row,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
