branch_weight_id,current_head,branch,target,countable_rows,adverse_or_gap_rows,languages,source_row_ids,branch_weight_status,source_use_label,boundary
TRK_BRANCH_001,faa2c330deb886098750dafb5c500e244e1333fe,Kipchak,Noetherian ring,1,3,Kazakh;Tatar,EXACT-KZ-NOETH-RING-001;EXACT-TT-NOETH-RING-001;RESID-TT-NOETH-001;FRONT-TT-NOETH-001,mixed or blocked; requires owner-lane recovery before use,pan-turkic-branch-weight-blocker,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_BRANCH_002,faa2c330deb886098750dafb5c500e244e1333fe,Kipchak,polynomial ring,1,0,Kazakh,EXACT-KZ-POLY-RING-001;EXACT-KZ-POLY-RING-002,covered-language/branch exact witness only; no Pan-Turkic bridge,pan-turkic-branch-weight-blocker,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_BRANCH_003,faa2c330deb886098750dafb5c500e244e1333fe,Karluk,Noetherian ring,1,4,Uyghur;Uzbek,EXACT-UZ-NOETH-RING-001;EXACT-UG-NOETH-RING-001;RESID-UG-NOETH-001;RESID-UG-NOETH-002;FRONT-UG-NOETH-001,mixed or blocked; requires owner-lane recovery before use,pan-turkic-branch-weight-blocker,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_BRANCH_004,faa2c330deb886098750dafb5c500e244e1333fe,Karluk,polynomial ring,1,1,Uyghur;Uzbek,EXACT-UZ-POLY-RING-001;RESID-UG-POLY-001,mixed or blocked; requires owner-lane recovery before use,pan-turkic-branch-weight-blocker,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_BRANCH_005,faa2c330deb886098750dafb5c500e244e1333fe,Oghuz,Noetherian ring,0,3,Azerbaijani,EXACT-AZ-NOETH-RING-001;RESID-AZ-NOETH-001;FRONT-AZ-NOETH-001,mixed or blocked; requires owner-lane recovery before use,pan-turkic-branch-weight-blocker,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_BRANCH_006,faa2c330deb886098750dafb5c500e244e1333fe,Oghur,Noetherian ring,0,3,Chuvash,EXACT-CV-NOETH-RING-001;RESID-CV-NOETH-001;FRONT-CV-NOETH-001,mixed or blocked; requires owner-lane recovery before use,pan-turkic-branch-weight-blocker,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_BRANCH_007,faa2c330deb886098750dafb5c500e244e1333fe,Kipchak,ring/polynomial components,0,1,Tatar,RESID-TT-COMP-001,mixed or blocked; requires owner-lane recovery before use,pan-turkic-branch-weight-blocker,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_BRANCH_008,faa2c330deb886098750dafb5c500e244e1333fe,Oghur,abstract algebra vocabulary,0,1,Chuvash,FRONT-CV-AUX-001,mixed or blocked; requires owner-lane recovery before use,pan-turkic-branch-weight-blocker,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_BRANCH_009,faa2c330deb886098750dafb5c500e244e1333fe,Kipchak,,0,0,Kazakh,COMP-KZ-RING-001;COMP-KZ-POLY-001,mixed or blocked; requires owner-lane recovery before use,pan-turkic-branch-weight-blocker,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_BRANCH_010,faa2c330deb886098750dafb5c500e244e1333fe,Oghuz,,0,0,Azerbaijani,COMP-AZ-RING-001,mixed or blocked; requires owner-lane recovery before use,pan-turkic-branch-weight-blocker,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
