standardization_id,current_head,category,instruction,owner_scope,required_evidence,forbidden_claims,source_use_label,boundary
STD_FAA2_001,faa2c330deb886098750dafb5c500e244e1333fe,branch_weight,Use weighted branch witness rows only as data; require source-body/hash provenance and avoid East-skew/inherited bridge promotion.,all Noether lanes consuming interlanguage/Fable authority rows,source body/path/hash/access label or explicit blocker/gap row,native/community review; accepted terminology; approval; license clearance; gate promotion; final status; bridge/pilot; translation completion,faa2-standardization-instruction,"FAA2C330 mutual-wake Interlanguage/Fable authority refresh; source-linked standardization carry-forward, sibling wake accounting, branch-delta blocker/recovery rows, and generated-draft/non-canonical routing only; no invented bridge surfaces, community consent, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
STD_FAA2_002,faa2c330deb886098750dafb5c500e244e1333fe,marginal_intelligibility,"Treat marginal intelligibility as review/gap signal, not as proof of accepted or community-reviewed forms.",all Noether lanes consuming interlanguage/Fable authority rows,source body/path/hash/access label or explicit blocker/gap row,native/community review; accepted terminology; approval; license clearance; gate promotion; final status; bridge/pilot; translation completion,faa2-standardization-instruction,"FAA2C330 mutual-wake Interlanguage/Fable authority refresh; source-linked standardization carry-forward, sibling wake accounting, branch-delta blocker/recovery rows, and generated-draft/non-canonical routing only; no invented bridge surfaces, community consent, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
STD_FAA2_003,faa2c330deb886098750dafb5c500e244e1333fe,source_use,Every lane row needs URL/local path/hash/access or explicit gap row before payload use.,all Noether lanes consuming interlanguage/Fable authority rows,source body/path/hash/access label or explicit blocker/gap row,native/community review; accepted terminology; approval; license clearance; gate promotion; final status; bridge/pilot; translation completion,faa2-standardization-instruction,"FAA2C330 mutual-wake Interlanguage/Fable authority refresh; source-linked standardization carry-forward, sibling wake accounting, branch-delta blocker/recovery rows, and generated-draft/non-canonical routing only; no invented bridge surfaces, community consent, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
STD_FAA2_004,faa2c330deb886098750dafb5c500e244e1333fe,adverse_do_not_use,Do-not-use and false-friend/adverse rows override convenience renderings until reviewed.,all Noether lanes consuming interlanguage/Fable authority rows,source body/path/hash/access label or explicit blocker/gap row,native/community review; accepted terminology; approval; license clearance; gate promotion; final status; bridge/pilot; translation completion,faa2-standardization-instruction,"FAA2C330 mutual-wake Interlanguage/Fable authority refresh; source-linked standardization carry-forward, sibling wake accounting, branch-delta blocker/recovery rows, and generated-draft/non-canonical routing only; no invented bridge surfaces, community consent, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
STD_FAA2_005,faa2c330deb886098750dafb5c500e244e1333fe,normalization,Normalization rows remain draft standardization guidance; owner-lane evidence must confirm script/register/layout.,all Noether lanes consuming interlanguage/Fable authority rows,source body/path/hash/access label or explicit blocker/gap row,native/community review; accepted terminology; approval; license clearance; gate promotion; final status; bridge/pilot; translation completion,faa2-standardization-instruction,"FAA2C330 mutual-wake Interlanguage/Fable authority refresh; source-linked standardization carry-forward, sibling wake accounting, branch-delta blocker/recovery rows, and generated-draft/non-canonical routing only; no invented bridge surfaces, community consent, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
STD_FAA2_006,faa2c330deb886098750dafb5c500e244e1333fe,marker_table,Marker/interlinear table rows are scaffolds only and cannot approve bridge surfaces or target renderings.,all Noether lanes consuming interlanguage/Fable authority rows,source body/path/hash/access label or explicit blocker/gap row,native/community review; accepted terminology; approval; license clearance; gate promotion; final status; bridge/pilot; translation completion,faa2-standardization-instruction,"FAA2C330 mutual-wake Interlanguage/Fable authority refresh; source-linked standardization carry-forward, sibling wake accounting, branch-delta blocker/recovery rows, and generated-draft/non-canonical routing only; no invented bridge surfaces, community consent, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
STD_FAA2_007,faa2c330deb886098750dafb5c500e244e1333fe,interslavic_correction,Preserve Interslavic correction away from East-Slavic skew; use State C as quoted measurement only when source-linked.,all Noether lanes consuming interlanguage/Fable authority rows,source body/path/hash/access label or explicit blocker/gap row,native/community review; accepted terminology; approval; license clearance; gate promotion; final status; bridge/pilot; translation completion,faa2-standardization-instruction,"FAA2C330 mutual-wake Interlanguage/Fable authority refresh; source-linked standardization carry-forward, sibling wake accounting, branch-delta blocker/recovery rows, and generated-draft/non-canonical routing only; no invented bridge surfaces, community consent, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
STD_FAA2_008,faa2c330deb886098750dafb5c500e244e1333fe,governance_authority,No native/community/reviewer authority is inferred; require dedicated evidence gates.,all Noether lanes consuming interlanguage/Fable authority rows,source body/path/hash/access label or explicit blocker/gap row,native/community review; accepted terminology; approval; license clearance; gate promotion; final status; bridge/pilot; translation completion,faa2-standardization-instruction,"FAA2C330 mutual-wake Interlanguage/Fable authority refresh; source-linked standardization carry-forward, sibling wake accounting, branch-delta blocker/recovery rows, and generated-draft/non-canonical routing only; no invented bridge surfaces, community consent, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
STD_FAA2_009,faa2c330deb886098750dafb5c500e244e1333fe,b3_packaging,Language lanes do not push; B3 packages upload-ready artifacts.,all Noether lanes consuming interlanguage/Fable authority rows,source body/path/hash/access label or explicit blocker/gap row,native/community review; accepted terminology; approval; license clearance; gate promotion; final status; bridge/pilot; translation completion,faa2-standardization-instruction,"FAA2C330 mutual-wake Interlanguage/Fable authority refresh; source-linked standardization carry-forward, sibling wake accounting, branch-delta blocker/recovery rows, and generated-draft/non-canonical routing only; no invented bridge surfaces, community consent, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
STD_FAA2_010,faa2c330deb886098750dafb5c500e244e1333fe,token_reset_recovery,"After reset, reread heartbeat/logbook/state and continue from latest validated local frontier.",all Noether lanes consuming interlanguage/Fable authority rows,source body/path/hash/access label or explicit blocker/gap row,native/community review; accepted terminology; approval; license clearance; gate promotion; final status; bridge/pilot; translation completion,faa2-standardization-instruction,"FAA2C330 mutual-wake Interlanguage/Fable authority refresh; source-linked standardization carry-forward, sibling wake accounting, branch-delta blocker/recovery rows, and generated-draft/non-canonical routing only; no invented bridge surfaces, community consent, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
