adverse_id,current_head,source_row_id,language,branch,target,classification,blocked_action,required_recovery_search,source_use_label,boundary
TRK_ADVERSE_001,faa2c330deb886098750dafb5c500e244e1333fe,EXACT-AZ-NOETH-RING-001,Azerbaijani,Oghuz,Noetherian ring,"exact candidate, not counted as local source-body witness",do not count until source body is downloaded/hashes/excerpted,,pan-turkic-adverse-do-not-use,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_ADVERSE_002,faa2c330deb886098750dafb5c500e244e1333fe,EXACT-TT-NOETH-RING-001,Tatar,Kipchak,Noetherian ring,non-witness; adverse/source-channel warning,do not count,,pan-turkic-adverse-do-not-use,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_ADVERSE_003,faa2c330deb886098750dafb5c500e244e1333fe,EXACT-UG-NOETH-RING-001,Uyghur,Karluk,Noetherian ring,gap,do not count,,pan-turkic-adverse-do-not-use,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_ADVERSE_004,faa2c330deb886098750dafb5c500e244e1333fe,EXACT-CV-NOETH-RING-001,Chuvash,Oghur,Noetherian ring,gap,do not count,,pan-turkic-adverse-do-not-use,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_ADVERSE_005,faa2c330deb886098750dafb5c500e244e1333fe,RESID-AZ-NOETH-001,Azerbaijani,Oghuz,Noetherian ring,candidate only; not a local source-body witness,do not count,Acquire downloadable/hashable source body and exact excerpt.,pan-turkic-adverse-do-not-use,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_ADVERSE_006,faa2c330deb886098750dafb5c500e244e1333fe,RESID-UG-NOETH-001,Uyghur,Karluk,Noetherian ring,dictionary candidate only; not a mathematical publication/source-package witness,do not count for hard-row closure; may guide search strings,Find stronger mathematical publication/source package or explicit authority/reviewer return.,pan-turkic-adverse-do-not-use,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_ADVERSE_007,faa2c330deb886098750dafb5c500e244e1333fe,RESID-UG-POLY-001,Uyghur,Karluk,polynomial ring,dictionary candidate only; not a mathematical publication/source-package witness,do not count for hard-row closure; may guide search strings,Find stronger mathematical publication/source package or explicit authority/reviewer return.,pan-turkic-adverse-do-not-use,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_ADVERSE_008,faa2c330deb886098750dafb5c500e244e1333fe,RESID-UG-NOETH-002,Uyghur,Karluk,Noetherian ring,dictionary/category candidate only,do not count; adverse guard against overpromotion,Find stronger mathematical publication/source package or explicit authority/reviewer return.,pan-turkic-adverse-do-not-use,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_ADVERSE_009,faa2c330deb886098750dafb5c500e244e1333fe,RESID-TT-COMP-001,Tatar,Kipchak,ring/polynomial components,auxiliary lexical component evidence only,do not compose exact phrase; do not count,Find exact mathematical phrase row in Tatar source body.,pan-turkic-adverse-do-not-use,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
TRK_ADVERSE_010,faa2c330deb886098750dafb5c500e244e1333fe,RESID-TT-NOETH-001,Tatar,Kipchak,Noetherian ring,non-witness/adverse source-channel warning,do not count,Find exact mathematical source row or reviewer return.,pan-turkic-adverse-do-not-use,"FAA2C330 Pan-Turkic source/blocker wake packet; source-canon/source-use/gap/adverse/Fable support only; covered exact rows may feed owner-lane draft/non-canonical context for that language/branch only; no Pan-Turkic bridge, accepted terminology, native review, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
