"metric","count","note"
"observed_matches_b3_head_context","1","9bbcb11b3e68d29ab98d3dee20ebf27855aed936"
"source_zip_exists","1","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\modern-latex-manuscripts-extract-20260609-174659.zip"
"source_zip_bytes_match_expected","1","5689612655"
"candidate_subpaths_from_b3_index","4","broad R6/access term screen"
"direct_entries_read_and_hashed","4","streamed from local ZIP"
"possible_r6_source_body_candidates_after_classification","0","should remain zero unless exact R6 body found"
"dominant_language_math_context_rows","4","not R6 access authority"
"source_use_gap_rows","3","direct-read source-use/gap rows"
"ethics_authority_rows","5","direct-read ethics/access rows"
"blocker_rows","4","exact direct-read blockers"
"adverse_fable_rows","3","do-not-use/source-use adverse rows"
