file,kind,pages,notes
pdf/deligne_paper085_multizetas_brown_EN_verified.pdf,english_translation_pdf,20,compiled full English translation
tex/deligne_paper085_multizetas_brown_EN_verified.tex,english_translation_tex,,source TeX for English translation
pdf/deligne_paper085_multizetas_brown_FR_source_verified.pdf,french_source_verified_pdf,26,source/reference pages compiled through TeX wrapper; no screenshots
tex/deligne_paper085_multizetas_brown_FR_source_verified.tex,french_source_wrapper_tex,,LaTeX wrapper compiling source-reference pages
source_grounding/deligne_paper085_source_reference.pdf,source_reference_pdf,26,source/reference article pages used for grounding
source_grounding/deligne_paper085_source_extracted_text.txt,source_text_extraction,,extracted source text used as checking aid
reports/COMBINED_WORKFLOW.md,workflow_note,,combined user and Codex workflow
reports/FIDELITY_NOTE.md,fidelity_note,,coverage and status note
reports/manifest.csv,manifest,,package manifest
reports/SHA256SUMS.txt,hashes,,SHA-256 hashes for shipped files
