"branch_head","claim","value","evidence_basis"
"49d0983c2d071a6885d18d969bc85f26f14033e8","mapping","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"49d0983c2d071a6885d18d969bc85f26f14033e8","translation","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"49d0983c2d071a6885d18d969bc85f26f14033e8","approval","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"49d0983c2d071a6885d18d969bc85f26f14033e8","native_review","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"49d0983c2d071a6885d18d969bc85f26f14033e8","accepted_terminology","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"49d0983c2d071a6885d18d969bc85f26f14033e8","license_clearance","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"49d0983c2d071a6885d18d969bc85f26f14033e8","gate_promotion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"49d0983c2d071a6885d18d969bc85f26f14033e8","source_certification","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"49d0983c2d071a6885d18d969bc85f26f14033e8","final_status","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"49d0983c2d071a6885d18d969bc85f26f14033e8","bridge_pilot","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"49d0983c2d071a6885d18d969bc85f26f14033e8","translation_completion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
