row_id,packet_unit,source_family,olp_pointer,dmoi_pointer,next_gate,language_owner_route,session_d_route,source_text_or_excerpt_files,source_text_copied,local_terms_accepted,bridge_surfaces_accepted,translations_created,ready_for_mapping
K-RF-PTR-001,proof_reading_and_definition_use,OLP plus DMOI,OLP-METHODS-PROOFS-READING-01; OLP-METHODS-USING-DEFINITIONS-01,DMOI-RF-CAT-01,reviewer-scope return before any excerpt or surface,route language-specific register questions to the relevant language lane,route novel construction governance questions to Session D,0,0,0,0,0,false
K-RF-PTR-002,sets_membership_subset_equality,OLP plus DMOI,OLP-SFR-SETS-BASICS-01,DMOI-RF-CAT-01,local terminology authority return and exact-line sidecar,route local set-membership terminology to the relevant language lane,route ownerless constructed slot questions to Session D,0,0,0,0,0,false
K-RF-PTR-003,domain_codomain_range,OLP plus DMOI,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-02; DMOI-RF-CAT-06,reviewer route decision and local register split,route domain/codomain/range register questions to the relevant language lane,route ownerless construction method questions to Session D,0,0,0,0,0,false
K-RF-PTR-004,function_as_relation_boundary,OLP plus DMOI,OLP-SFR-FUNCTIONS-BASICS-01; OLP-SFR-RELATIONS-01,DMOI-RF-CAT-01,scope sidecar before relation-as-set language enters a packet,route relation/function boundary wording to the relevant language lane,route abstract boundary-slot governance to Session D,0,0,0,0,0,false
K-RF-PTR-005,injective_surjective_bijective,OLP plus DMOI,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-03,property-family reviewer return,route injective/surjective/bijective terminology to the relevant language lane,route ownerless property-slot construction questions to Session D,0,0,0,0,0,false
K-RF-PTR-006,relation_properties,OLP plus DMOI,OLP-SFR-RELATIONS-01,DMOI-RF-CAT-07,relation-property reviewer route and local-standard check,route reflexive/symmetric/antisymmetric/transitive terms to the relevant language lane,route constructed property-family governance to Session D,0,0,0,0,0,false
K-RF-PTR-007,equivalence_order_poset,OLP plus DMOI,OLP-SFR-RELATIONS-01,DMOI-RF-CAT-04,advanced scope decision before use,route equivalence/order/poset language to the relevant language lane,route ownerless advanced-slot construction method to Session D,0,0,0,0,0,false
K-RF-PTR-008,composition_inverse,OLP plus DMOI,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-05,defer unless first packet explicitly includes operation language,route composition/inverse terminology to the relevant language lane,route ownerless operation-slot construction questions to Session D,0,0,0,0,0,false
K-RF-PTR-009,finite_infinite_equinumerosity,OLP plus DMOI,OLP-SFR-SIZE-OF-SETS-01,DMOI-RF-CAT-03; DMOI-RF-CAT-08,separate finite/infinite scope sidecar,route finite/infinite/equinumerous terms to the relevant language lane,route ownerless numerosity-slot construction questions to Session D,0,0,0,0,0,false
K-RF-PTR-010,high_density_source_shelf_selection,OLP plus DMOI,OLP-SFR-SETS-BASICS-01; OLP-SFR-FUNCTIONS-BASICS-01; OLP-SFR-RELATIONS-01,DMOI-RF-CAT-08,source-shelf selection matrix with no source prose,route source-selection consequences to affected language lanes,route cross-lane construction-method disputes to Session D,0,0,0,0,0,false
