"chunk","repository_relative_path","package_relative_path","language","source_kind","status","extension","bytes","sha256","license_access_signal","boundary"
"slavic-source-archives-and-manifests-part02","language-source-bodies/slavic-non-ru-uk-20260705/source-archives/bs-bosnian/bornagojsic_dismat2__8bc283e3dcf3b37b9c50f311260357873bb2e79e.zip","source-archives/bs-bosnian/bornagojsic_dismat2__8bc283e3dcf3b37b9c50f311260357873bb2e79e.zip","Bosnian","source_archive_or_package","copied",".zip","1796269","CC28DE6D6BCAF1639002E88FC463E30254C467C6EC1BFDB4A464CCFAA06605D5","MIT","source bodies / draft support only; no native review, accepted terminology, license clearance, gate promotion, or translation completion"
"slavic-source-archives-and-manifests-part02","language-source-bodies/slavic-non-ru-uk-20260705/source-archives/bs-bosnian/Headary_maturita__d6fc05f3687d0fbf6ff1dc3dd09ebc00236715e8.zip","source-archives/bs-bosnian/Headary_maturita__d6fc05f3687d0fbf6ff1dc3dd09ebc00236715e8.zip","Bosnian","source_archive_or_package","copied",".zip","33261943","64ADCDA6AA9F5BF858B16001EE46A03522ECE2B5427D0F047F468F6640EE1212","GPL-3.0","source bodies / draft support only; no native review, accepted terminology, license clearance, gate promotion, or translation completion"
"slavic-source-archives-and-manifests-part02","language-source-bodies/slavic-non-ru-uk-20260705/source-archives/bs-bosnian/iruspro_zapiski-fmf__2933b9bec2fad0e0acd4159d5f963bcc84637c9f.zip","source-archives/bs-bosnian/iruspro_zapiski-fmf__2933b9bec2fad0e0acd4159d5f963bcc84637c9f.zip","Bosnian","source_archive_or_package","copied",".zip","10793460","1BA2D84BD0AF55358EF3961ADC0E93578E994F6D38862180BF1F0B7F13FACA4D","MIT","source bodies / draft support only; no native review, accepted terminology, license clearance, gate promotion, or translation completion"
"slavic-source-archives-and-manifests-part02","language-source-bodies/slavic-non-ru-uk-20260705/source-archives/bs-bosnian/kkumer_simetrije__86e0c527cf5e873c63896d9bf5e95fe62bf15814.zip","source-archives/bs-bosnian/kkumer_simetrije__86e0c527cf5e873c63896d9bf5e95fe62bf15814.zip","Bosnian","source_archive_or_package","copied",".zip","2361088","AE9A0D529FA2CCCE340937F2E47EA1A351559978682C8B862CFF7BD5148B890F","CC-BY-SA-4.0","source bodies / draft support only; no native review, accepted terminology, license clearance, gate promotion, or translation completion"
"slavic-source-archives-and-manifests-part02","language-source-bodies/slavic-non-ru-uk-20260705/source-archives/multiple_slavic/github_open_license_payload_zip_20260705T0125Z__NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260705T0125Z.zip","source-archives/multiple_slavic/github_open_license_payload_zip_20260705T0125Z__NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260705T0125Z.zip","multiple Slavic","source_archive_or_package","copied",".zip","30478","5A17C33606A95FD3939BAC50A5E62219CAFDA097E4831AF485E8BF839CF0B8A8","manifested open-license payload rows; see included GitHub manifests","source bodies / draft support only; no native review, accepted terminology, license clearance, gate promotion, or translation completion"
"slavic-source-archives-and-manifests-part02","language-source-bodies/slavic-non-ru-uk-20260705/source-manifests/NOETHER_SLAVIC_SOURCE_CANON_ARXIV_20260704T2305Z/LOCAL_SLAVIC_REFERENCE_SHELF_INDEX.csv","source-manifests/NOETHER_SLAVIC_SOURCE_CANON_ARXIV_20260704T2305Z/LOCAL_SLAVIC_REFERENCE_SHELF_INDEX.csv","multiple Slavic","source_manifest_or_gap_report","copied",".csv","20197","AB0EDA10D2D74346A1810B2279E8AA7CD80988A5DD7FB21B13F04A0BFCD7A442","provenance manifest; not a license clearance","source bodies / draft support only; no native review, accepted terminology, license clearance, gate promotion, or translation completion"
"slavic-source-archives-and-manifests-part02","language-source-bodies/slavic-non-ru-uk-20260705/source-manifests/NOETHER_SLAVIC_SOURCE_CANON_ARXIV_20260704T2305Z/SLAVIC_ARXIV_BLOCKED_OR_NOT_UPLOADED.csv","source-manifests/NOETHER_SLAVIC_SOURCE_CANON_ARXIV_20260704T2305Z/SLAVIC_ARXIV_BLOCKED_OR_NOT_UPLOADED.csv","multiple Slavic","source_manifest_or_gap_report","copied",".csv","56","B3BCC2BCB7608BD657E057579826DE5D53B0F448CF3A8C51A46748BF2988C0B5","provenance manifest; not a license clearance","source bodies / draft support only; no native review, accepted terminology, license clearance, gate promotion, or translation completion"
"slavic-source-archives-and-manifests-part02","language-source-bodies/slavic-non-ru-uk-20260705/source-manifests/NOETHER_SLAVIC_SOURCE_CANON_ARXIV_20260704T2305Z/SLAVIC_ARXIV_EXTRACTED_LATEX.csv","source-manifests/NOETHER_SLAVIC_SOURCE_CANON_ARXIV_20260704T2305Z/SLAVIC_ARXIV_EXTRACTED_LATEX.csv","multiple Slavic","source_manifest_or_gap_report","copied",".csv","135","1BC8F338D9588A8669D21AD5442DCDE1DA8DB167575C8611C2D8B9CE4B310E73","provenance manifest; not a license clearance","source bodies / draft support only; no native review, accepted terminology, license clearance, gate promotion, or translation completion"
"slavic-source-archives-and-manifests-part02","language-source-bodies/slavic-non-ru-uk-20260705/source-manifests/NOETHER_SLAVIC_SOURCE_CANON_ARXIV_20260704T2305Z/SLAVIC_ARXIV_SOURCE_ARCHIVES.csv","source-manifests/NOETHER_SLAVIC_SOURCE_CANON_ARXIV_20260704T2305Z/SLAVIC_ARXIV_SOURCE_ARCHIVES.csv","multiple Slavic","source_manifest_or_gap_report","copied",".csv","104","59C7AC0C3B522221B24905CD6AD34B26B3AC77EBDE52A091E810072870D294E5","provenance manifest; not a license clearance","source bodies / draft support only; no native review, accepted terminology, license clearance, gate promotion, or translation completion"
"slavic-source-archives-and-manifests-part02","language-source-bodies/slavic-non-ru-uk-20260705/source-manifests/NOETHER_SLAVIC_SOURCE_CANON_ARXIV_20260704T2305Z/SLAVIC_ARXIV_TARGET_LANGUAGE_CANDIDATES.csv","source-manifests/NOETHER_SLAVIC_SOURCE_CANON_ARXIV_20260704T2305Z/SLAVIC_ARXIV_TARGET_LANGUAGE_CANDIDATES.csv","multiple Slavic","source_manifest_or_gap_report","copied",".csv","26316","DE31B156927276B7734A24A4E286A9F4F4E086BDDC9A034048690F71849A0C16","provenance manifest; not a license clearance","source bodies / draft support only; no native review, accepted terminology, license clearance, gate promotion, or translation completion"
