"current_id","record_kind","source_layer","target_language_or_access_target","source_title_or_cluster","topic_tags","evidence_tier","source_type","row_count","url_or_path","sha256_or_hash","license_or_access_signal","source_level_tex_or_archive_count_or_flag","pdf_docx_text_fallback_count_or_flag","package_or_git_status","upload_policy","open_gap_or_action","non_claim_boundary"
"AR-CURRENT-001","artifact_index","Arabic lane normalized witness table","Arabic RTL","Arabic normalized source-canon witness table","algebra; rings; fields; homomorphism; isomorphism; Artinian; invariant theory gaps","mixed_direct_witness_and_gap_rows","csv","26","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","C70D17AFC7CA804738EDD376A86E432AD26B9336810142EB8AA62D6143505A4B","mixed per-row signals; no blanket license clearance","0 direct TeX/LaTeX/arXiv/source-archive rows","17 direct or adjacent PDF/HTML/text provenance rows plus gap/rejected rows","local Arabic lane output; earlier packaged by B3 where eligible","metadata/hash/provenance only; no raw source body upload from this lane","Use as current baseline table; do not treat as approval or native review","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-002","artifact_index","Arabic GitHub/source archive probe","Arabic RTL","Arabic GitHub TeX/source-archive probe","TeX; LaTeX; GitHub; arXiv/source package search; algebra; ring; field; invariant theory","source_archive_search_gap_probe","csv","15","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_GITHUB_SOURCE_ARCHIVE_PROBE_20260704.csv","E7DBEE58048F5F2187D67B6DB51A5E956FE9654891013D5BEBAA8011971AFDDA","GitHub/API/web search result provenance only","0 source packages found","0 fallback source bodies added by this probe","local Arabic lane output; latest package recheck origin package 341 and local B3-owned package 342 ahead by one","publish query/result/gap rows only","Keeps direct Arabic TeX/source-archive gap open; false positives and one rate-limit/403 noted","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-003","artifact_index","R3 current gap refresh","Controlled Arabic / Arabic RTL","R3 current gap refresh Arabic-relevant rows","Noetherian ring; Artinian ring; matrix algebra; invariant theory source gap","cross_lane_gap_refresh","csv","12 total R3 rows; 5 Arabic-relevant rows","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GAP_REFRESH_20260704T202708Z\R3_SOURCE_CANON_GAP_REFRESH_REQUIRED_SHAPE_20260704T202708Z.csv","8239C25B3B440CE862F8E9C15950C51155D077DD5050E8003EBBAF9B712D1AA6","mixed; journal-hosted PDFs/HTML with no license clearance claimed","0 source-level TeX/archive/package rows in this refresh","3 strong Arabic PDF rows plus 1 weak HTML row plus 1 explicit gap","R3 local output; R3 master packaged in package 337","metadata/hash/URL provenance only; no source body copied into Arabic lane","Fold Arabic-relevant rows into this rollup as cross-lane evidence; do not let Persianate/adjacent rows authorize Arabic","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-004","artifact_index","R3 master source-canon index","Controlled Arabic / Arabic RTL and separated Persianate neighbors","R3 master source-canon pointer/index layer","Arabic/Persianate linear algebra; gaps; duplicate evidence; file index","cross_lane_master_index","csv","70 master rows","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_MASTER_INDEX_20260704T204214Z\R3_SOURCE_CANON_MASTER_INDEX_REQUIRED_SHAPE_20260704T204214Z.csv","465FA3023D0B175E128D0CEC1713C32E3169E68D6B742CCDABAC4C95547295FC","mixed per-row signals; no license clearance claimed","0 direct Arabic mathematical TeX/source-package closure","Arabic rows include PDF/raw-wikitext fallbacks, support/tooling source archives, and explicit gaps","current R3 master includes GitHub/source-archive probe; not pushed by Arabic lane","pointer/index only; B3 owns publication packaging","Use for cross-lane alignment and duplicate/gap visibility; R3 does not supersede Arabic lane table","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-005","witness_addendum","R3 current gap refresh","Controlled Arabic / Arabic RTL","Prüfer ring and Arithmetical ring / حلقة برفير والحلقة الحسابية","Prüfer ring; arithmetical ring; reduced ring; Artinian ring; Noetherian ring","B_pdf_publication_fallback","pdf","1","https://journal.damascusuniversity.edu.sy/index.php/basj/ar/article/view/3694/1220","8957E428CACBADA148C65E9894FCF73C0931BDA5722C8CC8A842F23150BE69C4","journal-hosted PDF; no license clearance claimed","false","true","R3 current gap-refresh row; not copied as raw source body by Arabic lane","manifest/hash/URL only unless B3 creates a gated source-canon package","Strengthens Arabic Noetherian/ring provenance; does not close invariant-theory TeX/source-package gap","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-006","witness_addendum","R3 current gap refresh","Controlled Arabic / Arabic RTL","Cayley-Hamilton application and matrix algebraic structure Arabic article","Cayley-Hamilton theorem; matrices; algebraic structure; Noetherian ring; linear algebra","B_pdf_publication_fallback","pdf","1","https://journal.damascusuniversity.edu.sy/index.php/basj/ar/article/view/1133/844","01E37F125A62322451388F068E71BBF7E28F0448F1A112F62252E821E65EC6D4","journal-hosted PDF; no license clearance claimed","false","true","R3 current gap-refresh row; not copied as raw source body by Arabic lane","manifest/hash/URL only unless B3 creates a gated source-canon package","Adjacent Arabic matrix/ring witness; does not authorize invariant-theory bridge terms","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-007","witness_addendum","R3 current gap refresh","Controlled Arabic / Arabic RTL","Comparative study of Kronecker and Hadamard product effects on matrix algebraic structure","matrix algebra; Kronecker product; Hadamard product; ideals; Noetherian ring; Artinian ring","B_pdf_publication_fallback","pdf","1","https://fezzanu.edu.ly/fusj/index.php/FUAJ/article/download/343/189/326","971692613BFD9312B364BD0740F8401BB6372635CF3BF092F7B3DCBE601D2A15","journal-hosted PDF; no license clearance claimed","false","true","R3 current gap-refresh row; not copied as raw source body by Arabic lane","manifest/hash/URL only unless B3 creates a gated source-canon package","Arabic adjacent linear-algebra/ring provenance; not specialist invariant theory and not a source package","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-008","weak_witness_addendum","R3 current gap refresh","Controlled Arabic / Arabic RTL","اللاتغيرية ونظرية النظم: الجوانب الجبرية والهندسية","invariance; system theory; algebraic geometry; geometric invariant theory; weak Arabic secondary summary","D_weak_secondary_or_metadata_not_source_authority","html","1","https://shamra-academia.com/show/f0597758b3ef43","1C96766B86AD1336829B8A387B1E1E2626298E59B7A6B3AA8F2C17C45ABB0C2F","public HTML page; Arabic summary/metadata only; no source or reuse clearance claimed","false","true","R3 current gap-refresh weak row; not a target-language specialist source authority","manifest/hash/URL weak-candidate record only","Records Arabic invariant-theory phrase evidence only; must not close Arabic invariant-theory gap","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-009","explicit_gap","R3 current gap refresh","Controlled Arabic / Arabic RTL","Arabic invariant-theory TeX/arXiv/source archive","invariant theory; geometric invariant theory; TeX; LaTeX; arXiv; source archive","G_explicit_gap_no_source_witness_found","gap","1","","","not applicable: explicit source gap; no source witness located in this refresh","false","false","R3 current gap-refresh explicit gap; aligned with Arabic GitHub/source probe","gap row only","Arabic searches found ring/Noetherian PDF provenance and weak invariant-theory phrase evidence, but no Arabic TeX/LaTeX/arXiv/source-package witness for invariant theory","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-010","package_boundary","B3 packaging observation","Arabic RTL and R3 cross-lane","Package frontier check","B3 packaging; GitHub instruction bus; no lane push","coordination_boundary","git_package_observation","not applicable","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702","","not applicable","not applicable","not applicable","moving B3-owned frontier; packages advanced through 345 with later package 346 drift observed during this pass","B3 owns staging/committing/pushing; Arabic lane observed only","Do not stage, commit, or push from Arabic lane; use GitHub-tracked records as coordination bus","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
