"current_head","language_gate","native_source_body_rows","ocr_or_extracted_witness_rows","source_resolved_draft_rows","unresolved_source_context_rows","blocker_rows","gate_status","next_action_81db","source_use_label","gate_guard","boundary"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ar","87","29","61","2","6","has-source-body-witnesses","Keep active recovery rows and do not claim completion.","source-witness-gate-status","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"81db4ba945379e7c267ac6b5049f207e5746e65e","fa_IR","21","6","72","2","0","has-source-body-witnesses","Draft/pretranslation support may proceed only for source-gated rows; keep non-canonical labels.","source-witness-gate-status","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"81db4ba945379e7c267ac6b5049f207e5746e65e","prs_AF","11","3","0","1","1","has-source-body-witnesses","Keep active recovery rows and do not claim completion.","source-witness-gate-status","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"81db4ba945379e7c267ac6b5049f207e5746e65e","tg_Cyrl_TJ","19","6","0","2","1","has-source-body-witnesses","Keep active recovery rows and do not claim completion.","source-witness-gate-status","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ur_Arab","0","0","15","0","3","no-native-source-body-witness-in-status-row","Keep active recovery rows and do not claim completion.","source-witness-gate-status","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ota_Arab","0","0","0","0","3","no-native-source-body-witness-in-status-row","Keep active recovery rows and do not claim completion.","source-witness-gate-status","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ug_Arab","18","0","0","1","0","has-source-body-witnesses","Maintain source-canon witness state and continue search.","source-witness-gate-status","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"81db4ba945379e7c267ac6b5049f207e5746e65e","tr_Latn","4","0","0","0","0","has-source-body-witnesses","Maintain source-canon witness state and continue search.","source-witness-gate-status","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"81db4ba945379e7c267ac6b5049f207e5746e65e","Hindustani","0","0","0","0","0","no-native-source-body-witness-in-status-row","Maintain source-canon witness state and continue search.","source-witness-gate-status","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"81db4ba945379e7c267ac6b5049f207e5746e65e","Pan-Turkic","0","0","0","0","0","no-native-source-body-witness-in-status-row","Maintain source-canon witness state and continue search.","source-witness-gate-status","Arabic authority rows do not authorize Persian/Farsi, Dari, Tajik, Urdu/Hindustani, Ottoman, or Pan-Turkic rows; each gate remains independent","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
