"field","value","label"
"packet","R3_81DB4BA9_SOURCE_GATED_MICRO_EVIDENCE_20260706","b3-uploader-ready"
"local_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_81DB4BA9_SOURCE_GATED_MICRO_EVIDENCE_20260706\R3_81DB4BA9_SOURCE_GATED_MICRO_EVIDENCE_20260706T095432Z","local-output-path"
"prior_frontier","9d7db086f00e8cce0aceeefa9d80acba9fd1af50","branch-comparison"
"current_head","81db4ba945379e7c267ac6b5049f207e5746e65e","branch-comparison"
"observed_remote_head","81db4ba945379e7c267ac6b5049f207e5746e65e","branch-observation"
"branch_delta_rows","172","branch-delta-provenance"
"source_body_canon_index_rows","143","literal-source-body-canon"
"source_witness_rows","13","source-witness-index"
"micro_evidence_rows","148","source-checked-generated-draft-pretranslation"
"formula_note_rows","148","formula-neighboring-usage"
"term_alternative_rows","19","term-alternatives-draft"
"active_recovery_rows","187","active-recovery-blocker"
"fable_ledger_rows","162","fable-source-use-adverse"
"b3_target_path","interlanguage-sidecar/rtl-persianate-arabic-81db4ba9-source-gated-micro-evidence-20260706/","suggested-upload-target"
"claim_guard","No bridge promotion, cross-gate merge, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion.","boundary"
