"active_term_id","language_lane","english_concept","draft_target_rendering","bucket","witness_id","witness_grade","witness_status","topic_cluster","treated_terms_supported","source_title","local_evidence_type","local_path_or_package","local_sha256","live_url","source_url","license_signal","language_topic_evidence","blocker_gap_note","missing_evidence","acquisition_next_action","native_review_status","canonical_approval_status","nonclaim_boundary"
"term-fr-0008","french","tensor product","produit tensoriel","source-canon insufficient","FR-A-002","A","source_witness","algebra_representation","algebra; module; representation; tensor product register","Algebres amassees et applications","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\0911.2903v2.source","831793f96ff067f08f9948bace45e5d02d37773f58a9edef46e76e3c1686186c","https://arxiv.org/abs/0911.2903","https://arxiv.org/e-print/0911.2903v2","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/0911.2903; arXiv API license field blank; no license-clearance claim","Target-language tensor/register witness for the term, not a sufficient Noether corpus anchor by itself.","Domain-adjacent; not Noether corpus source alone","Need a canon German/source-corpus slice that names or explains Tensorprodukt/tensor product rather than only noisy formula-level \otimes/product occurrences.","Do not add corpus prose; continue source acquisition/gap tracking until a canon German source slice names or explains the concept.","not_native_reviewed","not_approved","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no blanket license-clearance claim; no translation-completion claim; no Git push by language lane"
"term-fr-0008","french","tensor product","produit tensoriel","source-canon insufficient","FR-A-003","A","source_witness","representation_modules","module; representation; automorphism; semisimple; completely reducible; produit tensoriel","Extensions des modules de dimension finie pour les algebres de courants tordues","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\1508.04495v1.source","25172cba6ec3b7e87a79e7c53ca0f29c29e05478f693375628e44ba969fb669c","https://arxiv.org/abs/1508.04495","https://arxiv.org/e-print/1508.04495v1","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim","Target-language tensor/register witness for the term, not a sufficient Noether corpus anchor by itself.","Does not unblock Noether tensor corpus row without German anchor","Need a canon German/source-corpus slice that names or explains Tensorprodukt/tensor product rather than only noisy formula-level \otimes/product occurrences.","Do not add corpus prose; continue source acquisition/gap tracking until a canon German source slice names or explains the concept.","not_native_reviewed","not_approved","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no blanket license-clearance claim; no translation-completion claim; no Git push by language lane"
"term-fr-0008","french","tensor product","produit tensoriel","source-canon insufficient","FR-A-004","A","source_witness","noetherian_functors","noetherian; finitely generated; commutative ring; tensor product context","Sur la noetherianite locale des foncteurs polynomiaux","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\2211.16134v2.source","97da3f0c5d0fc77dad4e4de33c9e34b04c2239c9f392e7f404640ea1dd021fae","https://arxiv.org/abs/2211.16134","https://arxiv.org/e-print/2211.16134v2","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/2211.16134; arXiv API license field blank; no license-clearance claim","Target-language tensor/register witness for the term, not a sufficient Noether corpus anchor by itself.","Functor-category domain; not classical invariant theory","Need a canon German/source-corpus slice that names or explains Tensorprodukt/tensor product rather than only noisy formula-level \otimes/product occurrences.","Do not add corpus prose; continue source acquisition/gap tracking until a canon German source slice names or explains the concept.","not_native_reviewed","not_approved","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no blanket license-clearance claim; no translation-completion claim; no Git push by language lane"
"term-fr-0008","french","tensor product","produit tensoriel","source-canon insufficient","FR-A-005","A","source_witness","algebraic_geometry_foundations","ring; field; module; tensor product; localization register","Revetements etales et groupe fondamental SGA 1","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\math_0206203v2.source","0a33c9c06908705a2525690faae02f6f07980a4aa069a8b6cff9b1d9bc39acd3","https://arxiv.org/abs/math/0206203","https://arxiv.org/e-print/math/0206203v2","arXiv HTML license href http://arxiv.org/licenses/assumed-1991-2003/; TeX href /src/math/0206203; arXiv API license field blank; no license-clearance claim","Target-language tensor/register witness for the term, not a sufficient Noether corpus anchor by itself.","Very broad; not Noether-specific","Need a canon German/source-corpus slice that names or explains Tensorprodukt/tensor product rather than only noisy formula-level \otimes/product occurrences.","Do not add corpus prose; continue source acquisition/gap tracking until a canon German source slice names or explains the concept.","not_native_reviewed","not_approved","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no blanket license-clearance claim; no translation-completion claim; no Git push by language lane"
"term-fr-0008","french","tensor product","produit tensoriel","source-canon insufficient","FR-A-006","A","source_witness","algebras_fields_groups","algebra; field; tensor product; algebraic groups","Algebres simples centrales sur les corps de fonctions de deux variables","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\math_0507070v1.source","d8e3ab3651da332ce65e5f3c634aac15805751c086af8e4b683e0f254b09d957","https://arxiv.org/abs/math/0507070","https://arxiv.org/e-print/math/0507070v1","arXiv HTML license href http://arxiv.org/licenses/assumed-1991-2003/; TeX href /src/math/0507070; arXiv API license field blank; no license-clearance claim","Target-language tensor/register witness for the term, not a sufficient Noether corpus anchor by itself.","Adjacent algebra source","Need a canon German/source-corpus slice that names or explains Tensorprodukt/tensor product rather than only noisy formula-level \otimes/product occurrences.","Do not add corpus prose; continue source acquisition/gap tracking until a canon German source slice names or explains the concept.","not_native_reviewed","not_approved","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no blanket license-clearance claim; no translation-completion claim; no Git push by language lane"
"term-fr-0008","french","tensor product","produit tensoriel","source-canon insufficient","FR-GAP-002","GAP","corpus_blocker_retained","tensor_product","produit tensoriel","French tensor corpus anchor gap","not applicable","","","","","not applicable","Target-language tensor/register witness for the term, not a sufficient Noether corpus anchor by itself.","No usable German Noether Tensorprodukt prose anchor; noisy otimes hits insufficient","Need a canon German/source-corpus slice that names or explains Tensorprodukt/tensor product rather than only noisy formula-level \otimes/product occurrences.","Do not add corpus prose; continue source acquisition/gap tracking until a canon German source slice names or explains the concept.","not_native_reviewed","not_approved","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no blanket license-clearance claim; no translation-completion claim; no Git push by language lane"
"term-es-0010","spanish","tensor product","producto tensorial","source-canon insufficient","ES-A-004","A","current_arxiv_source_witness","monoids_tensor","producto tensorial; module; commutative ring; ideal; maximal ideal","La geometria de los monoides","current TeX source package","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\arxiv_2209.02110v2.source","9b8421c86cbec96648b87d85d259d88977edc6c09f1c0867e1ff8d3455d82f62","https://arxiv.org/abs/2209.02110","https://arxiv.org/e-print/2209.02110v2","Creative Commons license link present on arXiv page","Target-language tensor/register witness for the term, not a sufficient Noether corpus anchor by itself.","Target-language tensor witness exists but Noether tensor row remains blocked for missing German anchor","Need a canon German/source-corpus slice that names or explains Tensorprodukt/tensor product rather than only noisy formula-level \otimes/product occurrences.","Do not add corpus prose; continue source acquisition/gap tracking until a canon German source slice names or explains the concept.","not_native_reviewed","not_approved","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no blanket license-clearance claim; no translation-completion claim; no Git push by language lane"
"term-es-0010","spanish","tensor product","producto tensorial","source-canon insufficient","ES-A-005","A","source_witness","d_modules_representation","module; localization; representation; semisimple Lie algebra; producto tensorial","Introduccion a los D-modulos","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\spanish\2307.03598v1.source","9aefde893f1424c61c09711a1dae84ff51a1ef560870a7035a0236daaf79ddcc","https://arxiv.org/abs/2307.03598","https://arxiv.org/e-print/2307.03598v1","Creative Commons license link present on arXiv page","Target-language tensor/register witness for the term, not a sufficient Noether corpus anchor by itself.","Semisimple remains adjacent and review-sensitive","Need a canon German/source-corpus slice that names or explains Tensorprodukt/tensor product rather than only noisy formula-level \otimes/product occurrences.","Do not add corpus prose; continue source acquisition/gap tracking until a canon German source slice names or explains the concept.","not_native_reviewed","not_approved","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no blanket license-clearance claim; no translation-completion claim; no Git push by language lane"
"term-es-0010","spanish","tensor product","producto tensorial","source-canon insufficient","ES-C-008","C","pdf_text_witness","invariant_theory","invariant theory; invariant ring; Noether bound; Molien formula; producto tensorial; Hilbert basis","Teoria de invariantes de grupos finitos","PDF plus extracted text","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\spanish\es_uva_invariant_groups_finite.pdf","2adfb7881c0296e9802839ef9e53879376be50b324b9767ab2cee08f9af71fd4","https://uvadoc.uva.es/handle/10324/71007","https://uvadoc.uva.es/bitstream/handle/10324/71007/TFG-G6811.pdf?sequence=1&isAllowed=y","UVaDOC metadata: openAccess; CC BY-NC-ND 4.0 rights URI; PDF fallback HTTP 200; no license-clearance claim","Target-language tensor/register witness for the term, not a sufficient Noether corpus anchor by itself.","PDF/text fallback; URL and access/license signal refreshed; no TeX/source archive verified","Need a canon German/source-corpus slice that names or explains Tensorprodukt/tensor product rather than only noisy formula-level \otimes/product occurrences.","Do not add corpus prose; continue source acquisition/gap tracking until a canon German source slice names or explains the concept.","not_native_reviewed","not_approved","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no blanket license-clearance claim; no translation-completion claim; no Git push by language lane"
"term-es-0010","spanish","tensor product","producto tensorial","source-canon insufficient","ES-GAP-001","GAP","corpus_blocker_retained","tensor_product","producto tensorial","Spanish tensor corpus anchor gap","not applicable","","","","","not applicable","Target-language tensor/register witness for the term, not a sufficient Noether corpus anchor by itself.","No usable German Noether Tensorprodukt prose anchor; noisy otimes hits insufficient","Need a canon German/source-corpus slice that names or explains Tensorprodukt/tensor product rather than only noisy formula-level \otimes/product occurrences.","Do not add corpus prose; continue source acquisition/gap tracking until a canon German source slice names or explains the concept.","not_native_reviewed","not_approved","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no blanket license-clearance claim; no translation-completion claim; no Git push by language lane"
