item,tex/source form,Spanish policy,Japanese policy,notes
Paper 30 Fraktur ring,\mR = \mathfrak{R},preserve as ring symbol,環記号として保持,Macro added to cumulative preamble
Paper 30 Fraktur fields,"\mK, \mL, \mG",preserve source symbol names,原記号を保持,Field/ring/extension symbols
Paper 30 ideals,"\ma, \mb, \mc, \mp, \mq",preserve Fraktur ideal letters,Fraktur イデアル文字を保持,Ideal letters throughout
bar notation,\mbar{\ma},preserve overline on ideal/module symbol,上線を保持,Integral closure/associated notation by context
ideal congruence,\pmod{\ma},modulo el ideal ...,イデアル ... を法として,Keep source modular notation
colon quotient,(\ma:\mb),cociente por dos puntos,コロン商,Do not rewrite to Hom notation
Greek rho,\varrho,preserve varrho,varrho を保持,Index/length notation
chain notation,\ma_1\supset\ma_2\supset\cdots,preserve inclusion direction,包含方向を保持,Divisor/multiple chain statements
composition-series symbols,\mathfrak{M}_i/\mathfrak{M}_{i+1},preserve quotient factors,商因子を保持,Paper 30 §10
Jordan--Hölder comparison,factor lists and permutation index,preserve formula structure,式構造を保持,Paper 30 §10
