source_term,spanish,japanese,notes
abstrakter Aufbau,construcción abstracta,抽象的構成,Paper 30 title; avoid over-modernizing as axiomatization
algebraische Zahl- und Funktionenkörper,cuerpos algebraicos de números y de funciones,代数的数体および関数体,Title and opening context
Teilerkettensatz,condición de cadena de divisores,約イデアル鎖条件,Descending/chain condition on divisor ideals in P30 language
Teilerkettenbedingung,condición de cadena de divisores,約イデアル鎖条件,Same policy as Teilerkettensatz
Vielfachenkettensatz,condición de cadena de múltiplos,倍イデアル鎖条件,Ascending/multiple-chain side of P30
Vielfachenkettenbedingung,condición de cadena de múltiplos,倍イデアル鎖条件,Same policy as Vielfachenkettensatz
Doppelkettensatz,doble condición de cadena,二重鎖条件,Combined divisor/multiple chain condition
Einheitsideal,ideal unitario,単位イデアル,Keep distinct from Einselement
Einselement,elemento identidad,単位元,Multiplicative identity element
Primärideal,ideal primario,準素イデアル,Consistent with Paper 24/25 primary decomposition
größter Primärkomponent,máximo componente primario,最大準素成分,Section 7 component language
teilerfremd,coprimo,互いに素,Symmetric coprimality
prim zu,primo respecto de,に対して素,Directional primality relative to an ideal/domain
Idealquotient,cociente de ideales,イデアル商,Colon quotient notation preserved
Modulquotient,cociente de módulos,加群商,Module quotient context
gebrochenes Ideal,ideal fraccionario,分数イデアル,Paper 30 §8
Kompositionsreihe,serie de composición,組成列,Paper 30 §10
Jordan-Hölderscher Satz,teorema de Jordan--Hölder,Jordan--Hölder の定理,Paper 30 §10
Isomorphie von Moduln,isomorfía de módulos,加群の同型,Keep module and ring isomorphism apart
Restklassen,clases de residuos,剰余類,Consistent with Papers 24--29
