review_id,record_revision,supersedes,review_class,source_locator,target_locator,evidence_count,status,decision,errors,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,continuation_cursor,review_state,closure_id,caveat
SGA2-V-CUM-IND-REV-001,1,,authority_hashes,corrected French TeX; compiled French PDF; jcreinhold e7a259f comparison,AUTHORITY_ARTIFACT_HASHES.csv,3,pass,all authority/comparison bytes and SHA-256 exact,none,1770-2136,60-71,55-63 body; 52-54 context only,47-55 body; 44-46 context only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,READY_FOR_ARCHIVE_OWNER_HANDOFF_OWNER_RELEASE_DECISION_PENDING,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,jcreinhold remains comparison-only
SGA2-V-CUM-IND-REV-002,1,,sealed_component_artifacts,14 working units,COMPONENT_UNIT_INTEGRATION.csv,42,pass,"all 14 TeX, 14 PDF, and 14 review-seal hashes exact",none,1770-2136,60-71,55-63 body; 52-54 context only,47-55 body; 44-46 context only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,READY_FOR_ARCHIVE_OWNER_HANDOFF_OWNER_RELEASE_DECISION_PENDING,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,sealed component files were not modified
SGA2-V-CUM-IND-REV-003,1,,cumulative_segment_identity,14 sealed mathematical bodies,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:component target line spans,14,pass,all cumulative segment hashes exact and in source order,none,1770-2136,60-71,55-63 body; 52-54 context only,47-55 body; 44-46 context only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,READY_FOR_ARCHIVE_OWNER_HANDOFF_OWNER_RELEASE_DECISION_PENDING,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,unit wrappers intentionally omitted
SGA2-V-CUM-IND-REV-004,1,,two_pass_build,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex,BUILD_PASS1_SANITIZED.log; BUILD_PASS2_SANITIZED.log; LATEX_FINAL_SANITIZED.log,3,pass,two successful passes; only pass-two warning is moved margin note page 6,none,1770-2136,60-71,55-63 body; 52-54 context only,47-55 body; 44-46 context only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,READY_FOR_ARCHIVE_OWNER_HANDOFF_OWNER_RELEASE_DECISION_PENDING,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,warning independently visually adjudicated
SGA2-V-CUM-IND-REV-005,1,,pdf_structure,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.pdf,9,pass,nine A4 pages; descriptive document information present,none,1770-2136,60-71,55-63 body; 52-54 context only,47-55 body; 44-46 context only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,READY_FOR_ARCHIVE_OWNER_HANDOFF_OWNER_RELEASE_DECISION_PENDING,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,no XMP metadata stream; PDF not tagged
SGA2-V-CUM-IND-REV-006,1,,font_embedding,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.pdf,build_evidence/PDFFONTS.txt,30,pass,"all reported fonts embedded, subset, and Unicode mapped",none,1770-2136,60-71,55-63 body; 52-54 context only,47-55 body; 44-46 context only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,READY_FOR_ARCHIVE_OWNER_HANDOFF_OWNER_RELEASE_DECISION_PENDING,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,none
SGA2-V-CUM-IND-REV-007,1,,target_render_visual_qa,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.pdf,render_qa/target_pages/target-1.png through target-9.png,9,pass,"all final pages visually inspected with no clipping, overlap, blank page, missing glyph, or broken diagram",none,1770-2136,60-71,55-63 body; 52-54 context only,47-55 body; 44-46 context only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,READY_FOR_ARCHIVE_OWNER_HANDOFF_OWNER_RELEASE_DECISION_PENDING,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,page 6 margin markers visible and unclipped
SGA2-V-CUM-IND-REV-008,1,,source_body_render_qa,compiled French PDF physical pages 55-63,render_qa/source_pages/source-physical-055.png through source-physical-063.png,9,pass,all body source renders inspected,none,1770-2136,60-71,55-63 body; 52-54 context only,47-55 body; 44-46 context only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,READY_FOR_ARCHIVE_OWNER_HANDOFF_OWNER_RELEASE_DECISION_PENDING,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,local-only underlying-source controls
SGA2-V-CUM-IND-REV-009,1,,source_context_render_qa,compiled French PDF physical pages 52-54,render_qa/source_pages/source-physical-052.png through source-physical-054.png,3,pass,context renders inspected and excluded from body scope,none,1770-2136,60-71,55-63 body; 52-54 context only,47-55 body; 44-46 context only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,READY_FOR_ARCHIVE_OWNER_HANDOFF_OWNER_RELEASE_DECISION_PENDING,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,Expose IV predecessor context only
SGA2-V-CUM-IND-REV-010,1,,critical_formula_source_comparison,"French lines 1770-2136; opening, Theorems 2.1/3.1, Proposition 3.5, Corollary 3.6",SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex,6,pass,critical notation/formula/note/structure controls retained; no cumulative-body correction required,none,1770-2136,60-71,55-63 body; 52-54 context only,47-55 body; 44-46 context only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,READY_FOR_ARCHIVE_OWNER_HANDOFF_OWNER_RELEASE_DECISION_PENDING,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,bounded unit seals remain the full source-review evidence
SGA2-V-CUM-IND-REV-011,1,,six_csv_machine_validation,six cumulative CSV ledgers,ledgers/*.csv,568,pass,"UTF-8/no-BOM, rectangularity, primary-ID uniqueness, formula safety",none,1770-2136,60-71,55-63 body; 52-54 context only,47-55 body; 44-46 context only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,READY_FOR_ARCHIVE_OWNER_HANDOFF_OWNER_RELEASE_DECISION_PENDING,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,independent review ledger counted separately
