decision_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,source_term_or_delta,chosen_english_or_action,normalization_class,beneficial_convention,adverse_delta,rejected_alternative,rationale,decision,status,confidence,cross_references,continuation_cursor,review_state,closure_id
SGA2-V-CUM-TERM-0001,1,,SGA2-V-C01,SGA2-VOPEN-TERM-001,terminology,corrected_french_tex,1770-1812,60-62,55-56,47-48,French line1770,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX line23,dualite locale,local duality,standard_mathematical_english,,none,local dualism,established duality terminology,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0002,1,,SGA2-V-C01,SGA2-VOPEN-TERM-002,terminology,corrected_french_tex,1770-1812,60-62,55-56,47-48,French line1774,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX line25,complexes d'homomorphismes,complexes of homomorphisms,source_title_preservation,,none,Hom complexes without definition,preserves section title and introduces the graded object explicitly,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0003,1,,SGA2-V-C01,SGA2-VOPEN-TERM-003,terminology,corrected_french_tex,1770-1812,60-62,55-56,47-48,French lines1777-1780,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX lines29-34,module gradue,graded module,standard_homological_algebra,,none,graduated module,standard English term,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0004,1,,SGA2-V-C01,SGA2-VOPEN-TERM-004,terminology,corrected_french_tex,1770-1812,60-62,55-56,47-48,French line1783,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX lines40-42,differentielle,differential,standard_homological_algebra,,none,derivative,source concerns complexes,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0005,1,,SGA2-V-C01,SGA2-VOPEN-TERM-005,terminology_and_symbol,corrected_french_tex_plus_direct_compiled_pdf,1770-1812,60-62,55-56,47-48,French lines1789-1791,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX lines57-62,partial-foncteur exact,exact partial-functor,source_symbol_preservation,,source distinguishes it from the following delta-functor,exact delta-functor,retain source variance label rather than normalize both claims together,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0006,1,,SGA2-V-C01,SGA2-VOPEN-TERM-006,terminology_and_symbol,corrected_french_tex_plus_direct_compiled_pdf,1770-1812,60-62,55-56,47-48,French lines1791-1793,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX lines62-68,delta-foncteur exact,exact delta-functor,standard_derived_functor_language,,none,derived functor,retains the precise source assertion,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0007,1,,SGA2-V-C01,SGA2-VOPEN-TERM-007,terminology,corrected_french_tex,1770-1812,60-62,55-56,47-48,French lines1799-1802,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX lines79-86,resolution injective,injective resolution,standard_homological_algebra,,none,injective presentation,standard English term,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0008,1,,SGA2-V-C01,SGA2-VOPEN-TERM-008,terminology,corrected_french_tex,1770-1812,60-62,55-56,47-48,French line1802,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX line86,augmentation canonique,canonical augmentation,standard_resolution_language,,none,canonical inclusion,standard resolution terminology,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0009,1,,SGA2-V-C01,SGA2-VOPEN-TERM-009,terminology,corrected_french_tex,1770-1812,60-62,55-56,47-48,French line1796,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX lines74-75,homotopes a zero,homotopic to zero,standard_homotopical_english,,none,homomorphic to zero,exact homotopical claim,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0010,1,,SGA2-V-C01,SGA2-VOPEN-TERM-010,symbol_normalization,corrected_french_tex_plus_direct_compiled_pdf,1770-1812,60-62,55-56,47-48,French lines1787 1800 1811,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX lines54-55 83-84 105-106,under-tilded H,reproduce the under-tilded H symbol,source_symbol_preservation,,candidate flattens the symbol,ordinary H,the authority defines a distinct under-tilded cohomology symbol,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
