comparison_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,object_type,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,critical_controls,external_candidate_delta,decision,result,status,confidence,adverse_or_choice,rejected_alternative,continuation_cursor,review_state,closure_id
SGA2-V-CUM-CMP-0001,1,,SGA2-V-C01,SGA2-VOPEN-CMP-001,source_symbol_structure,corrected_french_tex_plus_direct_compiled_pdf,chapter_heading_symbol,1770,60,55-56,47-48,French line1770; printed61; physical55,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: Expose V chapter heading,superscript i and argument M,none,retain H^i(M) without inventing a cohomology theory,pass,production_comparison_passed_independent_review_pending,high,none,expand the symbol speculatively,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0002,1,,SGA2-V-C01,SGA2-VOPEN-CMP-002,source_formula_structure,corrected_french_tex_plus_direct_compiled_pdf,formula_1,1777-1779,61,55-56,47-48,French lines1777-1779; printed61; physical55,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: tag (1),Hom operator bullet degrees and both arguments,candidate uses Markdown bullet surrogate,retain semantic TeX and graded Hom notation,pass,production_comparison_passed_independent_review_pending,high,candidate uses Markdown bullet surrogate,copy candidate fenced text,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0003,1,,SGA2-V-C01,SGA2-VOPEN-CMP-003,source_formula_structure,corrected_french_tex_plus_direct_compiled_pdf,formula_2,1780-1782,61,55-56,47-48,French lines1780-1782; printed61; physical55,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: tag (2),degree s product over k source degree k target degree k+s,candidate plain-text subscripts could flatten superscripts,preserve product and superscript grading,pass,production_comparison_passed_independent_review_pending,high,candidate plain-text subscripts could flatten superscripts,inherit Unicode layout,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0004,1,,SGA2-V-C01,SGA2-VOPEN-CMP-004,source_note_structure,corrected_french_tex_plus_direct_compiled_pdf,editor_note_sign_convention,1783,61,55-56,47-48,French line1783 note; printed61; physical55,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: Editor's note attached to differential definition,original convention differs; Expose VIII compatibility; degree-zero homotopy classes; following calculations modified,note controls downstream formulas,translate the full editor note,pass,production_comparison_passed_independent_review_pending,high,note controls downstream formulas,omit as editorial apparatus,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0005,1,,SGA2-V-C01,SGA2-VOPEN-CMP-005,source_formula_branch,corrected_french_tex_plus_direct_compiled_pdf,formula_3,1783-1785,61,55-56,47-48,French lines1783-1785; printed61; physical55,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: tag (3),d(h)=h o d_1 + (-1)^(s+1) d_2 o h; composition order,original branch exponent is s,select corrected exponent s+1,pass,production_comparison_passed_independent_review_pending,high,original branch exponent is s,retain original exponent s,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0006,1,,SGA2-V-C01,SGA2-VOPEN-CMP-006,source_formula_symbol,corrected_french_tex_plus_direct_compiled_pdf,formula_4_and_complex_condition,1786-1788,61,55-56,47-48,French lines1786-1788; printed61; physical55,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: d squared condition and tag (4),d o d=0; under-tilded H bullet; both graded arguments,candidate flattens symbol to ordinary H,reproduce authority under-tilded H macro,pass,production_comparison_passed_independent_review_pending,high,candidate flattens symbol to ordinary H,use ordinary H,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0007,1,,SGA2-V-C01,SGA2-VOPEN-CMP-007,source_symbol_structure,corrected_french_tex_plus_direct_compiled_pdf,partial_functor_assertion,1789-1791,61,55-56,47-48,French lines1789-1791; printed61; physical55,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: first displayed functor map and exactness sentence,F variable; G degreewise injective; exact partial-functor,none,preserve partial label and exactness,pass,production_comparison_passed_independent_review_pending,high,none,rename as delta-functor,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0008,1,,SGA2-V-C01,SGA2-VOPEN-CMP-008,source_symbol_structure,corrected_french_tex_plus_direct_compiled_pdf,delta_functor_assertion,1791-1793,61,55-56,47-48,French lines1791-1793; printed61; physical55,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: second displayed functor map and exactness sentence,G variable; F arbitrary; category of degreewise-injective G complexes; exact delta-functor,none,preserve delta label hypothesis and category,pass,production_comparison_passed_independent_review_pending,high,none,merge with the contravariant assertion,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0009,1,,SGA2-V-C01,SGA2-VOPEN-CMP-009,source_note_structure,corrected_french_tex_plus_direct_compiled_pdf,remark_1_2,1795-1797,61,55-56,47-48,French lines1795-1797; printed61-62; physical55-56,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: Remark 1.2,cycles commute or anticommute by degree; boundaries homotopic to zero,remark crosses direct page transition,retain both cycle and boundary characterizations,pass,production_comparison_passed_independent_review_pending,high,remark crosses direct page transition,truncate at physical page55,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0010,1,,SGA2-V-C01,SGA2-VOPEN-CMP-010,source_formula_structure,corrected_french_tex_plus_direct_compiled_pdf,canonical_isomorphism_1_3,1799-1801,62,55-56,47-48,French lines1799-1801; printed62; physical56,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: tag (1.3),under-tilded H degree s resolutions R(M) R(N); Ext degree s arguments M N; canonicality,none,preserve all arguments and nonsequential tag,pass,production_comparison_passed_independent_review_pending,high,none,renumber sequentially,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0011,1,,SGA2-V-C01,SGA2-VOPEN-CMP-011,source_note_structure,corrected_french_tex_plus_direct_compiled_pdf,editor_note_numbering,1799,62,55-56,47-48,French line1799 note; printed62; physical56,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: Editor's note at canonical isomorphism,strange original numbering preserved,visible numbering intentionally nonsequential,translate note and retain tag (1.3),pass,production_comparison_passed_independent_review_pending,high,visible numbering intentionally nonsequential,silently normalize numbering,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0012,1,,SGA2-V-C01,SGA2-VOPEN-CMP-012,source_formula_symbol,corrected_french_tex_plus_direct_compiled_pdf,t_s_component_map,1802-1804,62,55-56,47-48,French lines1802-1804; printed62; physical56,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: h map and domain-codomain sentence,canonical augmentation i; source subscript h_0; codomain R(N)^s,candidate changes h_0 to h^0,retain h_0 subscript exactly,pass,production_comparison_passed_independent_review_pending,high,candidate changes h_0 to h^0,adopt candidate superscript h^0,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
