alignment_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,review_state,closure_id
SGA2-V-CUM-ALN-0001,1,,SGA2-V-C01,SGA2-VOPEN-ALN-001,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1770-1812,60-62,55-56,47-48,corrected French TeX lines 1770-1812,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: complete target body after authority box,complete,cover every heading sentence formula and note through line1812 and exclude line1814 onward,production_draft_gate_closed_independent_review_pending,high,none,stop at formula (1.3) only,OUTBOUND:SGA2-VIII|OUTBOUND:SGA2-V-LINE1814,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0002,1,,SGA2-V-C01,SGA2-VOPEN-ALN-002,source_alignment_coverage,corrected_french_tex,1770-1776,60,55-56,47-48,corrected French TeX lines 1770-1776,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: Expose V heading; section 1; subsection 1.1,complete,preserve chapter section and subsection hierarchy,production_source_comparison_passed_independent_review_pending,high,none,flatten headings into prose,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0003,1,,SGA2-V-C01,SGA2-VOPEN-ALN-003,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1777-1782,61,55-56,47-48,corrected French TeX lines 1777-1782,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: graded Hom prose and formulas (1)-(2),complete,retain graded object definition product index and shifted degree,production_formula_comparison_passed_independent_review_pending,high,none,candidate fenced-text formulas as authority,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0004,1,,SGA2-V-C01,SGA2-VOPEN-ALN-004,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1783-1788,61,55-56,47-48,corrected French TeX lines 1783-1788,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: differential paragraph editor note and formulas (3)-(4),complete,select corrected exponent s+1 and preserve under-tilded H,production_formula_note_comparison_passed_independent_review_pending,high,original branch has exponent s,promote original sign convention,OUTBOUND:SGA2-VIII,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0005,1,,SGA2-V-C01,SGA2-VOPEN-ALN-005,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1789-1793,61,55-56,47-48,corrected French TeX lines 1789-1793,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: two displayed functor maps and exactness prose,complete,retain distinct partial and delta labels and the degreewise-injective category,production_symbol_structure_comparison_passed_independent_review_pending,high,none,merge the two functor claims,SGA2-VOPEN-DIFF,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0006,1,,SGA2-V-C01,SGA2-VOPEN-ALN-006,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1795-1797,61,55-56,47-48,corrected French TeX lines 1795-1797,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: Remark 1.2,complete,retain commute or anticommute parity and homotopy-to-zero claim,production_source_comparison_passed_independent_review_pending,high,remark crosses direct page transition,assign remark wholly to one inferred page,SGA2-VOPEN-DIFF,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0007,1,,SGA2-V-C01,SGA2-VOPEN-ALN-007,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1799-1801,62,55-56,47-48,corrected French TeX lines 1799-1801,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: canonical isomorphism sentence note and formula (1.3),complete,retain canonicality Ext degree and strange original numbering,production_formula_note_comparison_passed_independent_review_pending,high,nonsequential formula number retained by editor,renumber as formula (5),,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0008,1,,SGA2-V-C01,SGA2-VOPEN-ALN-008,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1802-1808,62,55-56,47-48,corrected French TeX lines 1802-1808,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: canonical augmentation h_0 map t_s family M[0] note and chain-map identity,complete,retain source subscript h_0 and both corrected sign suppressions,production_formula_note_comparison_passed_independent_review_pending,high,candidate changes h_0 to h^0; original branches contain two obsolete signs,adopt candidate superscript or original sign factors,SGA2-VOPEN-DIFF|SGA2-VOPEN-ISO-1-3,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0009,1,,SGA2-V-C01,SGA2-VOPEN-ALN-009,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1809-1812,62,55-56,47-48,corrected French TeX lines 1809-1812,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: final cohomology display and resolution-independence sentence,complete,retain induced isomorphism under-tilded H and source quotation marks,production_formula_structure_comparison_passed_independent_review_pending,high,none,convert isomorphism-level independence into literal equality,SGA2-VOPEN-ISO-1-3|SGA2-VOPEN-TS,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0010,1,,SGA2-V-C01,SGA2-VOPEN-ALIGN-010,independent_source_alignment_review,corrected_french_tex_plus_direct_compiled_pdf_independently_audited,1770-1812,60-62,55-56,47-48,corrected French TeX lines 1770-1812,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: complete TeX body plus review-state banner and independent review receipt,complete_independent_review_pass,accept every source-aligned sentence formula note heading and locator; revise only stale review-state wording,bounded_independent_review_passed_not_cumulative_not_release_ready,high,no English mathematical-body delta; review-state banner only,manufacture stylistic changes or retain an independent-review-pending banner after the review passed,SGA2-VOPEN-DIFF;SGA2-VOPEN-FUNCTORS;SGA2-VOPEN-REM-1-2;SGA2-VOPEN-ISO-1-3;SGA2-VOPEN-TS;SGA2-VOPEN-INDEP,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
