component_id,record_revision,supersedes,source_unit_id,scope,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,original_tex_safe_locator,original_tex_bytes,original_tex_sha256,original_pdf_safe_locator,original_pdf_bytes,original_pdf_sha256,independent_seal_safe_locator,independent_seal_bytes,independent_seal_sha256,extracted_body_sha256,cumulative_target_locator,integration_status,status,review_state,continuation_cursor,closure_id
SGA2-V-C01,1,,unit_V_1_1_1_3_opening,Opening; 1.1--1.3,1770-1812,60-62,55-56,47-48,working/unit_V_1_1_1_3_opening/SGA2_Expose_V_Opening_1_1_through_1_3_English_SourceAligned.tex,4593,FF5D9A44FF5BFCDF0B8EC6BE07F7600C40C3B61DC66E1087C23C693A8486B77A,working/unit_V_1_1_1_3_opening/SGA2_Expose_V_Opening_1_1_through_1_3_English_SourceAligned.pdf,275623,A479AB06492B714064ABE9236C1609AB913A7534868DA5D25A3575E0F7430580,working/unit_V_1_1_1_3_opening/INDEPENDENT_REVIEW_SEAL_20260718.md,4620,C2799AC5E3617AFC2E1EBA56DCC78DC7242F35B6AAB3900F2C6903570CE8DCF7,AF49C449684EDC81E15F8AB4C8E89278C163B134F764AEE63D65F6D39C6E3EFB,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200,assembled verbatim mathematical segment; unit wrappers omitted; independent package audit pending,assembled_pending_independent_package_audit,independently sealed bounded source unit,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-C02,1,,unit_V_1_4_1_5_section_completion,1.4--1.5,1814-1870,62-64,56-57,48-49,working/unit_V_1_4_1_5_section_completion/SGA2_Expose_V_Section_1_Completion_English_SourceAligned.tex,4892,B4A6E4C0AF22959D8C70C0D0B977D524C84939BE24CAD21BDFF4E7860DAF150C,working/unit_V_1_4_1_5_section_completion/SGA2_Expose_V_Section_1_Completion_English_SourceAligned.pdf,268463,A2341D35F82C91D264C2B1A95188EFF1DF0D05EE3EF3D9332684F3C5B3BBFD39,working/unit_V_1_4_1_5_section_completion/INDEPENDENT_REVIEW_SEAL_20260718.md,5581,47D02CF7FF7F0D64E58101F5B29C2C6EA85EE00F1B9D5F4BF9F0C75F40BF354F,124127B2B9440B69A8D787DE5ACCADB39C8A99E098E794BC5B8FB96F0702F25B,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302,assembled verbatim mathematical segment; unit wrappers omitted; independent package audit pending,assembled_pending_independent_package_audit,independently sealed bounded source unit,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-C03,1,,unit_V_2_local_duality_theorem,Section 2; Theorem 2.1,1872-1894,64-65,58,50,working/unit_V_2_local_duality_theorem/SGA2_Expose_V_Section_2_Local_Duality_English_SourceAligned.tex,3304,83425C3BFA2C8B3CF43A866ECF7DDF2D08272FC66F56C4A4EDFC1637D4D5AF38,working/unit_V_2_local_duality_theorem/SGA2_Expose_V_Section_2_Local_Duality_English_SourceAligned.pdf,203938,6CA56500BA3E86AB96F13A1476EDC74868EC589A574130CB6AED9EFF93A35EA9,working/unit_V_2_local_duality_theorem/INDEPENDENT_REVIEW_SEAL_20260718.md,2760,CC55AAA1621D30E671829EF5332FBAAA63331772B39197CEBA10E88619D5D419,41F5A91AF96E2D1659A52EEF1C86BE6D07B280206B165FD0A511D3612EBDDFD3,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357,assembled verbatim mathematical segment; unit wrappers omitted; independent package audit pending,assembled_pending_independent_package_audit,independently sealed bounded source unit,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-C04,1,,unit_V_3_1_opening_draft,Section 3; Theorem 3.1 opening,1896-1919,65-66,58-59,50-51,working/unit_V_3_1_opening_draft/SGA2_Expose_V_Section_3_Theorem_3_1_Opening_English_SourceAligned.tex,2402,6F22B7CD3849A75F11705520BF8976F3288C269AA6D8CEEE0DF0EE35AF1B0FCC,working/unit_V_3_1_opening_draft/SGA2_Expose_V_Section_3_Theorem_3_1_Opening_English_SourceAligned.pdf,194286,6C9F7D9F77B0FA875D2CD75035C7F13C2D47259E6453B2383760747FE9621DC6,working/unit_V_3_1_opening_draft/INDEPENDENT_REVIEW_SEAL_20260718.md,4630,E280CCC9E7D861378CE6ECC8C00EF8AC16899D13327B785BAD44697C204C5174,216960D8E0BFBD806B78A9674770D8448C27B9BF94327A2C18E69D5E625E40EA,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392,assembled verbatim mathematical segment; unit wrappers omitted; independent package audit pending,assembled_pending_independent_package_audit,independently sealed bounded source unit,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-C05,1,,unit_V_3_2_lemma_draft,Lemma 3.2,1921-1951,66-67,59,51,working/unit_V_3_2_lemma_draft/SGA2_Expose_V_Lemma_3_2_English_SourceAligned.tex,2996,C39F2CAC3061B7EE5CA5AEAE7F8C7D2CD9A7F2A02B3A395D67CDA966711D695E,working/unit_V_3_2_lemma_draft/SGA2_Expose_V_Lemma_3_2_English_SourceAligned.pdf,206451,8158B0489C0A6B544D7E8052C29365747B6E9F1B496A59C66B14F7155E045D56,working/unit_V_3_2_lemma_draft/INDEPENDENT_REVIEW_SEAL_20260718.md,3147,21AE86E4D832BD0FE62F0964BAC1B6571C6B9F791AD698C6F8E6ED0FD349E3D5,90DF9D54156893539223FB6592DD797746FEC3826A1B4FD6A90029419B268A71,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443,assembled verbatim mathematical segment; unit wrappers omitted; independent package audit pending,assembled_pending_independent_package_audit,independently sealed bounded source unit,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-C06,1,,unit_V_3_change_of_rings_reduction,Change-of-rings reduction,1953-1967,67,59-60,51-52,working/unit_V_3_change_of_rings_reduction/SGA2_Expose_V_Change_of_Rings_English_SourceAligned.tex,2441,8C61F4A5E4BEB356292A479545B8FD81E2E09BBF3959BABC6024B5F9D0A27600,working/unit_V_3_change_of_rings_reduction/SGA2_Expose_V_Change_of_Rings_English_SourceAligned.pdf,184417,678FB4E3C8CB8384A2C2860DD5E4FF2B59E452A2A6DEB063D96CB7A300F6CD93,working/unit_V_3_change_of_rings_reduction/INDEPENDENT_REVIEW_SEAL_20260718.md,1954,1B72138752D5B2FE79190ED2FDB06EA44E021D123B8C9CDEEEF3DE672785D627,500EBBA36B821543CCC1596D98F8EF3A8F337D60466675494CB2293C90573E92,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478,assembled verbatim mathematical segment; unit wrappers omitted; independent package audit pending,assembled_pending_independent_package_audit,independently sealed bounded source unit,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-C07,1,,unit_V_3_equivalence_conditions_a_c_draft,Equivalence (a)--(c),1969-1980,67-68,60,52,working/unit_V_3_equivalence_conditions_a_c_draft/SGA2_Expose_V_Equivalence_Conditions_English_SourceAligned.tex,2309,4508B58662206139D126EB7B9E5B0B4B8A7872AE2E4565105CA923D071BD0EC1,working/unit_V_3_equivalence_conditions_a_c_draft/SGA2_Expose_V_Equivalence_Conditions_English_SourceAligned.pdf,174144,17FE663093392C32139F1786123EB187049AE1D5F58144EC6C61BB685A0D3A3E,working/unit_V_3_equivalence_conditions_a_c_draft/INDEPENDENT_REVIEW_SEAL_20260718.md,3116,17B4BF0A4479FF40410D66E667F3299EF664229C4F4424A367FB7E2D526DF5AF,C1F44D9C0A5334A6627505659D19284724CEC9E8ECD5AA29A9E0F983A49AB98B,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 482-512,assembled verbatim mathematical segment; unit wrappers omitted; independent package audit pending,assembled_pending_independent_package_audit,independently sealed bounded source unit,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-C08,1,,unit_V_3_1_proof_items_i_ii_draft,Theorem 3.1 proof (i)--(ii),1982-1988,68,60,52,working/unit_V_3_1_proof_items_i_ii_draft/SGA2_Expose_V_Theorem_3_1_Proof_Items_i_ii_English_SourceAligned.tex,2013,E3AA7464CDFBDDEF1316A9773720488E6154218E76E4BD7B2E4CDF68A5BF5386,working/unit_V_3_1_proof_items_i_ii_draft/SGA2_Expose_V_Theorem_3_1_Proof_Items_i_ii_English_SourceAligned.pdf,180016,8B8DB9F81634F3FCC303C66C88F39D092AA3679EF50189E570CE3B9BB1323D8C,working/unit_V_3_1_proof_items_i_ii_draft/INDEPENDENT_REVIEW_SEAL_20260718.md,3381,8CEED6EBC2BB4DAD490F2D07A5A3BDDD65EBB6DB1DD55E98D70A98E06C1EE971,F291938758D28F2CE29B872B30FB864FA94937F34100EA4A8D3D368014316361,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 516-543,assembled verbatim mathematical segment; unit wrappers omitted; independent package audit pending,assembled_pending_independent_package_audit,independently sealed bounded source unit,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-C09,1,,unit_V_3_theorem31_proof_iii,"Theorem 3.1 proof (iii), opening",1990-2005,68-69,60,52,working/unit_V_3_theorem31_proof_iii/SGA2_Expose_V_Theorem_3_1_Proof_III_English_SourceAligned.tex,1807,124F71455F83386D942A337BE341D31C3E32B371CBE94CF8CF72E710A6C747C2,working/unit_V_3_theorem31_proof_iii/SGA2_Expose_V_Theorem_3_1_Proof_III_English_SourceAligned.pdf,176083,C9D88B2BC7D265D99E32D673E3B1A7F63555318C6D801BF6DE8B7D7032AD5E89,working/unit_V_3_theorem31_proof_iii/INDEPENDENT_REVIEW_SEAL_20260718.md,3184,A66D91C8349F73383073F47BC9C4812CF1720B0F20D6E82AF227C4482AC0740A,322AFCCE842FB6CB5E1C94D047D5441B331FE46E4F1DC32B25CBE1545C30179F,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 547-568,assembled verbatim mathematical segment; unit wrappers omitted; independent package audit pending,assembled_pending_independent_package_audit,independently sealed bounded source unit,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-C10,1,,unit_V_3_theorem31_item_iii_completion,"Theorem 3.1 proof (iii), completion",2007-2019,69,61,53,working/unit_V_3_theorem31_item_iii_completion/SGA2_Expose_V_Theorem_3_1_Item_III_Completion_English_SourceAligned.tex,2100,99C9559CF3C1F25593AFA131AB9316602A7F8F8BBED6376417D7EE9D46F7B348,working/unit_V_3_theorem31_item_iii_completion/SGA2_Expose_V_Theorem_3_1_Item_III_Completion_English_SourceAligned.pdf,146572,A1FD862C8B4ED430D1625A02179A4DB0D3CE2AE8DBE13F1895E3CF1E46FD3F2E,working/unit_V_3_theorem31_item_iii_completion/INDEPENDENT_REVIEW_SEAL_20260718.md,2239,E3FB5536EE3BF8EA56B69142C5ABC405A83DD8C49CB990FC15E4679620EF14EA,46A000B301ECCC5F3702402B37C35BCDBCDE74F90D47F14B356888A63C24E1FE,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 572-596,assembled verbatim mathematical segment; unit wrappers omitted; independent package audit pending,assembled_pending_independent_package_audit,independently sealed bounded source unit,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
