evidence_id,record_revision,supersedes,evidence_type,evidence_role,safe_relative_path,page_number,coordinate_system,source_or_target_scope,bytes,sha256,tool_or_method,status,review_state,public_payload_eligible,continuation_cursor,closure_id,caveat
SGA2-V-CUM-EVID-001,2,assembly_self_gate_snapshot:SGA2-V-CUM-EVID-001,rendered_page,target_reader_full_render_qa,render_qa/target_pages/target-1.png,1,target_pdf_page,target,309490,1AD43AC9E58C5159CDEDCC50FD02C252946554C8129793AD813409A56D3B8848,Poppler pdftoppm 180 dpi; full-resolution visual inspection; independently repeated/reverified 2026-07-19,rendered_and_independently_visually_passed,independent_package_audit_pass_20260719; archive_owner_release_decision_pending,yes_for_owner_handoff_release_decision_pending,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,"No clipping, overlap, missing glyph, or broken diagram observed."
SGA2-V-CUM-EVID-002,2,assembly_self_gate_snapshot:SGA2-V-CUM-EVID-002,rendered_page,target_reader_full_render_qa,render_qa/target_pages/target-2.png,2,target_pdf_page,target,250532,B6A1C61E3C31A81F2A2E7E5E122B2AB9B7A42402E57395F070F9B17D4CE11181,Poppler pdftoppm 180 dpi; full-resolution visual inspection; independently repeated/reverified 2026-07-19,rendered_and_independently_visually_passed,independent_package_audit_pass_20260719; archive_owner_release_decision_pending,yes_for_owner_handoff_release_decision_pending,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,"No clipping, overlap, missing glyph, or broken diagram observed."
SGA2-V-CUM-EVID-003,2,assembly_self_gate_snapshot:SGA2-V-CUM-EVID-003,rendered_page,target_reader_full_render_qa,render_qa/target_pages/target-3.png,3,target_pdf_page,target,371066,D9108D10495650130A204AFBEBF4FB9EEC1AA3CE28DB54D6C4247A7077C7E65B,Poppler pdftoppm 180 dpi; full-resolution visual inspection; independently repeated/reverified 2026-07-19,rendered_and_independently_visually_passed,independent_package_audit_pass_20260719; archive_owner_release_decision_pending,yes_for_owner_handoff_release_decision_pending,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,"No clipping, overlap, missing glyph, or broken diagram observed."
SGA2-V-CUM-EVID-004,2,assembly_self_gate_snapshot:SGA2-V-CUM-EVID-004,rendered_page,target_reader_full_render_qa,render_qa/target_pages/target-4.png,4,target_pdf_page,target,295357,88B9BC8F73EB6E8D95380C0E65398A47D7C96B06F4A3E6646CFE61669227E17D,Poppler pdftoppm 180 dpi; full-resolution visual inspection; independently repeated/reverified 2026-07-19,rendered_and_independently_visually_passed,independent_package_audit_pass_20260719; archive_owner_release_decision_pending,yes_for_owner_handoff_release_decision_pending,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,"No clipping, overlap, missing glyph, or broken diagram observed."
SGA2-V-CUM-EVID-005,2,assembly_self_gate_snapshot:SGA2-V-CUM-EVID-005,rendered_page,target_reader_full_render_qa,render_qa/target_pages/target-5.png,5,target_pdf_page,target,431846,0DB5BEC754419E588828B1A87FDF6FDB1FFC6C78BFB44EB0D0D1A032257B135A,Poppler pdftoppm 180 dpi; full-resolution visual inspection; independently repeated/reverified 2026-07-19,rendered_and_independently_visually_passed,independent_package_audit_pass_20260719; archive_owner_release_decision_pending,yes_for_owner_handoff_release_decision_pending,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,"No clipping, overlap, missing glyph, or broken diagram observed."
SGA2-V-CUM-EVID-006,2,assembly_self_gate_snapshot:SGA2-V-CUM-EVID-006,rendered_page,target_reader_full_render_qa,render_qa/target_pages/target-6.png,6,target_pdf_page,target,350325,A29EEE3E56264492CC5FA3477C71FBA5651C1836F1BA558FA13C7F1581909A9A,Poppler pdftoppm 180 dpi; full-resolution visual inspection; independently repeated/reverified 2026-07-19,rendered_and_independently_visually_passed,independent_package_audit_pass_20260719; archive_owner_release_decision_pending,yes_for_owner_handoff_release_decision_pending,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,The benign moved-marginpar warning was visually checked; both markers remain visible and unclipped.
SGA2-V-CUM-EVID-007,2,assembly_self_gate_snapshot:SGA2-V-CUM-EVID-007,rendered_page,target_reader_full_render_qa,render_qa/target_pages/target-7.png,7,target_pdf_page,target,354754,DEA1CE288B26B087449A8493130FD6945A6A688CDB30915F9F9CFF5B25C6F74C,Poppler pdftoppm 180 dpi; full-resolution visual inspection; independently repeated/reverified 2026-07-19,rendered_and_independently_visually_passed,independent_package_audit_pass_20260719; archive_owner_release_decision_pending,yes_for_owner_handoff_release_decision_pending,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,"No clipping, overlap, missing glyph, or broken diagram observed."
SGA2-V-CUM-EVID-008,2,assembly_self_gate_snapshot:SGA2-V-CUM-EVID-008,rendered_page,target_reader_full_render_qa,render_qa/target_pages/target-8.png,8,target_pdf_page,target,350680,641EE3EBF2E15D69CEB6CDCE81641BE98D0AC19FC71EF7F0AA050D01D37A829F,Poppler pdftoppm 180 dpi; full-resolution visual inspection; independently repeated/reverified 2026-07-19,rendered_and_independently_visually_passed,independent_package_audit_pass_20260719; archive_owner_release_decision_pending,yes_for_owner_handoff_release_decision_pending,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,"No clipping, overlap, missing glyph, or broken diagram observed."
SGA2-V-CUM-EVID-009,2,assembly_self_gate_snapshot:SGA2-V-CUM-EVID-009,rendered_page,target_reader_full_render_qa,render_qa/target_pages/target-9.png,9,target_pdf_page,target,334574,4E6AC50989EFBF0356C85D62E11CD481CF7B63318D29DFAB468BB94B7AA7182F,Poppler pdftoppm 180 dpi; full-resolution visual inspection; independently repeated/reverified 2026-07-19,rendered_and_independently_visually_passed,independent_package_audit_pass_20260719; archive_owner_release_decision_pending,yes_for_owner_handoff_release_decision_pending,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,"No clipping, overlap, missing glyph, or broken diagram observed."
SGA2-V-CUM-EVID-010,2,assembly_self_gate_snapshot:SGA2-V-CUM-EVID-010,rendered_source_control_page,predecessor_context_only,render_qa/source_pages/source-physical-052.png,52,one_based_physical_source_pdf_page,source_context; recomposed running page 44,339676,9D421FDD09F2625A30E857913DC5958CE8048BD2D1AE65987A3175187D8BDBA2,Poppler pdftoppm 180 dpi; direct source-page visual inspection; independently repeated/reverified 2026-07-19,rendered_and_independently_visually_passed,independent_package_audit_pass_20260719; archive_owner_release_decision_pending,no_local_source_control_only,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,SGA2-V-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,"Physical pages 52-54 / running pages 44-46 are Expose IV predecessor context, not Expose V body."
