person_id,target_id,display_name,role,volume,printed_page,pdf_page,review_status
illusie:person:luc-illusie,illusie:I:cover,Luc Illusie,author,I,cover,1,lead_reviewed
illusie:person:albrecht-dold,illusie:I:publisher-series,A. Dold,series editor,I,cover,1,lead_reviewed
illusie:person:beno-eckmann,illusie:I:publisher-series,B. Eckmann,series editor,I,cover,1,lead_reviewed
illusie:person:j-c-erdmann,ILL-CCD:LNM239:SUB:IC:CAT:V01,J. C. Erdmann,publisher catalogue author,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:k-hepp,ILL-CCD:LNM239:SUB:IC:CAT:V02,K. Hepp,publisher catalogue author,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:a-martin,ILL-CCD:LNM239:SUB:IC:CAT:V03,A. Martin,publisher catalogue author,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:g-ludwig,ILL-CCD:LNM239:SUB:IC:CAT:V04,G. Ludwig,publisher catalogue author,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:m-schaaf,ILL-CCD:LNM239:SUB:IC:CAT:V05,M. Schaaf,publisher catalogue author,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:v-bargmann,ILL-CCD:LNM239:SUB:IC:CAT:V06,V. Bargmann,publisher catalogue editor,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:r-balescu,ILL-CCD:LNM239:SUB:IC:CAT:V07,R. Balescu,publisher catalogue author,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:j-l-lebowitz,ILL-CCD:LNM239:SUB:IC:CAT:V07,J. L. Lebowitz,publisher catalogue author,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:i-prigogine,ILL-CCD:LNM239:SUB:IC:CAT:V07,I. Prigogine,publisher catalogue author,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:p-resibois,ILL-CCD:LNM239:SUB:IC:CAT:V07,P. Résibois,publisher catalogue author,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:z-w-salsburg,ILL-CCD:LNM239:SUB:IC:CAT:V07,Z. W. Salsburg,publisher catalogue author,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:m-holt,ILL-CCD:LNM239:SUB:IC:CAT:V08,M. Holt,publisher catalogue editor,I,inside-cover,2,lead_reviewed_source_form_only
illusie:person:andre,ILL-CCD:LNM239:INTRO:p011:p1,André,cited mathematician and cited prerequisite author,I,IX,11,lead_reviewed_source_form_only
illusie:person:quillen,ILL-CCD:LNM239:INTRO:p011:p1,Quillen,cited mathematician and prerequisite author and acknowledged interlocutor,I,IX,11,lead_reviewed_source_form_only
illusie:person:grothendieck,ILL-CCD:LNM239:INTRO:p011:n1,A. Grothendieck,cited mathematician and prerequisite author and author-note subject and acknowledged adviser,I,IX,11,lead_reviewed_source_form_only
illusie:person:messing,ILL-CCD:LNM239:INTRO:p011:n2,W. Messing,cited mathematician and author-note subject,I,IX,11,lead_reviewed_source_form_only
illusie:person:whitehead,ILL-CCD:LNM239:INTRO:p011:p3,Whitehead,eponymous theorem and cited mathematician,I,IX,11,lead_reviewed_source_form_only
illusie:person:verdier,ILL-CCD:LNM239:INTRO:p011:p3,Verdier,cited mathematician and named source of derived-category formalism and acknowledged interlocutor,I,IX,11,lead_reviewed_source_form_only
illusie:person:barsotti,ILL-CCD:LNM239:INTRO:p011:p1,Barsotti,eponym in Barsotti-Tate groups,I,IX,11,lead_reviewed_source_form_only
illusie:person:tate,ILL-CCD:LNM239:INTRO:p011:p1,Tate,eponym in Barsotti-Tate groups,I,IX,11,lead_reviewed_source_form_only
illusie:person:kodaira,ILL-CCD:LNM239:INTRO:p012:p2,Kodaira,eponym in Kodaira-Spencer invariant,I,X,12,lead_reviewed_source_form_only
illusie:person:spencer,ILL-CCD:LNM239:INTRO:p012:p2,Spencer,eponym in Kodaira-Spencer invariant,I,X,12,lead_reviewed_source_form_only
illusie:person:chern,ILL-CCD:LNM239:INTRO:p013:p1,Chern,eponym in Chern classes,I,XI,13,lead_reviewed_source_form_only
illusie:person:deligne,ILL-CCD:LNM239:INTRO:p013:p2,Deligne,cited mathematician and named convention source and acknowledged adviser,I,XI,13,lead_reviewed_source_form_only
illusie:person:saint-donat,ILL-CCD:LNM239:INTRO:p013:p2,Saint-Donat,cited mathematician,I,XI,13,lead_reviewed_source_form_only
illusie:person:eilenberg,ILL-CCD:LNM239:INTRO:p013:p2,Eilenberg,eponym in Eilenberg-Mac-Lane spectra,I,XI,13,lead_reviewed_source_form_only
illusie:person:mac-lane,ILL-CCD:LNM239:INTRO:p013:p2,Mac-Lane,cited mathematician and eponym and author-note subject,I,XI,13,lead_reviewed_source_form_only
illusie:person:breen,ILL-CCD:LNM239:INTRO:p013:p2,L. Breen,cited mathematician and author-note subject and acknowledged interlocutor,I,XI,13,lead_reviewed_source_form_only
illusie:person:atiyah,ILL-CCD:LNM239:INTRO:p013:p3,M. F. Atiyah,cited mathematician and author-note subject,I,XI,13,lead_reviewed_source_form_only
illusie:person:demazure,ILL-CCD:LNM239:INTRO:p014:p1,Demazure,cited mathematician and acknowledged thesis-jury member,I,XII,14,lead_reviewed_source_form_only
illusie:person:giraud,ILL-CCD:LNM239:INTRO:p014:p1,J. Giraud,cited mathematician correspondence recipient and cited author,I,XII;5,14;23,lead_reviewed
illusie:person:lie,ILL-CCD:LNM239:INTRO:p014:p1,Lie,eponym in Lie algebra and Lie complex,I,XII,14,lead_reviewed_source_form_only
illusie:person:mazur,ILL-CCD:LNM239:INTRO:p014:p1,B. Mazur,cited mathematician and author-note author,I,XII,14,lead_reviewed_source_form_only
illusie:person:roberts,ILL-CCD:LNM239:INTRO:p014:p1,L. Roberts,cited mathematician and author-note author,I,XII,14,lead_reviewed_source_form_only
illusie:person:berthelot,ILL-CCD:LNM239:INTRO:p014:n8,P. Berthelot,author-note author,I,XII,14,lead_reviewed_source_form_only
illusie:person:de-rham,ILL-CCD:LNM239:INTRO:p014:p2,de Rham,eponym in de Rham complex,I,XII,14,lead_reviewed_source_form_only
illusie:person:henri-cartan,ILL-CCD:LNM239:INTRO:p015:p2,Henri Cartan,acknowledged research mentor and thesis-jury president,I,XIII,15,lead_reviewed_source_form_only
illusie:person:jean-pierre-serre,ILL-CCD:LNM239:INTRO:p015:p2,Jean-Pierre Serre,acknowledged proposer of second subject,I,XIII,15,lead_reviewed_source_form_only
illusie:person:madame-michon,ILL-CCD:LNM239:INTRO:p015:p3,Madame Michon,acknowledged manuscript preparer,I,XIII,15,lead_reviewed_source_form_only
