formula_id,target_id,volume,source_number,printed_page,pdf_page,fr_tex_path,fr_locator,en_tex_path,en_locator,review_status
ILL-FRM-239-0001,ILL-CCD:LNM239:CH1:S1:1:d1,I,unnumbered,1,19,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:s1:1:d1,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:s1:1:d1,lead_reviewed_7000dpi
ILL-FRM-239-0002,ILL-CCD:LNM239:CH1:S1:1:d2,I,unnumbered,1,19,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:s1:1:d2,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:s1:1:d2,lead_reviewed_7000dpi
ILL-FRM-239-0003,ILL-CCD:LNM239:CH1:S1:1:eq1,I,1.1.1,1,19,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:s1:1:eq1,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:s1:1:eq1,lead_reviewed
ILL-FRM-239-0004,ILL-CCD:LNM239:CH1:S1:1:eq2,I,1.1.2,2,20,tex/volume_I/fr_corrected/ch1/002_p002.tex,illusie:I:ch1:s1:1:eq2,tex/volume_I/en/ch1/002_p002.tex,illusie:I:ch1:s1:1:eq2,lead_reviewed_5000dpi
ILL-FRM-239-0005,ILL-CCD:LNM239:CH1:S1:1:d3,I,unnumbered,2,20,tex/volume_I/fr_corrected/ch1/002_p002.tex,illusie:I:ch1:s1:1:d3,tex/volume_I/en/ch1/002_p002.tex,illusie:I:ch1:s1:1:d3,lead_reviewed
ILL-FRM-239-0006,ILL-CCD:LNM239:CH1:S1:1:eq3,I,1.1.3,2,20,tex/volume_I/fr_corrected/ch1/002_p002.tex,illusie:I:ch1:s1:1:eq3,tex/volume_I/en/ch1/002_p002.tex,illusie:I:ch1:s1:1:eq3,lead_reviewed_5000dpi
ILL-FRM-239-0007,ILL-CCD:LNM239:CH1:S1:1:eq4,I,1.1.4,3,21,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:eq4,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:eq4,lead_reviewed_5000dpi
ILL-FRM-239-0008,ILL-CCD:LNM239:CH1:S1:1:d4,I,unnumbered,3,21,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:d4,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:d4,lead_reviewed_5000dpi_corrected_punctuation
ILL-FRM-239-0009,ILL-CCD:LNM239:CH1:S1:1:p8,I,1.1.5(ii),3,21,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:p8,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:p8,lead_reviewed_5000dpi
ILL-FRM-239-0010,ILL-CCD:LNM239:CH1:S1:1:eq5,I,1.1.5.1,4,22,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:s1:1:eq5,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:s1:1:eq5,lead_reviewed_5000dpi
ILL-FRM-239-0011,ILL-CCD:LNM239:CH1:S1:1:d7,I,unnumbered,4,22,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:s1:1:d7,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:s1:1:d7,lead_reviewed_5000dpi
ILL-FRM-239-0012,ILL-CCD:LNM239:CH1:S1:1:p14,I,1.1.6-relative-condition,4,22,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:s1:1:p14,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:s1:1:p14,lead_reviewed_5000dpi
ILL-FRM-239-0013,ILL-CCD:LNM239:CH1:S1:1:eq6,I,1.1.6.1,5,23,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:eq6,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:eq6,lead_reviewed_5000dpi
ILL-FRM-239-0014,ILL-CCD:LNM239:CH1:S1:1:d8,I,unnumbered,5,23,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:d8,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:d8,lead_reviewed_5000dpi
ILL-FRM-239-0015,ILL-CCD:LNM239:CH1:S1:1:eq7,I,1.1.6.2,5,23,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:eq7,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:eq7,lead_reviewed_5000dpi
