target_id,corpus,work,volume,kind,parent_id,source_number,visible_title,printed_page,pdf_page,coordinate_basis,fr_tex_path,fr_locator,en_tex_path,en_locator,authority_sha256,statement_status,provenance,review_status
illusie:corpus,illusie,cotangent-complex,I-II,corpus,,,Complexe cotangent et déformations I-II,,,semantic,,,,,multi-authority,n/a,Springer LNM 239 and 283,active
illusie:I:volume,illusie,cotangent-complex,I,volume,illusie:corpus,LNM239,Complexe Cotangent et Déformations I,,,semantic,,,,,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,n/a,Springer print scan,active
illusie:I:front,illusie,cotangent-complex,I,front_matter,illusie:I:volume,,Front matter,I-XV,3-17,pdf-physical,tex/volume_I/fr_diplomatic/front/000_cover.tex,front,tex/volume_I/en/front/000_cover.tex,front,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,in_progress,Springer print scan,active
illusie:I:cover,illusie,cotangent-complex,I,cover,illusie:I:volume,,Complexe Cotangent et Déformations I,cover,1,pdf-physical,tex/volume_I/fr_diplomatic/front/000_cover.tex,illusie:I:cover,tex/volume_I/en/front/000_cover.tex,illusie:I:cover,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Springer print scan,lead_reviewed
illusie:I:title,illusie,cotangent-complex,I,title,illusie:I:cover,,Complexe Cotangent et Déformations I,cover,1,pdf-physical,tex/volume_I/fr_diplomatic/front/000_cover.tex,title,tex/volume_I/en/front/000_cover.tex,title,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Springer print scan,lead_reviewed
illusie:I:publisher-series,illusie,cotangent-complex,I,publisher_matter,illusie:I:cover,LNM239,Lecture Notes in Mathematics,cover,1,pdf-physical,tex/volume_I/fr_diplomatic/front/000_cover.tex,series,tex/volume_I/en/front/000_cover.tex,series,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Springer print scan,lead_reviewed
illusie:II:volume,illusie,cotangent-complex,II,volume,illusie:corpus,LNM283,Complexe Cotangent et Déformations II,,,semantic,,,,,3ECAD82EBF13C74AC02CA452CF56FE1330BF5BF6F1CF00D2656AE7118AA44E13,n/a,Springer print scan,active
illusie:II:erratum,illusie,cotangent-complex,II,erratum,illusie:II:volume,p305,Errata,305,1,supplement-pdf-physical,,,,,D09B417BC9FCC37FB79C1E995D05B57E2AB0584292D8E66F0A9ADA85D1C2A697,untranscribed,official Springer erratum PDF,mapped
illusie:I:front:p002,illusie,cotangent-complex,I,publisher_matter,illusie:I:front,,Publisher series statement and Lecture Notes in Physics catalogue,inside-cover,2,pdf-physical,tex/volume_I/fr_diplomatic/front/001_publisher_series_statement.tex,illusie:I:front:p002,tex/volume_I/en/front/001_publisher_series_statement.tex,illusie:I:front:p002,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,"Springer print scan; direct 1100 and targeted 5500 dpi-equivalent review",lead_reviewed
illusie:I:front:p002:policy,illusie,cotangent-complex,I,publisher_statement,illusie:I:front:p002,,This series aims to report new developments in mathematical research and teaching,inside-cover,2,pdf-physical,tex/common/publisher_p002_text.tex,policy,tex/common/publisher_p002_text.tex,policy,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Springer print scan,lead_reviewed
illusie:I:front:p002:manuscripts,illusie,cotangent-complex,I,publisher_statement,illusie:I:front:p002,,Manuscripts,inside-cover,2,pdf-physical,tex/common/publisher_p002_text.tex,manuscripts,tex/common/publisher_p002_text.tex,manuscripts,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,"Springer print scan; ambiguous lines resolved at 5500 dpi-equivalent",lead_reviewed
illusie:I:front:p002:catalogue,illusie,cotangent-complex,I,publisher_catalogue,illusie:I:front:p002,,Lecture Notes in Physics — Bisher erschienen/Already published,inside-cover,2,pdf-physical,tex/common/publisher_p002_text.tex,catalogue,tex/common/publisher_p002_text.tex,catalogue,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Springer print scan,lead_reviewed
