id,parent,kind,no,fr,en,toc_physical,target_printed,target_physical,status
ILL-CCD:LNM239:INTRO,ILL-CCD:LNM239:VOL,introduction,,"Introduction","Introduction",7,IX,11,toc_and_body_verified
ILL-CCD:LNM239:PREREQ,ILL-CCD:LNM239:VOL,front_unit,,"Prerequisites. Leitfaden","Prerequisites. Guide",7,XV,17,toc_and_body_verified
ILL-CCD:LNM239:CONV,ILL-CCD:LNM239:VOL,front_unit,,"Conventions standard","Standard conventions",7,XV,17,toc_and_body_verified
ILL-CCD:LNM239:CH1,ILL-CCD:LNM239:VOL,chapter,I,"Algèbre homotopique relative","Relative homotopical algebra",7,1,19,toc_and_body_started
ILL-CCD:LNM239:CH1:S1,ILL-CCD:LNM239:CH1,section,1,"Rappels","Review",7,1,19,toc_and_body_started
ILL-CCD:LNM239:CH1:S1:1,ILL-CCD:LNM239:CH1:S1,subsection,1.1,"Objets simpliciaux, homotopies","Simplicial objects, homotopies",7,1,19,toc_and_body_started
ILL-CCD:LNM239:CH1:S1:2,ILL-CCD:LNM239:CH1:S1,subsection,1.2,"Le théorème d'Eilenberg-Zilber","The Eilenberg-Zilber theorem",7,6,24,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S1:3,ILL-CCD:LNM239:CH1:S1,subsection,1.3,"Le théorème de Dold-Puppe","The Dold-Puppe theorem",7,8,26,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S1:4,ILL-CCD:LNM239:CH1:S1,subsection,1.4,"Catégories localisées, calculs de fractions","Localized categories, calculi of fractions",7,11,29,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S1:5,ILL-CCD:LNM239:CH1:S1,subsection,1.5,"Résolutions simpliciales standard","Standard simplicial resolutions",7,17,35,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S2,ILL-CCD:LNM239:CH1,section,2,"Faisceaux d'homotopie d'un faisceau simplicial","Homotopy sheaves of a simplicial sheaf",7,20,38,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S2:1,ILL-CCD:LNM239:CH1:S2,subsection,2.1,"Définition des faisceaux d'homotopie, propriétés d'exactitude","Definition of homotopy sheaves, exactness properties",7,20,38,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S2:2,ILL-CCD:LNM239:CH1:S2,subsection,2.2,"Le théorème de Whitehead","The Whitehead theorem",7,25,43,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S2:3,ILL-CCD:LNM239:CH1:S2,subsection,2.3,"Catégorie dérivée des faisceaux simpliciaux","Derived category of simplicial sheaves",7,38,56,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S3,ILL-CCD:LNM239:CH1,section,3,"Anneaux et Modules simpliciaux","Simplicial rings and modules",7,55,73,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S3:1,ILL-CCD:LNM239:CH1:S3,subsection,3.1,"Généralités","Generalities",7,56,74,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S3:2,ILL-CCD:LNM239:CH1:S3,subsection,3.2,"Triangles distingués et Ext^i dans D.(A)","Distinguished triangles and Ext^i in D.(A)",7,63,81,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S3:3,ILL-CCD:LNM239:CH1:S3,subsection,3.3,"Produits tensoriels dérivés","Derived tensor products",7,82,100,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S4,ILL-CCD:LNM239:CH1,section,4,"Dérivés des puissances symétriques et extérieures","Derived symmetric and exterior powers",7,93,111,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S4:1,ILL-CCD:LNM239:CH1:S4,subsection,4.1,"Préliminaires sur D^-","Preliminaries on D^-",7,94,112,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S4:2,ILL-CCD:LNM239:CH1:S4,subsection,4.2,"Dérivé gauche d'un foncteur compatible aux limites inductives locales","Left derived functor of a functor compatible with local inductive limits",7,99,117,toc_verified_body_pending
ILL-CCD:LNM239:CH1:S4:3,ILL-CCD:LNM239:CH1:S4,subsection,4.3,"Suites exactes de Koszul et formules de décalage","Koszul exact sequences and shift formulas",7,107,125,toc_verified_body_pending
ILL-CCD:LNM239:CH2,ILL-CCD:LNM239:VOL,chapter,II,"Complexe cotangent : définition et premières propriétés","Cotangent complex: definition and first properties",8,114,132,toc_verified_body_pending
ILL-CCD:LNM239:CH2:S1,ILL-CCD:LNM239:CH2,section,1,"Définition du complexe cotangent","Definition of the cotangent complex",8,114,132,toc_verified_body_pending
ILL-CCD:LNM239:CH2:S1:1,ILL-CCD:LNM239:CH2:S1,subsection,1.1,"Sorites sur les dérivations et les différentielles","A chain of results on derivations and differentials",8,114,132,toc_verified_body_pending
ILL-CCD:LNM239:CH2:S1:2,ILL-CCD:LNM239:CH2:S1,subsection,1.2,"Définition du complexe cotangent","Definition of the cotangent complex",8,120,138,toc_verified_body_pending
ILL-CCD:LNM239:CH2:S2,ILL-CCD:LNM239:CH2,section,2,"Premières propriétés","First properties",8,133,151,toc_verified_body_pending
ILL-CCD:LNM239:CH2:S2:1,ILL-CCD:LNM239:CH2:S2,subsection,2.1,"Triangle de transitivité","Transitivity triangle",8,133,151,toc_verified_body_pending
ILL-CCD:LNM239:CH2:S2:2,ILL-CCD:LNM239:CH2:S2,subsection,2.2,"Changement de base","Base change",8,138,156,toc_verified_body_pending
ILL-CCD:LNM239:CH2:S2:3,ILL-CCD:LNM239:CH2:S2,subsection,2.3,"Localisation","Localization",8,141,159,toc_verified_body_pending
ILL-CCD:LNM239:CH3,ILL-CCD:LNM239:VOL,chapter,III,"Complexe cotangent et extensions infinitésimales","Cotangent complex and infinitesimal extensions",8,151,169,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S1,ILL-CCD:LNM239:CH3,section,1,"Calcul du tronqué à l'ordre un du complexe cotangent","Computation of the truncation to order one of the cotangent complex",8,151,169,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S1:1,ILL-CCD:LNM239:CH3:S1,subsection,1.1,"Sorites sur les extensions d'Algèbres","A chain of results on algebra extensions",8,151,169,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S1:2,ILL-CCD:LNM239:CH3:S1,subsection,1.2,"Le théorème fondamental","The fundamental theorem",8,162,180,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S1:3,ILL-CCD:LNM239:CH3:S1,subsection,1.3,"Une deuxième démonstration du théorème fondamental","A second proof of the fundamental theorem",8,178,196,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S2,ILL-CCD:LNM239:CH3,section,2,"Déformations de topos annelés et de morphismes de topos annelés","Deformations of ringed topoi and morphisms of ringed topoi",8,184,202,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S2:1,ILL-CCD:LNM239:CH3:S2,subsection,2.1,"Déformations de topos annelés","Deformations of ringed topoi",8,184,202,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S2:2,ILL-CCD:LNM239:CH3:S2,subsection,2.2,"Déformations de morphismes de topos annelés","Deformations of morphisms of ringed topoi",8,195,213,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S2:3,ILL-CCD:LNM239:CH3:S2,subsection,2.3,"Compléments sur les déformations de morphismes","Complements on deformations of morphisms",8,199,217,toc_verified_body_pending
