map_id,volume,witness,physical_page_start,physical_page_end,printed_page_start,printed_page_end,source_unit,tex_path,status,notes
ILL-PMAP-I-001,I,pdf,1,1,cover,cover,front cover,tex/volume_I/fr_diplomatic/front/000_cover.tex,admitted,"first source-bearing page; direct 1100 dpi-equivalent review"
ILL-PMAP-I-002,I,pdf,2,2,inside-cover,inside-cover,publisher series statement,tex/volume_I/fr_diplomatic/front/001_publisher_series_statement.tex,admitted,"source-bearing English publisher matter; direct 1100 and targeted 5500 dpi-equivalent review; p2r10 PASS"
ILL-PMAP-I-003,I,pdf,3,5,I,III,title copyright dedication,tex/volume_I/fr_corrected/front/002_title.tex,admitted,"physical p.3 admitted as p3r3; p.4 as p4r2; p.5 dedication admitted after direct 1100 dpi-equivalent review and two-edition build"
ILL-PMAP-I-004,I,pdf,6,6,IV,IV,repository digitization insert over blank preliminary,tex/volume_I/fr_corrected/front/005_blank.tex,admitted,"Internet Archive insert preserved as source-only evidence; both editions retain the underlying intentional blank page"
ILL-PMAP-I-005,I,pdf,7,17,V,XV,table introduction prerequisites conventions,tex/volume_I/fr_corrected/front/006_toc.tex,partial,"physical pp.7-9 table of contents admitted as p9r3; p.10/Roman VIII blank admitted; pp.11-15/Roman IX-XIII Introduction admitted through p15r1 and complete; p.16/Roman XIV blank admitted as p16r1; p.17/Roman XV remains pending"
ILL-PMAP-I-006,I,pdf,18,18,unnumbered,unnumbered,blank verso,,mapped,
ILL-PMAP-I-007,I,pdf,19,131,1,113,Chapter I - Algebre homotopique relative,,mapped,
ILL-PMAP-I-008,I,pdf,132,168,114,150,Chapter II - Complexe cotangent - definition et premieres proprietes,,mapped,
ILL-PMAP-I-009,I,pdf,169,242,151,224,Chapter III - Complexe cotangent et extensions infinitesimales,,mapped,
ILL-PMAP-I-010,I,pdf,243,280,225,262,Chapter IV - Deformations de Modules,,mapped,
ILL-PMAP-I-011,I,pdf,281,360,263,342,Chapter V - Classes de Chern des complexes parfaits,,mapped,
ILL-PMAP-I-012,I,pdf,361,363,343,345,Bibliographie,,mapped,
ILL-PMAP-I-013,I,pdf,364,368,346,350,Index des notations,,mapped,
ILL-PMAP-I-014,I,pdf,369,373,351,355,Index terminologique,,mapped,
ILL-PMAP-I-015,I,pdf,374,376,356,358,blank terminal back-matter leaves,,mapped,"direct 300 dpi navigation review confirms blank leaves"
ILL-PMAP-I-016,I,pdf,377,379,unpaginated,unpaginated,Springer LNM catalogue,,mapped,
ILL-PMAP-I-017,I,pdf,380,380,back-cover,back-cover,back cover,,mapped,
ILL-PMAP-I-018,I,djvu,1,373,cover,355,container-aligned through terminal index,,mapped,"373 DJVU pages align positionally with PDF physical 1-373; no PDF-only blank leaves/catalogue/back cover"
ILL-PMAP-I-019,I,springer-errata,,,e1,e2,Errata,,hold,"official DOI 10.1007/BFb0059058 verified; Springer page scan unavailable locally"
ILL-PMAP-II-001,II,pdf,1,3,I,III,title copyright avertissement,,mapped,
ILL-PMAP-II-002,II,pdf,,,IV,IV,missing blank Roman leaf,,mapped,"local PDF omits the blank leaf"
ILL-PMAP-II-003,II,pdf,4,6,V,VII,table des matieres,,mapped,
ILL-PMAP-II-004,II,pdf,7,185,1,179,Chapter VI - Cohomologie de diagrammes,,mapped,
ILL-PMAP-II-005,II,pdf,186,250,180,244,Chapter VII - Deformations equivariantes de G-schemas et deformations de schemas en groupes,,mapped,
ILL-PMAP-II-006,II,pdf,251,298,245,292,Chapter VIII - Categories formelles complexes de De Rham et cohomologie cristalline,,mapped,
ILL-PMAP-II-007,II,pdf,299,299,unnumbered,unnumbered,blank verso,,mapped,
ILL-PMAP-II-008,II,pdf,300,311,293,304,bibliography and indexes,,mapped,
ILL-PMAP-II-009,II,springer-erratum,1,1,305,305,Errata,,mapped,"official DOI 10.1007/BFb0059577; separate Springer PDF"
