edge_id,from_entity_id,to_entity_id_or_external_id,relation_type,direction,source_span_id,evidence,confidence,status,decision_id,verified_by,verified_at
ILL-REFE-20260804-0001,ILL-CCD:LNM239:INTRO:p011:p1,ILL-CCD:LNM239:BIB:1,cites,unit_to_bibliography,ILL-SP-239-011-02,"Visible token [1]; entry identity pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0008,lead,2026-08-04T19:48:30Z
ILL-REFE-20260804-0002,ILL-CCD:LNM239:INTRO:p011:p1,ILL-CCD:LNM239:BIB:2,cites,unit_to_bibliography,ILL-SP-239-011-02,"Visible token [2]; entry identity pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0008,lead,2026-08-04T19:48:30Z
ILL-REFE-20260804-0003,ILL-CCD:LNM239:INTRO:p011:p1,ILL-CCD:LNM239:BIB:24,cites,unit_to_bibliography,ILL-SP-239-011-02,"Visible token [24] associated with Quillen; exact entry pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0008,lead,2026-08-04T19:48:30Z
ILL-REFE-20260804-0004,ILL-CCD:LNM239:INTRO:p011:p1,ILL-CCD:LNM239:BIB:25,cites,unit_to_bibliography,ILL-SP-239-011-02,"Visible token [25] associated with Quillen; exact entry pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0008,lead,2026-08-04T19:48:30Z
ILL-REFE-20260804-0005,ILL-CCD:LNM239:INTRO:p011:p3,ILL-CCD:LNM239:BIB:9,cites,unit_to_bibliography,ILL-SP-239-011-04,"Visible token [9] associated with Whitehead; exact entry pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0008,lead,2026-08-04T19:48:30Z
ILL-REFE-20260804-0006,ILL-CCD:LNM239:INTRO:p011:p3,ILL-CCD:LNM239:BIB:27,cites,unit_to_bibliography,ILL-SP-239-011-04,"Visible token [27] associated with Verdier; exact entry pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0008,lead,2026-08-04T19:48:30Z
ILL-REFE-20260804-0007,ILL-CCD:LNM239:INTRO:p011:p3,ILL-CCD:LNM239:BIB:23,cites,unit_to_bibliography,ILL-SP-239-011-04,"Visible token [23] associated with Quillen; exact entry pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0008,lead,2026-08-04T19:48:30Z
ILL-REFE-20260804-0008,ILL-CCD:LNM239:INTRO:p011:p3,ILL-CCD:LNM239:BIB:24#7.21,cites_specific_result,unit_to_bibliography,ILL-SP-239-011-04,"Visible locator ([24] 7.21) for shift isomorphisms; entry pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0008,lead,2026-08-04T19:48:30Z
ILL-REFE-20260804-0009,ILL-CCD:LNM239:INTRO:p011:n1,external:grothendieck:cristaux-dieudonne:1970,author_note_cites,unit_to_external,ILL-SP-239-011-05,"Explicit author, title, venue, and years in note 1.",high,verified_direct,ILL-TX-20260804-0008,lead,2026-08-04T19:48:30Z
ILL-REFE-20260804-0010,ILL-CCD:LNM239:INTRO:p011:n2,external:messing:crystals-barsotti-tate:1971,author_note_cites,unit_to_external,ILL-SP-239-011-06,"Explicit author, thesis title, institution, year, and forthcoming status in note 2.",high,verified_direct,ILL-TX-20260804-0008,lead,2026-08-04T19:48:30Z
