review_id,kind,target_id,volume,printed_page,pdf_page,authority_sha256,inspection_detail,source_elements,tex_elements,status,notes
ILL-REV-20260804-0001,editorial_emblem,illusie:I:cover,I,cover,1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page 1100 dpi-equivalent review","Springer emblem below title","native TikZ symbolic Springer mark",OPEN,"text and placement admitted; exact historical emblem geometry remains to be redrawn before page-final closure"
ILL-REV-20260804-0005,editorial_emblem,illusie:I:cover,I,cover,1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page authority at 1100 dpi-equivalent; direct authority emblem at 6000 dpi-equivalent; lead review of r5 full-page 150-dpi and 600-dpi renders, 760x760 emblem crop at 600 dpi, and source-versus-r5 comparison","historical Springer emblem below title: central knight, ornamental flanks and scrolls, oval ring lettering, and central serif S","native TikZ device in tex/common/springer_mark_1971.tex; final r5 central S is contained inside the inner oval and visually distinct from the SPRINGER/VERLAG ring",PASS,"supersedes ILL-REV-20260804-0001 and supplies visual closure evidence for ILL-REV-20260804-0003; r2, r3, and r4 remain rejected evidence; the bilingual comparison page omits the device by design"
ILL-REV-20260804-0009,zero_mathematical_inventory,ILL-CCD:LNM239:FM:IC,I,inside-cover,2,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page authority at 1100 dpi-equivalent; ambiguous text and dimension lines at 5500 dpi-equivalent; lead source-versus-p2r10 review at 300 dpi","zero mathematical formulas; zero mathematical diagrams; zero mathematical notation; horizontal publisher rules and 10½ are typography/data rather than mathematics","native TeX/TikZ text and rules; zero raster image XObjects; no p2 rows required in FORMULA_INDEX DIAGRAM_INDEX or NOTATION_INDEX",PASS,"p2r10 visual receipt controls/p2r10/visual.md; publisher catalogue numbers are closed in reference_candidates.csv as external listings or explicit metadata exclusions"
ILL-P3-QA-20260804-0001,zero_mathematical_inventory,ILL-CCD:LNM239:FM:TP,I,I,3,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page authority at 1100 dpi-equivalent; publisher device and pencil at 6000; applied label at 5000; lead source-versus-p3r3 French/English review at 300 dpi","zero mathematical formulas; zero mathematical diagrams; one non-mathematical publisher device; two horizontal rules; copy-specific pencil and barcode overlays","native TeX/TikZ text, rules, and publisher device; non-authorial overlays omitted from both editions; no FORMULA_INDEX row",PASS,"English title bbox is 907x205 pixels at x=465 y=1958 on the 1878x2934 render, so the viewer's apparent clipping is not present in the file"
ILL-P4-QA-20260804-0001,zero_mathematical_inventory,ILL-CCD:LNM239:FM:CP,I,II,4,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page authority at 1100 dpi-equivalent; lead source-versus-p4r2 review at 300 dpi","zero mathematical formulas; zero mathematical diagrams; AMS classification and ISBN numerals are metadata; Nottingham bookplate and crest are holding-copy overlays","native TeX text and rules; no raster objects; bookplate, stamps, and handwriting omitted from both editions",PASS,"p4r1 rejected for reflow collision; p4r2 uses individually positioned source lines and passes"
ILL-P5-QA-20260804-0001,zero_mathematical_inventory,ILL-CCD:LNM239:FM:DED,I,III,5,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page authority at 1100 dpi-equivalent; lead source-versus-p5r1 French/English review at 300 dpi","zero mathematical formulas; zero mathematical diagrams; one dedication line","native TeX text and measured letterspacing; no raster objects",PASS,"French preserves A MES PARENTS; English separately reads TO MY PARENTS; clean five-page builds and zero bilingual occurrences"
ILL-P6-QA-20260804-0001,zero_mathematical_inventory,ILL-CCD:LNM239:FM:IV,I,IV,6,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page authority at 1100 dpi-equivalent; lead p6r1 blank-page verification at 300 dpi","zero mathematical formulas; zero mathematical diagrams; one repository digitization overlay over a blank leaf","intentional native TeX blank page; repository overlay preserved source-only",PASS,"both page-6 renders are one-color white with mean 1 and empty extracted text; clean six-page builds; zero bilingual occurrences"
ILL-P9-QA-20260804-0001,notation_inventory,ILL-CCD:LNM239:FM:TOC,I,V–VII,7-9,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"three direct full-page authority renders at 1100 dpi-equivalent; lead source-versus-p9r3 French/English review at 300 dpi","zero mathematical diagrams; zero displayed formulas; seven inline notation families: Ext^i, D^-, derived tensor, RHom, S^n, Lambda^n, Gamma^n","native TeX notation and dot leaders; complete NOTATION_INDEX rows; no raster objects",PASS,"p9r1 failed from an environment-definition error; p9r2 rejected for font substitutions and missing glyphs; p9r3 clean and visually admitted"
ILL-P10-QA-20260804-0001,zero_mathematical_inventory,ILL-CCD:LNM239:FM:VIII,I,VIII,10,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page authority at 1100 dpi-equivalent; lead p10r1 blank-page verification at 300 dpi","zero mathematical formulas; zero mathematical diagrams; reverse-side bleed-through only","intentional native TeX blank page",PASS,"both page-10 renders are one-color white with mean 1 and empty extracted text; clean ten-page builds"
ILL-P11-QA-20260804-0001,notation_inventory,ILL-CCD:LNM239:INTRO:p011,I,IX,11,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page authority at 1100 dpi-equivalent; lead source-versus-p11r5 French/English review at 300 dpi; English heading bbox confirmed from PDF and direct crop","zero mathematical diagrams; zero displayed formulas; inline f:X→Y, Z(f):Z(X)→Z(Y), Ext^i, and D^-","native TeX mathematical notation; four NOTATION_INDEX rows; no raster objects",PASS,"p11r1 rejected for font-size substitutions; p11r2 clean initial translation; p11r3 grammatical refinement; p11r4 stable anchors; p11r5 restores source French year hyphens and is admitted"
ILL-P12-QA-20260804-0001,native_diagram_and_notation_inventory,ILL-CCD:LNM239:INTRO:p012,I,X,12,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page authority at 1100 dpi-equivalent; comma-space ambiguity inspected at 5000 dpi-equivalent; lead source-versus-p12r1 French/English review at 300 dpi","one unnumbered transitivity triangle with three nodes and cyclic arrows; inline cotangent-complex derived-category hyper-Ext and truncation notation","native TikZ triangle in tex/common/tri1.tex; seven NOTATION_INDEX rows; zero raster objects in either PDF",PASS,"p12r1 is a clean twelve-page build in both standalone editions; the French reader contains the corrected comma-space and the internal diplomatic layer preserves the source defect"
ILL-P13-QA-20260805-0001,notation_and_note_inventory,ILL-CCD:LNM239:INTRO:p013,I,XI,13,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page authority at 1100 dpi-equivalent; lead source-versus-p13r1 French/English review at 300 dpi","zero mathematical diagrams; zero displayed formulas; inline Ext and Ext^1(G_a,G_a); one historical publication note and three bibliographic notes","native TeX mathematics and note markers; three new NOTATION_INDEX rows; zero raster objects in either PDF",PASS,"p13r1 is a clean thirteen-page build in both standalone editions; the diplomatic layer preserves V , and the French reader removes the erroneous space"
ILL-P14-QA-20260805-0001,prose_and_note_inventory,ILL-CCD:LNM239:INTRO:p014,I,XII,14,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,"direct full-page authority at 1100 dpi-equivalent; lead source-versus-p14r1 French/English review at 300 dpi","zero mathematical diagrams; zero displayed formulas; Chapter VII continuation; Chapter VIII overview; five notes","native TeX prose and note markers; physical cris-/talline break retained only internally; zero raster objects in either PDF",PASS,"p14r1 is a clean fourteen-page build in both standalone editions; diplomatic French preserves lisse , and corrected French removes the erroneous pre-comma space"
