subject_id,target_id,volume,preferred_label,fr_label,en_label,scope,review_status
illusie:subject:cotangent-complex,illusie:I:title,I,cotangent complex,complexe cotangent,cotangent complex,work title,lead_reviewed
illusie:subject:deformations,illusie:I:title,I,deformations,deformations,deformations,work title,lead_reviewed
illusie:subject:ringed-topoi,ILL-CCD:LNM239:INTRO:p012:p1,I,ringed topoi,topos annelés,ringed topoi,Chapter II-III overview,lead_reviewed
illusie:subject:cotangent-complex-functoriality,ILL-CCD:LNM239:INTRO:p012:p1,I,cotangent-complex functoriality,fonctorialité du complexe cotangent,cotangent-complex functoriality,Chapter II overview,lead_reviewed
illusie:subject:base-change,ILL-CCD:LNM239:INTRO:p012:p1,I,base change,changement de base,base change,Chapter II overview,lead_reviewed
illusie:subject:transitivity-triangle,ILL-CCD:LNM239:INTRO:p012:d1,I,transitivity triangle,triangle de transitivité,transitivity triangle,Chapter II overview,lead_reviewed
illusie:subject:extensions-and-hyperext,ILL-CCD:LNM239:INTRO:p012:p2,I,extensions and hyper-Ext,extensions et hyperext,extensions and hyper-Ext,Chapter III overview,lead_reviewed
illusie:subject:truncation,ILL-CCD:LNM239:INTRO:p012:p2,I,truncation,troncation,truncation,Chapter III overview,lead_reviewed
illusie:subject:first-order-deformation-obstructions,ILL-CCD:LNM239:INTRO:p012:p2,I,first-order deformation obstructions,obstructions aux déformations au premier ordre,first-order deformation obstructions,Chapter III overview,lead_reviewed
illusie:subject:kodaira-spencer,ILL-CCD:LNM239:INTRO:p012:p2,I,Kodaira-Spencer invariant,invariant de Kodaira-Spencer,Kodaira-Spencer invariant,Chapter III overview,lead_reviewed
illusie:subject:smooth-and-complete-intersection-morphisms,ILL-CCD:LNM239:INTRO:p012:p2,I,smooth and complete-intersection morphisms,morphismes lisses et intersections complètes,smooth and complete-intersection morphisms,Chapter III overview,lead_reviewed
illusie:subject:graded-algebras,ILL-CCD:LNM239:INTRO:p012:p3,I,graded algebras,algèbres graduées,graded algebras,Chapters IV-V overview,lead_reviewed
illusie:subject:module-deformations,ILL-CCD:LNM239:INTRO:p012:p3,I,module deformations,déformations de Modules,module deformations,Chapters IV-V overview,lead_reviewed
illusie:subject:chern-classes,ILL-CCD:LNM239:INTRO:p013:p1,I,Chern classes,classes de Chern,Chern classes,Chapter V overview,lead_reviewed
illusie:subject:perfect-complexes,ILL-CCD:LNM239:INTRO:p013:p1,I,perfect complexes,complexes parfaits,perfect complexes,Chapter V overview,lead_reviewed
illusie:subject:filtered-derived-categories,ILL-CCD:LNM239:INTRO:p013:p1,I,filtered derived categories,catégories dérivées de complexes filtrés,derived categories of filtered complexes,Chapter V overview,lead_reviewed
illusie:subject:characteristic-polynomial,ILL-CCD:LNM239:INTRO:p013:p1,I,characteristic polynomial,polynôme caractéristique,characteristic polynomial,Chapter V overview,lead_reviewed
illusie:subject:group-scheme-obstructions,ILL-CCD:LNM239:INTRO:p013:p2,I,group-scheme obstruction calculations,calculs d'obstruction pour les schémas en groupes,group-scheme obstruction calculations,Chapter VI overview,lead_reviewed
illusie:subject:spatial-ext-cohomology,ILL-CCD:LNM239:INTRO:p013:p2,I,spatial cohomological interpretation of Ext,interprétation cohomologique spatiale des Ext,spatial cohomological interpretation of Ext,Chapter VI overview,lead_reviewed
illusie:subject:torsor-deformations,ILL-CCD:LNM239:INTRO:p013:p3,I,torsor deformations,déformations de torseurs,torsor deformations,Chapter VII overview,lead_reviewed
illusie:subject:operator-ring-actions,ILL-CCD:LNM239:INTRO:p013:p3,I,operator ring schemes,schémas en anneaux d'opérateurs,schemes of operator rings,Chapter VII overview,lead_reviewed
illusie:subject:diagram-deformations,ILL-CCD:LNM239:INTRO:p014:p1,I,diagram deformations,déformations de diagrammes,diagram deformations,Chapter VII overview,lead_reviewed
illusie:subject:lie-invariants-group-schemes,ILL-CCD:LNM239:INTRO:p014:p1,I,Lie invariants of group schemes,Algèbre et complexe de Lie des schémas en groupes,Lie algebra and Lie complex of group schemes,Chapter VII overview,lead_reviewed
illusie:subject:formal-groupoid-cohomology,ILL-CCD:LNM239:INTRO:p014:p2,I,formal groupoid cohomology,cohomologie des groupoïdes formels,formal groupoid cohomology,Chapter VIII overview,lead_reviewed
illusie:subject:local-complete-intersections,ILL-CCD:LNM239:INTRO:p014:p2,I,local complete intersections,intersections complètes locales,local complete intersections,Chapter VIII overview,lead_reviewed
illusie:subject:de-rham-crystalline-relations,ILL-CCD:LNM239:INTRO:p014:p2,I,de Rham and crystalline relations,relations entre complexe de de Rham et cohomologie cristalline,de Rham and crystalline relations,Chapter VIII overview,lead_reviewed
illusie:subject:comptes-rendus-summaries,ILL-CCD:LNM239:INTRO:p014:p3,I,Comptes Rendus summaries,Notes aux Comptes-Rendus,Comptes Rendus summaries,Introduction publication history,lead_reviewed
illusie:subject:adviser-acknowledgements,ILL-CCD:LNM239:INTRO:p015:p1,I,adviser and interlocutor acknowledgements,remerciements aux conseillers et interlocuteurs,adviser and interlocutor acknowledgements,Introduction acknowledgements,lead_reviewed
illusie:subject:mit-seminar,ILL-CCD:LNM239:INTRO:p015:p1,I,M. I. T. seminar,séminaire à M. I. T.,M.I.T. seminar,Introduction acknowledgements,lead_reviewed_source_form_only
illusie:subject:thesis-jury,ILL-CCD:LNM239:INTRO:p015:p2,I,thesis committee,Jury de thèse,thesis committee,Introduction acknowledgements,lead_reviewed
illusie:subject:manuscript-preparation,ILL-CCD:LNM239:INTRO:p015:p3,I,manuscript preparation,préparation du manuscrit,manuscript preparation,Introduction acknowledgements,lead_reviewed
illusie:subject:prerequisites,ILL-CCD:LNM239:PREREQ:p1,I,mathematical prerequisites,prérequis scientifiques,mathematical prerequisites,Front matter,lead_reviewed
