notation_id,target_id,volume,visible_form,meaning,printed_page,pdf_page,review_status
ILL-NOT-239-0001,ILL-CCD:LNM239:CH1:S3:2,I,Ext^i,"extension groups, i.e. the Ext functors",V,7,toc_verified_body_pending
ILL-NOT-239-0002,ILL-CCD:LNM239:CH1:S4:1,I,D^-,bounded-above derived category,V,7,toc_verified_body_pending
ILL-NOT-239-0003,ILL-CCD:LNM239:CH5:S2,I,L tensor,derived tensor-product functor,VII,9,toc_verified_body_pending
ILL-NOT-239-0004,ILL-CCD:LNM239:CH5:S2,I,RHom,derived Hom functor,VII,9,toc_verified_body_pending
ILL-NOT-239-0005,ILL-CCD:LNM239:CH5:S4,I,S^n,n-th symmetric power,VII,9,toc_verified_body_pending
ILL-NOT-239-0006,ILL-CCD:LNM239:CH5:S4,I,Lambda^n,n-th exterior power,VII,9,toc_verified_body_pending
ILL-NOT-239-0007,ILL-CCD:LNM239:CH5:S4,I,Gamma^n,n-th divided power,VII,9,toc_verified_body_pending
ILL-NOT-239-0008,ILL-CCD:LNM239:INTRO:p011:p3,I,f:X->Y,morphism of simplicial sheaves,IX,11,lead_reviewed
ILL-NOT-239-0009,ILL-CCD:LNM239:INTRO:p011:p3,I,Z(f):Z(X)->Z(Y),induced morphism on free simplicial Z-modules,IX,11,lead_reviewed
ILL-NOT-239-0010,ILL-CCD:LNM239:INTRO:p011:p3,I,Ext^i,extension functors in the derived category,IX,11,lead_reviewed
ILL-NOT-239-0011,ILL-CCD:LNM239:INTRO:p011:p3,I,D^-,bounded-above derived category,IX,11,lead_reviewed
ILL-NOT-239-0012,ILL-CCD:LNM239:INTRO:p012:p1,I,L_X/Y,cotangent complex of a morphism of ringed topoi,X,12,lead_reviewed
ILL-NOT-239-0013,ILL-CCD:LNM239:INTRO:p012:p1,I,X -f-> Y -> Z,composite of morphisms of ringed topoi,X,12,lead_reviewed
ILL-NOT-239-0014,ILL-CCD:LNM239:INTRO:p012:d1,I,Lf^*L_Y/Z,derived pullback term in the transitivity triangle,X,12,lead_reviewed
ILL-NOT-239-0015,ILL-CCD:LNM239:INTRO:p012:p1,I,D(X),derived category of O_X-modules,X,12,lead_reviewed
ILL-NOT-239-0016,ILL-CCD:LNM239:INTRO:p012:p2,I,O_X-Module I,module over the structure sheaf O_X,X,12,lead_reviewed
ILL-NOT-239-0017,ILL-CCD:LNM239:INTRO:p012:p2,I,Ext^1(L_X/Y I),hyper-Ext group classifying Y-extensions of X by I,X,12,lead_reviewed
ILL-NOT-239-0018,ILL-CCD:LNM239:INTRO:p012:p2,I,degree <= -2,cohomological degrees killed by the stated truncation,X,12,lead_reviewed
ILL-NOT-239-0019,ILL-CCD:LNM239:INTRO:p013:p2,I,Ext,extension groups of modules over a ring,XI,13,lead_reviewed
ILL-NOT-239-0020,ILL-CCD:LNM239:INTRO:p013:p2,I,G_a,additive group scheme appearing in the stated Ext group,XI,13,lead_reviewed
ILL-NOT-239-0021,ILL-CCD:LNM239:INTRO:p013:p2,I,"Ext^1(G_a,G_a)",first Ext group whose calculation uses the cited resolution,XI,13,lead_reviewed
ILL-NOT-239-0022,ILL-CCD:LNM239:CONV:p1,I,=,canonical functorial isomorphism under Deligne's convention,XV,17,lead_reviewed
ILL-NOT-239-0023,ILL-CCD:LNM239:CONV:p2,I,mathbb N,natural numbers object contained in the fixed ambient universe,XV,17,lead_reviewed_7000dpi
ILL-NOT-239-0024,ILL-CCD:LNM239:CH1:S1:1:p1,I,Delta,category of nonempty finite totally ordered sets and order-preserving maps,1,19,lead_reviewed
ILL-NOT-239-0025,ILL-CCD:LNM239:CH1:S1:1:p1,I,"[0,n]",finite ordered set used as an object of Delta,1,19,lead_reviewed
ILL-NOT-239-0026,ILL-CCD:LNM239:CH1:S1:1:p1,I,mathbb N,natural numbers indexing simplicial degrees,1,19,lead_reviewed
ILL-NOT-239-0027,ILL-CCD:LNM239:CH1:S1:1:d1,I,delta_i^n,standard order-preserving injection omitting i,1,19,lead_reviewed_7000dpi
ILL-NOT-239-0028,ILL-CCD:LNM239:CH1:S1:1:d2,I,sigma_i^n,standard order-preserving surjection repeating i,1,19,lead_reviewed_7000dpi
ILL-NOT-239-0029,ILL-CCD:LNM239:CH1:S1:1:p2,I,Delta^o,opposite of the simplicial indexing category,1,19,lead_reviewed
ILL-NOT-239-0030,ILL-CCD:LNM239:CH1:S1:1:p2,I,X_n,"value X([0,n]) of a simplicial object",1,19,lead_reviewed
ILL-NOT-239-0031,ILL-CCD:LNM239:CH1:S1:1:p2,I,d_i^n,i-th face map X(delta_i^n),1,19,lead_reviewed
ILL-NOT-239-0032,ILL-CCD:LNM239:CH1:S1:1:p2,I,s_i^n,i-th degeneracy map X(sigma_i^n),1,19,lead_reviewed
