bib_id,target_id,volume,visible_key,author,title,publication,printed_page,pdf_page,relation,review_status
ILL-CAT-20260804-0001,ILL-CCD:LNM239:SUB:IC:CAT:V01,I,Vol. 1,J. C. Erdmann,"Wärmeleitung in Kristallen, theoretische Grundlagen und fortgeschrittene experimentelle Methoden","II, 283 Seiten. 1969. DM 20,—",inside-cover,2,external_publisher_catalogue_listing_not_illusie_citation,lead_reviewed
ILL-CAT-20260804-0002,ILL-CCD:LNM239:SUB:IC:CAT:V02,I,Vol. 2,K. Hepp,Théorie de la renormalisation,"III, 215 pages. 1969. DM 18,—",inside-cover,2,external_publisher_catalogue_listing_not_illusie_citation,lead_reviewed
ILL-CAT-20260804-0003,ILL-CCD:LNM239:SUB:IC:CAT:V03,I,Vol. 3,A. Martin,"Scattering Theory: Unitarity, Analytic and Crossing","IV, 125 pages. 1969. DM 14,—",inside-cover,2,external_publisher_catalogue_listing_not_illusie_citation,lead_reviewed
ILL-CAT-20260804-0004,ILL-CCD:LNM239:SUB:IC:CAT:V04,I,Vol. 4,G. Ludwig,Deutung des Begriffs physikalische Theorie und axiomatische Grundlegung der Hilbertraumstruktur der Quantenmechanik durch Hauptsätze des Messens,"XI, 469 Seiten.1970. DM 28,—",inside-cover,2,external_publisher_catalogue_listing_not_illusie_citation,lead_reviewed
ILL-CAT-20260804-0005,ILL-CCD:LNM239:SUB:IC:CAT:V05,I,Vol. 5,M. Schaaf,The Reduction of the Product of Two Irreducible Unitary Representations of the Proper Orthochronous Quantummechanical Poincaré Group,"IV, 120 pages. 1970. DM 14,—",inside-cover,2,external_publisher_catalogue_listing_not_illusie_citation,lead_reviewed
ILL-CAT-20260804-0006,ILL-CCD:LNM239:SUB:IC:CAT:V06,I,Vol. 6,edited by V. Bargmann,Group Representations in Mathematics and Physics,"V, 340 pages. 1970. DM 24,—",inside-cover,2,external_publisher_catalogue_listing_not_illusie_citation,lead_reviewed
ILL-CAT-20260804-0007,ILL-CCD:LNM239:SUB:IC:CAT:V07,I,Vol. 7,R. Balescu; J. L. Lebowitz; I. Prigogine; P. Résibois; Z. W. Salsburg,Lectures in Statistical Physics,"V, 181 pages. 1971. DM 18,—",inside-cover,2,external_publisher_catalogue_listing_not_illusie_citation,lead_reviewed
ILL-CAT-20260804-0008,ILL-CCD:LNM239:SUB:IC:CAT:V08,I,Vol. 8,edited by M. Holt,Proceedings of the Second International Conference on Numerical Methods in Fluid Dynamics,"IX, 462 pages. 1971. DM 28,—",inside-cover,2,external_publisher_catalogue_listing_not_illusie_citation,lead_reviewed
ILL-BIB-239-0001,external:grothendieck:cristaux-dieudonne:1970,I,(1),A. Grothendieck,Cristaux et modules de Dieudonné,"International Congress of Mathematicians, Nice (1970); Collège de France courses 70-71 and 71-72",IX,11,author_note_reference,lead_reviewed
ILL-BIB-239-0002,external:messing:crystals-barsotti-tate:1971,I,(2),W. Messing,"The Crystals associated to Barsotti-Tate Groups, with Applications to Abelian Schemes","Thesis, Princeton (1971), forthcoming",IX,11,author_note_reference,lead_reviewed
