page_map_id,source_id,physical_page,printed_page,page_kind,source_unit,authority_status,notes
illusie:I:pdf:p001,illusie:I:pdf,1,cover,cover,illusie:I:cover,controlling,"direct 1100 dpi-equivalent review"
illusie:I:pdf:p002-p018,illusie:I:pdf,2-18,inside-cover;I-XV;blank,front_matter,illusie:I:front,controlling,"Roman IV is an Internet Archive digitization insert over an otherwise blank preliminary; physical 18 blank"
illusie:I:pdf:p019-p360,illusie:I:pdf,19-360,1-342,chapter_body,illusie:I:chapters:I-V,controlling,"printed page = physical page - 18"
illusie:I:pdf:p361-p376,illusie:I:pdf,361-376,343-358,back_matter,illusie:I:back,controlling,"printed 356-358 blank"
illusie:I:pdf:p377-p380,illusie:I:pdf,377-380,unpaginated,publisher_matter,illusie:I:publisher-back,controlling,
illusie:I:djvu:p001-p373,illusie:I:djvu,1-373,cover-355,comparison,illusie:I:comparison-envelope,comparison_only,"positionally aligned with PDF physical 1-373"
illusie:I:author-errata:p001-p002,illusie:I:author-errata,1-2,author-supplement,errata,illusie:I:errata:author,author_direct,"2025 author PDF; not a facsimile substitute for Springer e1-e2"
illusie:II:pdf:p001-p006,illusie:II:pdf,1-6,I-III;V-VII,front_matter,illusie:II:front,controlling,"blank Roman IV omitted from local scan"
illusie:II:pdf:p007-p298,illusie:II:pdf,7-298,1-292,chapter_body,illusie:II:chapters:VI-VIII,controlling,"printed page = physical page - 6"
illusie:II:pdf:p299,illusie:II:pdf,299,unnumbered,blank,illusie:II:blank-before-back,controlling,
illusie:II:pdf:p300-p311,illusie:II:pdf,300-311,293-304,back_matter,illusie:II:back,controlling,"printed page = physical page - 7"
illusie:II:springer-erratum:p001,illusie:II:springer-erratum,1,305,erratum,illusie:II:erratum,controlling,"official Springer DOI 10.1007/BFb0059577"
illusie:II:author-errata:p001,illusie:II:author-errata,1,author-supplement,errata,illusie:II:errata:author,author_direct,"2019 author PDF; contains later additions beyond Springer p.305"
