term_id,target_id,volume,language,source_form,normalized_lookup,english_equivalent,printed_page,pdf_page,review_status
illusie:term:cotangent-complex,illusie:I:title,I,fr,complexe cotangent,complexe cotangent,cotangent complex,cover,1,lead_reviewed
illusie:term:deformation,illusie:I:title,I,fr,deformations,deformation,deformations,cover,1,lead_reviewed
illusie:term:ringed-topos,ILL-CCD:LNM239:INTRO:p012:p1,I,fr,topos annelés,topos annelé,ringed topoi,X,12,lead_reviewed
illusie:term:standard-resolution,ILL-CCD:LNM239:INTRO:p012:p1,I,fr,résolutions standard,résolution standard,standard resolutions,X,12,lead_reviewed
illusie:term:base-change,ILL-CCD:LNM239:INTRO:p012:p1,I,fr,changement de base,changement de base,base change,X,12,lead_reviewed
illusie:term:transitivity-triangle,ILL-CCD:LNM239:INTRO:p012:d1,I,fr,triangle de transitivité,triangle de transitivité,transitivity triangle,X,12,lead_reviewed
illusie:term:hyperext,ILL-CCD:LNM239:INTRO:p012:p2,I,fr,hyperext,hyperext,hyper-Ext group,X,12,lead_reviewed
illusie:term:truncation,ILL-CCD:LNM239:INTRO:p012:p2,I,fr,tronqué,troncation,truncation,X,12,lead_reviewed
illusie:term:first-order-flat-deformation,ILL-CCD:LNM239:INTRO:p012:p2,I,fr,déformation plate au premier ordre,déformation plate au premier ordre,first-order flat deformation,X,12,lead_reviewed
illusie:term:cup-product,ILL-CCD:LNM239:INTRO:p012:p2,I,fr,cup-produit,cup-produit,cup product,X,12,lead_reviewed
illusie:term:kodaira-spencer-invariant,ILL-CCD:LNM239:INTRO:p012:p2,I,fr,invariant de Kodaira-Spencer,invariant de kodaira-spencer,Kodaira-Spencer invariant,X,12,lead_reviewed
illusie:term:smooth-morphism,ILL-CCD:LNM239:INTRO:p012:p2,I,fr,morphismes lisses,morphisme lisse,smooth morphisms,X,12,lead_reviewed
illusie:term:complete-intersection,ILL-CCD:LNM239:INTRO:p012:p2,I,fr,intersections complètes,intersection complète,complete intersections,X,12,lead_reviewed
illusie:term:graded-algebra,ILL-CCD:LNM239:INTRO:p012:p3,I,fr,algèbres graduées,algèbre graduée,graded algebras,X,12,lead_reviewed
illusie:term:module-deformation,ILL-CCD:LNM239:INTRO:p012:p3,I,fr,déformations de Modules,déformation de module,deformations of modules,X-XI,12-13,lead_reviewed
illusie:term:first-order-jet-extension,ILL-CCD:LNM239:INTRO:p013:p1,I,fr,extension habituelle définie par les jets à l'ordre un,extension par jets au premier ordre,usual extension defined by first-order jets,XI,13,lead_reviewed
illusie:term:chern-class,ILL-CCD:LNM239:INTRO:p013:p1,I,fr,classes de Chern,classe de Chern,Chern classes,XI,13,lead_reviewed
illusie:term:perfect-complex,ILL-CCD:LNM239:INTRO:p013:p1,I,fr,complexes parfaits,complexe parfait,perfect complexes,XI,13,lead_reviewed
illusie:term:filtered-derived-category,ILL-CCD:LNM239:INTRO:p013:p1,I,fr,catégories dérivées de complexes filtrés,catégorie dérivée de complexes filtrés,derived categories of filtered complexes,XI,13,lead_reviewed
illusie:term:characteristic-polynomial,ILL-CCD:LNM239:INTRO:p013:p1,I,fr,polynôme caractéristique,polynôme caractéristique,characteristic polynomial,XI,13,lead_reviewed
illusie:term:group-scheme-deformation,ILL-CCD:LNM239:INTRO:p013:p2,I,fr,déformations de schémas en groupes,déformation de schéma en groupes,deformations of group schemes,XI,13,lead_reviewed
illusie:term:diagram-topos-cohomology,ILL-CCD:LNM239:INTRO:p013:p2,I,fr,cohomologie de topos associés à certains diagrammes,cohomologie de topos associé à un diagramme,cohomology of topoi associated with diagrams,XI,13,lead_reviewed
illusie:term:spatial-cohomology,ILL-CCD:LNM239:INTRO:p013:p2,I,fr,"groupes de cohomologie ""spatiaux""",groupe de cohomologie spatial,spatial cohomology groups,XI,13,lead_reviewed
