occurrence_id,person_id,entity_id,source_span_id,visible_form,role,physical_page,status
ILL-PO-0001,illusie:person:luc-illusie,ILL-CCD:LNM239:SUB:COVER:AUTHOR,ILL-SP-239-001-05,Luc Illusie,author,1,verified
ILL-PO-0002,illusie:person:albrecht-dold,ILL-CCD:LNM239:SUB:COVER:EDITORS,ILL-SP-239-001-03,A. Dold,series editor,1,verified
ILL-PO-0003,illusie:person:beno-eckmann,ILL-CCD:LNM239:SUB:COVER:EDITORS,ILL-SP-239-001-03,B. Eckmann,series editor,1,verified
ILL-PO-0004,illusie:person:albrecht-dold,ILL-CCD:LNM239:SUB:IC:MS:SUBMISSION,ILL-SP-239-002-20,A. Dold,submission recipient,2,verified
ILL-PO-0005,illusie:person:beno-eckmann,ILL-CCD:LNM239:SUB:IC:MS:SUBMISSION,ILL-SP-239-002-20,B. Eckmann,submission recipient,2,verified
ILL-PO-0006,illusie:person:j-c-erdmann,ILL-CCD:LNM239:SUB:IC:CAT:V01,ILL-SP-239-002-23,J. C. Erdmann,author,2,verified
ILL-PO-0007,illusie:person:k-hepp,ILL-CCD:LNM239:SUB:IC:CAT:V02,ILL-SP-239-002-24,K. Hepp,author,2,verified
ILL-PO-0008,illusie:person:a-martin,ILL-CCD:LNM239:SUB:IC:CAT:V03,ILL-SP-239-002-25,A. Martin,author,2,verified
ILL-PO-0009,illusie:person:g-ludwig,ILL-CCD:LNM239:SUB:IC:CAT:V04,ILL-SP-239-002-26,G. Ludwig,author,2,verified
ILL-PO-0010,illusie:person:m-schaaf,ILL-CCD:LNM239:SUB:IC:CAT:V05,ILL-SP-239-002-27,M. Schaaf,author,2,verified
ILL-PO-0011,illusie:person:v-bargmann,ILL-CCD:LNM239:SUB:IC:CAT:V06,ILL-SP-239-002-28,V. Bargmann,editor,2,verified
ILL-PO-0012,illusie:person:r-balescu,ILL-CCD:LNM239:SUB:IC:CAT:V07,ILL-SP-239-002-29,R. Balescu,author,2,verified
ILL-PO-0013,illusie:person:j-l-lebowitz,ILL-CCD:LNM239:SUB:IC:CAT:V07,ILL-SP-239-002-29,J. L. Lebowitz,author,2,verified
ILL-PO-0014,illusie:person:i-prigogine,ILL-CCD:LNM239:SUB:IC:CAT:V07,ILL-SP-239-002-29,I. Prigogine,author,2,verified
ILL-PO-0015,illusie:person:p-resibois,ILL-CCD:LNM239:SUB:IC:CAT:V07,ILL-SP-239-002-29,P. Résibois,author,2,verified
ILL-PO-0016,illusie:person:z-w-salsburg,ILL-CCD:LNM239:SUB:IC:CAT:V07,ILL-SP-239-002-29,Z. W. Salsburg,author,2,verified
ILL-PO-0017,illusie:person:m-holt,ILL-CCD:LNM239:SUB:IC:CAT:V08,ILL-SP-239-002-30,M. Holt,editor,2,verified
