"root_name","local_path","dest_base","package_status","classification","file_count","bytes","manifest_rows","manifest_bad","sha_rows","sha_bad","placeholder_context_hits","placeholder_blocking_hits","credential_hits","archive_primaries","large_files_ge_50mib"
"CJK_DRAFT_28019A34_CURRENT_FRONTIER_RECOVERY_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_28019A34_CURRENT_FRONTIER_RECOVERY_20260707","uploader-transfer/cjk-source-evidence-draft-lane-28019a34-current-frontier-recovery-20260707","ok","CJK Draft 28019 current-frontier recovery","29","7128346","27","0","27","0","0","0","0","0","0"
"NON_SLAVIC_CORE_28019A34_944_LOCAL_RETURNS_ROUTE_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_28019A34_944_LOCAL_RETURNS_ROUTE_20260707","uploader-transfer/non-slavic-core-28019a34-944-local-returns-route-20260707","ok","Non-Slavic Core 28019 route accounting","17","63725","14","0","14","0","0","0","0","0","0"
"NON_SLAVIC_CORE_28019A34_FRONTIER_CORRECTION_CHILD_ACCOUNTING_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_28019A34_FRONTIER_CORRECTION_CHILD_ACCOUNTING_20260707","uploader-transfer/non-slavic-core-28019a34-frontier-correction-child-accounting-20260707","ok","Non-Slavic Core 28019 correction/addendum accounting","14","26553","11","0","11","0","2","0","0","0","0"
"R2_28019A34_HEARTBEAT_FRONTIER_RECOVERY_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_28019A34_HEARTBEAT_FRONTIER_RECOVERY_20260707","uploader-transfer/r2-pan-turkic-hard-blockers-28019a34-heartbeat-frontier-recovery-20260707","ok","R2 Pan-Turkic 28019 heartbeat recovery","24","200523","22","0","22","0","0","0","0","0","0"
"CJK_NATIVE_28019A34_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_28019A34_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","uploader-transfer/cjk-native-source-evidence-28019a34-frontier-advance-source-use-codepoint-fable-20260707","ok","CJK native/source 28019 codepoint/Fable recovery","22","910207","19","0","21","0","0","0","0","0","0"
"OLP_28019A34_INTERLINEAR_TERMINOLOGY_HEARTBEAT_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_28019A34_INTERLINEAR_TERMINOLOGY_HEARTBEAT_20260707","uploader-transfer/olp-relation-function-support-28019a34-interlinear-terminology-heartbeat-20260707","ok","OLP 28019 interlinear terminology heartbeat","14","49698","11","0","12","0","0","0","0","0","0"
"OLP_28019A34_LOCAL_RETURNS_REVIEWER_BOUNDARY_ACCOUNTING_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_28019A34_LOCAL_RETURNS_REVIEWER_BOUNDARY_ACCOUNTING_20260707","uploader-transfer/olp-relation-function-support-28019a34-local-returns-reviewer-boundary-accounting-20260707","ok","OLP 28019 reviewer boundary accounting","13","20866","10","0","11","0","0","0","0","0","0"
"SLAVIC_28019A34_CURRENT_HEAD_LOCAL_RETURN_WATCHER_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_28019A34_CURRENT_HEAD_LOCAL_RETURN_WATCHER_20260707","uploader-transfer/slavic-canonical-baseline-28019a34-current-head-local-return-watcher-20260707","ok","Slavic 28019 local return watcher","22","43961","20","0","20","0","0","0","0","0","0"
"R9_28019A34_FRONTIER_ADVANCE_RECOVERY_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_28019A34_FRONTIER_ADVANCE_RECOVERY_20260707","uploader-transfer/r9-africa-horn-west-28019a34-frontier-advance-recovery-20260707","ok","R9 28019 frontier advance recovery","12","56164","10","0","10","0","0","0","0","0","0"
"R7_28019A34_LIVE_BRANCH_DRIFT_AFTER_944_LOCAL_RETURNS_BOUNDARY_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_28019A34_LIVE_BRANCH_DRIFT_AFTER_944_LOCAL_RETURNS_BOUNDARY_20260707","uploader-transfer/r7-malay-sea-pacific-28019a34-live-branch-drift-after-944-local-returns-boundary-20260707","ok","R7 28019 live-branch drift boundary","7","23399","5","0","5","0","0","0","0","0","0"
"INTERLANGUAGE_FABLE_28019A34_CURRENT_FRONTIER_DRIFT_RECOVERY_20260707","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_28019A34_CURRENT_FRONTIER_DRIFT_RECOVERY_20260707","uploader-transfer/interlanguage-fable-28019a34-current-frontier-drift-recovery-20260707","ok","Interlanguage/Fable 28019 frontier drift recovery","33","1441020","29","0","29","0","0","0","0","0","0"
