"PackageNumber","DistinctPackageRoots","FileCount","TotalBytes","ZipCount","ManifestHashLikeCount","SourceBodyWitnessLikeCount","LogbookHeartbeatLikeCount"
"149","1","2","44291","0","0","1","0"
"324","1","15","675328","0","6","7","1"
"325","1","7","34567","0","4","0","0"
"326","1","96","2231282","0","21","62","12"
"327","1","33","418268","0","18","17","4"
"328","1","43","1081526","0","13","32","3"
"329","1","38","400013","0","11","23","4"
"330","1","42","569064","0","13","20","3"
"331","1","29","392350","0","10","15","2"
"332","1","42","531473","0","13","19","9"
"333","1","28","362705","0","13","12","2"
"334","1","30","318958","0","9","22","2"
"335","1","30","494760","0","11","15","3"
"336","1","29","567861","0","9","14","3"
"337","1","30","876039","0","10","17","1"
"338","1","23","802813","0","6","11","1"
"339","1","37","827459","0","8","16","5"
"340","1","19","207582","0","7","5","3"
"341","1","37","544329","0","11","21","4"
"342","1","33","369759","0","12","18","6"
"343","1","39","1197245","0","7","28","1"
"344","1","69","970217","0","23","40","7"
"345","1","35","562824","0","18","14","5"
"346","1","97","3002319","0","11","78","4"
"347","1","78","1848939","0","18","43","6"
"348","1","39","795371","0","19","13","3"
"349","1","41","1089555","0","13","20","1"
"350","1","90","2246537","0","28","50","9"
"351","1","60","865362","0","25","36","7"
"352","1","82","1648627","0","35","48","9"
"353","1","191","3944226","0","68","109","29"
"354","1","18","218658","0","7","10","9"
"355","1","8","21122","0","5","0","0"
"356","1","10","39627","0","3","2","2"
"357","1","9","98142","0","4","1","1"
"358","1","9","146796","0","3","1","2"
"359","1","16","25129","0","13","4","1"
"360","1","10","54238","0","3","4","0"
"361","1","17","147709","0","5","2","1"
"362","1","33","947770","0","15","24","5"
"363","1","8","38890","0","3","2","0"
"364","1","7","15552","0","3","0","0"
"365","1","12","118524","0","4","2","1"
"366","1","12","79263","0","3","1","0"
"367","1","15","528176","0","5","4","1"
"368","1","14","572104","0","5","2","3"
"369","1","15","690160","0","5","3","1"
"370","1","9","54065","0","5","0","0"
"371","1","7","444729","0","3","0","0"
"372","1","24","439376","0","11","6","1"
"373","1","14","112573","0","6","3","2"
"374","1","126","2735302","0","45","60","18"
"375","1","17","655281","0","5","1","3"
"376","1","14","585573","0","7","1","1"
"377","1","7","453949","0","3","0","0"
"378","1","152","3569304","0","56","79","19"
"379","1","9","58196","0","5","0","0"
