"TopRoot","FileCount","TotalBytes","ZipCount","LogbookHeartbeatLike","SourceBodyWitnessLike"
".gitattributes","1","932","0","0","0"
".github","6","6283","0","0","0"
".gitignore","1","162","0","0","0"
"""interlanguage-sidecar","11","359907","0","0","11"
"""language-source-bodies","190","2594895","0","0","0"
"00_DISPATCH_ALL_IDLE_SESSIONS_NOW_20260705.md","1","11778","0","0","0"
"00_SET_ACTIVE_GOAL_NOW.md","1","559","0","0","0"
"00_SET_EVERY_ASSIGNED_GOAL_VERBATIM_NOW_20260705.md","1","4083","0","0","0"
"ACTIVE_SESSIONS.md","1","4428","0","0","0"
"AGENTS.md","1","4687","0","0","0"
"ARCHIVE_MAINTENANCE_REVIEW_R9_PAYLOAD_20260705.md","1","2102","0","0","0"
"audits","15","1334559","0","1","0"
"CITATION.cff","1","675","0","0","0"
"CONTRIBUTING.md","1","2185","0","0","0"
"coordination","221","1091373","0","1","101"
"CURRENT_OUTPUT_STATE.md","1","4655","0","0","0"
"DISPATCH_EXACT_SESSION_GOALS_20260705.md","1","7654","0","0","0"
"docs","54","2418433","0","0","2"
"FABLE_INTERLANGUAGE_PROGRAM_BLOCKING_DIRECTIVE_20260705.md","1","8476","0","0","0"
"formalization","42","126382","0","0","0"
"handoff-bodies","207","26718197","1","1","12"
"HEARTBEAT_20260705.md","1","1821","0","1","0"
"interlanguage-sidecar","2242","1118654825","61","44","571"
"language-source-bodies","1934","2952554057","31","103","241"
"LICENSE","1","718","0","0","0"
"manifests","1752","8978400","0","8","865"
"NEXT_PUSH_MUST_BE_PAYLOAD_OR_IT_WILL_BE_RESET_20260705.md","1","661","0","0","0"
"noether-slavic-handoff","4512","97358982","0","392","1648"
"noether-slavic-source-canon","511","23729152","3","0","511"
"noether-source-corpus-provenance","552","140655886","5","0","552"
"OTHER_AI_COLLECT_NATIVE_SLAVIC_TEX_SOURCE_BODIES_NOW_20260705.md","1","2024","0","0","0"
"OTHER_AI_IMMEDIATE_LATEX_SOURCE_BODY_DIRECTIVE_20260704.md","1","3004","0","0","1"
"OTHER_AI_NATIVE_TEX_CORPUS_REQUIREMENT_20260705.md","1","2828","0","0","1"
"OTHER_AI_UPLOAD_ALL_LATEX_SOURCE_BODIES_NOW_20260704.md","1","4591","0","0","0"
"OTHER_AI_UPLOAD_EVERY_LATEX_FILE_NOW_20260705.md","1","8559","0","0","0"
"other-pc-coordination","16","440212","0","3","2"
"OUTPUT_MANIFEST_20260705.csv","1","378152","0","0","0"
"outputs","12","209707","0","1","12"
"publish_staging","51","134332787","49","0","1"
"READ_THIS_FIRST_OTHER_PC_BRANCH_RESET_20260705.md","1","4386","0","0","0"
"reader-pdfs","430","1276355914","0","0","0"
"README.md","1","44746","0","0","0"
"release_candidates","2","2802644","1","0","0"
"scripts","17","93579","0","0","1"
"SESSION_LOGBOOK_20260705.md","1","16749","0","1","0"
"session-pursued-goals","13","5298","0","0","1"
"SET_THIS_AS_YOUR_GOAL_VERBATIM_20260705.md","1","34594","0","0","0"
"SIBLING_TASKS.md","1","4321","0","0","0"
"SOURCE_BODY_UPLOAD_QUEUE.md","1","4116","0","0","1"
"sources","4092","2002520780","0","0","256"
"transfer-audits","229","111507353","2","4","76"
"UPLOAD_ALL_LATEX_SOURCE_BODIES_NOW_20260705.md","1","1901","0","0","0"
"uploader-transfer","551","364669385","8","31","188"
"workflow","228","43163332","8","0","10"
"YOU_READ_ONE_LINE_READ_ALL_OF_THIS_20260705.md","1","1707","0","0","0"
"zenodo-metadata","199","534510","0","3","199"
