"PackageNumber","PackageRoot","FileCount","TotalBytes","TexFamilyCount","PdfCount","ZipCount","ArchiveCount","ManifestHashLikeCount","LogbookHeartbeatLikeCount","SourceBodyWitnessLikeCount"
"149","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE149_20260704T062951_ROLLING_SNAPSHOT","2","44291","2","0","0","0","0","0","1"
"324","interlanguage-sidecar/20260704/noether_pc_packages_324_325_20260704/noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE324_20260704T215004_ROLLING_DELTA_AFTER_PACKAGE323","15","675328","0","0","0","0","6","1","7"
"325","interlanguage-sidecar/20260704/noether_pc_packages_324_325_20260704/noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE325_20260704T215157_ROLLING_DELTA_AFTER_PACKAGE324","7","34567","0","0","0","0","4","0","0"
"326","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE326_20260704T221012_ROLLING_DELTA_AFTER_PACKAGE325","96","2231282","0","0","0","0","21","12","62"
"327","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE327_20260704T221228_ROLLING_DELTA_AFTER_PACKAGE326","33","418268","0","0","0","0","18","4","17"
"328","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE328_20260704T221405_ROLLING_DELTA_AFTER_PACKAGE327","43","1081526","0","0","0","0","13","3","32"
"329","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE329_20260704T221650_ROLLING_DELTA_AFTER_PACKAGE328","38","400013","0","0","0","0","11","4","23"
"330","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE330_20260704T221924_ROLLING_DELTA_AFTER_PACKAGE329","42","569064","0","0","0","0","13","3","20"
"331","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE331_20260704T222125_ROLLING_DELTA_AFTER_PACKAGE330","29","392350","0","0","0","0","10","2","15"
"332","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE332_20260704T222401_ROLLING_DELTA_AFTER_PACKAGE331","42","531473","0","0","0","0","13","9","19"
"333","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE333_20260704T222545_ROLLING_DELTA_AFTER_PACKAGE332","28","362705","0","0","0","0","13","2","12"
"334","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE334_20260704T222716_ROLLING_DELTA_AFTER_PACKAGE333","30","318958","0","0","0","0","9","2","22"
"335","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE335_20260704T222849_ROLLING_DELTA_AFTER_PACKAGE334","30","494760","0","0","0","0","11","3","15"
