concept,C2,total_native_hit_count,sense_status,confidence,sense_note
Lie group,no,2,sense_review_candidate,medium,Native-source string hits exist; row-context review still required.
Noether/Noetherian,no,0,gap,none,No native-source hit in current CJK source-body shelf.
Noetherian,no,0,gap,none,No native-source hit in current CJK source-body shelf.
Noetherian/Noether,no,0,gap,none,No native-source hit in current CJK source-body shelf.
absolutely complete system,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
abstract algebra,no,0,gap,none,No native-source hit in current CJK source-body shelf.
algebra,yes,96,confirmed_sourcebody_internal,high,Common algebra term with multi-file source-body support; still not native review or accepted terminology.
assumption,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
automorphism,no,26,confirmed_sourcebody_internal,medium,Specialized algebra compound; accept as source-body candidate if context windows are algebraic.
basis,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
basis theorem,no,0,gap,none,No native-source hit in current CJK source-body shelf.
binary form,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
biquadratic form,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
character,no,1,sense_review_candidate,medium,Native-source string hits exist; row-context review still required. Caution: 指標/特征标 require representation-theory context.
coefficient,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
commutative ring,no,17,confirmed_sourcebody_internal,medium,Specialized algebra compound; accept as source-body candidate if context windows are algebraic.
complete system,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
completely reducible,no,0,gap,none,No native-source hit in current CJK source-body shelf.
contravariant,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
conversely,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
corollary,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
covariant,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
decomposition,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
definition,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
determinant,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
dimension,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
division ring,no,0,gap,none,No native-source hit in current CJK source-body shelf.
element,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
elementary divisor,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
endomorphism,no,2,low_count_candidate,medium,Specialized algebra compound; accept as source-body candidate if context windows are algebraic.
equation,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
example,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
exercise,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
exists,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
factor,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
field,yes,225,confirmed_sourcebody_internal,high,Common algebra term with multi-file source-body support; still not native review or accepted terminology. Caution: Japanese 体 and Chinese 域 are short/ambiguous outside algebra; use only with algebraic context windows.
finite,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
finite-dimensional,no,23,confirmed_sourcebody_internal,medium,Specialized algebra compound; accept as source-body candidate if context windows are algebraic.
finitely generated,no,5,confirmed_sourcebody_internal,medium,Specialized algebra compound; accept as source-body candidate if context windows are algebraic.
for all,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
form system,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
formula,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
free module,no,4,confirmed_sourcebody_internal,medium,Specialized algebra compound; accept as source-body candidate if context windows are algebraic.
function,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
ground form,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
group,yes,730,confirmed_sourcebody_internal,high,Common algebra term with multi-file source-body support; still not native review or accepted terminology.
group algebra,no,0,gap,none,No native-source hit in current CJK source-body shelf.
group ring/group algebra,no,0,gap,none,No native-source hit in current CJK source-body shelf.
homomorphism,yes,147,confirmed_sourcebody_internal,high,Common algebra term with multi-file source-body support; still not native review or accepted terminology.
ideal,yes,85,confirmed_sourcebody_internal,high,Common algebra term with multi-file source-body support; still not native review or accepted terminology.
identity,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
if and only if,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
image,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
invariant,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
invariant theory,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
irreducible representation,no,0,gap,none,No native-source hit in current CJK source-body shelf.
isomorphism,yes,164,confirmed_sourcebody_internal,high,Common algebra term with multi-file source-body support; still not native review or accepted terminology.
kernel,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
lemma,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
matrix,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
maximal ideal,no,12,confirmed_sourcebody_internal,medium,Specialized algebra compound; accept as source-body candidate if context windows are algebraic.
modern algebra,no,0,gap,none,No native-source hit in current CJK source-body shelf.
module,yes,47,confirmed_sourcebody_internal,high,Common algebra term with multi-file source-body support; still not native review or accepted terminology.
module homomorphism,no,0,gap,none,No native-source hit in current CJK source-body shelf.
modulus,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
notation,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
polynomial,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
prime ideal,no,35,confirmed_sourcebody_internal,medium,Specialized algebra compound; accept as source-body candidate if context windows are algebraic.
principal ideal,no,0,gap,none,No native-source hit in current CJK source-body shelf.
problem,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
proof,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
proposition,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
quotient ring,no,5,confirmed_sourcebody_internal,medium,Specialized algebra compound; accept as source-body candidate if context windows are algebraic.
reduction,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
relation,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
relatively complete system,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
representation,yes,141,confirmed_sourcebody_internal,high,Common algebra term with multi-file source-body support; still not native review or accepted terminology.
representation theory,no,1,sense_review_candidate,medium,Native-source string hits exist; row-context review still required.
respectively,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
resultant,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
right module,no,0,gap,none,No native-source hit in current CJK source-body shelf.
ring,yes,315,confirmed_sourcebody_internal,high,Common algebra term with multi-file source-body support; still not native review or accepted terminology.
semisimple,no,0,gap,none,No native-source hit in current CJK source-body shelf.
semisimple ring,no,0,gap,none,No native-source hit in current CJK source-body shelf.
set,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
simple module,no,0,gap,none,No native-source hit in current CJK source-body shelf.
statement,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
subgroup,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
submodule,no,1,low_count_candidate,medium,Specialized algebra compound; accept as source-body candidate if context windows are algebraic.
subset,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
ternary form,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
theorem,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
therefore,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
transvection,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
variable,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
vector,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
vector space,yes,0,gap,none,No native-source hit in current CJK source-body shelf.
